GEO_ID,C27007_001E,C27007_001M,C27007_002E,C27007_002M,C27007_003E,C27007_003M,C27007_004E,C27007_004M,C27007_005E,C27007_005M,C27007_006E,C27007_006M,C27007_007E,C27007_007M,C27007_008E,C27007_008M,C27007_009E,C27007_009M,C27007_010E,C27007_010M,C27007_011E,C27007_011M,C27007_012E,C27007_012M,C27007_013E,C27007_013M,C27007_014E,C27007_014M,C27007_015E,C27007_015M,C27007_016E,C27007_016M,C27007_017E,C27007_017M,C27007_018E,C27007_018M,C27007_019E,C27007_019M,C27007_020E,C27007_020M,C27007_021E,C27007_021M,NAME,C27007_001EA,C27007_001MA,C27007_002MA,C27007_002EA,C27007_003MA,C27007_003EA,C27007_004MA,C27007_004EA,C27007_005MA,C27007_005EA,C27007_006MA,C27007_006EA,C27007_007EA,C27007_007MA,C27007_008MA,C27007_008EA,C27007_009MA,C27007_009EA,C27007_010MA,C27007_010EA,C27007_011EA,C27007_011MA,C27007_012EA,C27007_012MA,C27007_013MA,C27007_013EA,C27007_014MA,C27007_014EA,C27007_015MA,C27007_015EA,C27007_016EA,C27007_016MA,C27007_017MA,C27007_017EA,C27007_018EA,C27007_018MA,C27007_019MA,C27007_019EA,C27007_020MA,C27007_020EA,C27007_021EA,C27007_021MA,state
0400000US01,4755381,1814,2284668,5599,563117,4269,246311,7986,316806,7190,1418723,4731,124027,5054,1294696,7137,302828,1900,37146,2981,265682,2987,2470713,5159,544727,4391,241000,6840,303727,6680,1526743,3765,195625,7597,1331118,8705,399243,1967,67586,3339,331657,3354,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,712248,1963,366864,2541,96973,1734,30910,2002,66063,2143,237630,1974,18168,2045,219462,2964,32261,848,3446,652,28815,842,345384,2157,90912,1717,32146,2811,58766,2667,222146,1283,22159,2051,199987,2364,32326,832,5583,1025,26743,1132,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6521226,1734,3207062,2887,823870,1962,308556,9188,515314,8713,1920087,2842,208276,7721,1711811,8239,463105,1334,47764,3357,415341,3324,3314164,2699,789635,1895,297508,8263,492127,8725,1980813,2354,309230,10315,1671583,10146,543716,1448,70168,3643,473548,3834,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2907014,1233,1427846,4941,369537,4011,192232,7081,177305,6785,862503,3593,80641,4217,781862,5059,195806,1562,22991,2052,172815,2265,1479168,4700,339588,3571,176546,5555,163042,5759,897397,3109,113063,5176,784334,5671,242183,2000,41153,2512,201030,2586,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37831553,5167,18678471,8174,4684835,4538,1917094,19131,2767741,18971,11917914,6910,1230344,19105,10687570,20529,2075722,3272,351737,8748,1723985,8261,19153082,6595,4473120,4214,1830241,19852,2642879,20256,12058604,4800,1788973,21351,10269631,22677,2621358,3316,559644,10651,2061714,11224,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5173272,2685,2571218,4738,633100,3639,194624,7310,438476,7032,1653136,3953,124195,6539,1528941,7113,284982,1510,28249,1945,256733,2348,2602054,4073,606091,3326,188882,7123,417209,7369,1651804,2894,172952,6300,1478852,6871,344159,1664,40158,2734,304001,3038,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541409,1156,1718699,2659,398790,1891,133485,4998,265305,5285,1093523,1944,117417,6985,976106,6996,226386,1298,20880,2199,205506,2505,1822710,2714,385369,1796,126181,6122,259188,6127,1142172,1698,168100,6205,974072,6766,295169,1346,45230,2720,249939,2669,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,911502,1114,437592,1253,103087,830,39664,2881,63423,2697,270719,1081,34124,2781,236595,3096,63786,493,6211,991,57575,1043,473910,1235,100252,856,37109,3389,63143,3604,294419,998,54045,3752,240374,3856,79239,492,8995,1287,70244,1393,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,635833,581,298312,741,55867,410,28386,2211,27481,2200,213223,658,37995,3463,175228,3488,29222,519,6420,1167,22802,1238,337521,821,55420,476,28302,2212,27118,2103,239930,641,55528,3580,184402,3783,42171,552,10417,1405,31754,1389,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19245127,3839,9333945,8603,2059975,6245,842661,17038,1217314,15811,5663869,6338,494749,14625,5169120,14764,1610101,3180,189359,6288,1420742,6562,9911182,7269,1959860,6147,808068,18098,1151792,18302,5983026,4806,703238,16399,5279788,17921,1968296,3245,306097,7779,1662199,7562,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
