GEO_ID,C17007_001E,C17007_001M,C17007_002E,C17007_002M,C17007_003E,C17007_003M,C17007_004E,C17007_004M,C17007_005E,C17007_005M,C17007_006E,C17007_006M,C17007_007E,C17007_007M,NAME,C17007_001MA,C17007_001EA,C17007_002EA,C17007_002MA,C17007_003MA,C17007_003EA,C17007_004MA,C17007_004EA,C17007_005EA,C17007_005MA,C17007_006MA,C17007_006EA,C17007_007MA,C17007_007EA,state
0400000US01,802623,16883,258963,9403,115113,5889,143850,6393,543660,13276,271610,9444,272050,7948,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,141727,5747,26629,2497,13542,1788,13087,1323,115098,5279,69423,4035,45675,2640,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1264426,17862,351990,11822,166826,7871,185164,7740,912436,14058,474414,9829,438022,9374,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,523160,13051,172532,8727,78543,5388,93989,6279,350628,10062,175043,6484,175585,6625,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6796336,51677,1951680,24499,897491,16531,1054189,16882,4844656,45399,2546248,33745,2298408,23745,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1096231,18182,259897,7460,117745,5983,142152,5350,836334,15545,447200,11211,389134,8711,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,644133,12755,141467,6961,66635,4942,74832,4164,502666,11827,243599,6602,259067,7823,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,169633,6183,40564,3850,18544,2974,22020,2280,129069,5070,62820,3700,66249,3201,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,236911,6809,52689,3677,24054,2497,28635,2545,184222,6360,87507,4233,96715,3827,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3899049,35724,1105246,17368,510270,14390,594976,11907,2793803,29517,1410335,21529,1383468,17031,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1701284,23288,519284,12303,229747,8255,289537,9263,1182000,18136,604036,13332,577964,10396,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,243869,7274,64127,3903,29414,3043,34713,2767,179742,6482,95795,4450,83947,4029,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,270835,10011,89922,6276,42896,3736,47026,4777,180913,7301,94594,5056,86319,4436,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2295307,25307,597622,11436,269668,7489,327954,7861,1697685,22914,844297,13753,853388,14514,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
