GEO_ID,C15010D_001E,C15010D_001M,C15010D_002E,C15010D_002M,C15010D_003E,C15010D_003M,C15010D_004E,C15010D_004M,C15010D_005E,C15010D_005M,C15010D_006E,C15010D_006M,NAME,C15010D_001EA,C15010D_001MA,C15010D_002MA,C15010D_002EA,C15010D_003EA,C15010D_003MA,C15010D_004MA,C15010D_004EA,C15010D_005MA,C15010D_005EA,C15010D_006EA,C15010D_006MA,state
0400000US01,19103,1850,11108,1344,3038,1014,2012,691,1034,574,1911,695,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6234,1290,1797,651,1157,759,1683,626,427,308,1170,568,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,66247,3666,34839,3083,8910,1295,11677,1758,4015,949,6806,1118,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,11461,1404,5998,993,2572,1085,1577,547,443,307,871,511,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1819944,14752,865513,14674,199198,7061,374803,11301,87970,4844,292460,7484,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,50065,3246,27940,2507,3104,667,7898,1447,2701,676,8422,1587,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65182,3225,36068,2967,6970,1486,10498,1630,3059,890,8587,1391,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16561,1353,9575,1421,1669,795,3061,1095,397,298,1859,630,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11851,1146,6471,1062,813,432,1891,797,341,214,2335,611,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,171909,6542,79908,4082,26230,2833,35014,3466,10939,2064,19818,2540,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,117981,5101,59780,3970,11994,1883,21613,2839,5169,1175,19425,2598,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,134391,5243,43896,3396,15153,2128,31042,2630,20655,2244,23645,2131,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,5823,983,3443,842,410,279,1269,504,102,125,599,349,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,275112,6062,132673,5511,38420,3586,51940,3774,14850,1818,37229,2999,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,41314,2982,20625,2721,6290,1504,6329,1173,2695,1095,5375,1006,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,20583,1697,12112,1541,2476,562,2134,579,804,418,3057,931,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,21885,2067,12315,1544,2226,717,2978,686,1030,415,3336,919,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19857,1891,10842,1363,2772,764,2660,820,1605,713,1978,884,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,21428,2046,10778,1565,2245,682,3726,1091,876,402,3803,1283,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,4345,1065,2321,940,612,409,568,332,0,165,844,429,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,151996,5024,82907,4621,16619,1937,23141,2389,8663,1401,20666,2355,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,153243,5029,86314,4341,14876,1890,25596,2443,5004,1213,21453,2374,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
