GEO_ID,B05004_001E,B05004_001M,B05004_002E,B05004_002M,B05004_003E,B05004_003M,B05004_004E,B05004_004M,B05004_005E,B05004_005M,B05004_006E,B05004_006M,B05004_007E,B05004_007M,B05004_008E,B05004_008M,B05004_009E,B05004_009M,B05004_010E,B05004_010M,B05004_011E,B05004_011M,B05004_012E,B05004_012M,B05004_013E,B05004_013M,B05004_014E,B05004_014M,B05004_015E,B05004_015M,NAME,B05004_001EA,B05004_001MA,B05004_002MA,B05004_002EA,B05004_003MA,B05004_003EA,B05004_004EA,B05004_004MA,B05004_005EA,B05004_005MA,B05004_006EA,B05004_006MA,B05004_007EA,B05004_007MA,B05004_008MA,B05004_008EA,B05004_009EA,B05004_009MA,B05004_010EA,B05004_010MA,B05004_011EA,B05004_011MA,B05004_012EA,B05004_012MA,B05004_013MA,B05004_013EA,B05004_014EA,B05004_014MA,B05004_015MA,B05004_015EA,state
0400000US01,38.3,0.2,36.8,0.2,39.6,0.2,38.4,0.2,36.9,0.2,39.7,0.2,37.1,0.7,35.6,1.2,39.0,1.3,48.6,1.9,47.4,2.2,49.6,1.6,32.7,0.7,32.0,0.9,33.7,1.0,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33.1,0.3,32.6,0.3,33.7,0.3,32.0,0.3,31.8,0.3,32.4,0.4,44.4,2.1,43.1,3.1,45.6,2.7,49.1,2.0,49.4,2.9,48.9,2.7,38.3,2.6,36.9,4.9,38.9,3.3,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36.8,0.1,35.6,0.1,38.1,0.2,34.9,0.2,33.8,0.2,36.2,0.2,42.5,0.4,41.5,0.5,43.5,0.6,50.5,0.6,49.5,1.0,51.2,0.9,38.5,0.4,37.9,0.5,39.0,0.5,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37.8,0.2,36.2,0.3,39.4,0.3,37.9,0.2,36.2,0.3,39.6,0.3,36.6,0.9,35.9,1.6,37.2,1.2,45.1,2.6,46.2,3.4,44.7,2.5,33.9,0.6,33.4,0.7,34.4,0.8,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35.7,0.1,34.6,0.1,36.9,0.1,29.6,0.2,28.8,0.1,30.5,0.2,45.1,0.2,44.2,0.2,45.9,0.2,51.8,0.2,51.4,0.2,52.2,0.2,39.2,0.2,38.5,0.2,40.0,0.2,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36.4,0.2,35.4,0.2,37.4,0.2,35.6,0.2,34.6,0.2,36.6,0.2,40.3,0.4,40.0,0.7,40.7,0.5,47.6,0.9,47.4,1.0,47.9,1.4,36.3,0.7,35.7,0.6,37.1,0.7,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40.5,0.2,38.8,0.2,41.8,0.2,39.3,0.3,37.7,0.3,40.8,0.3,43.8,0.4,42.4,0.7,45.3,0.7,51.7,0.9,51.7,1.2,51.7,1.0,36.7,0.8,36.0,1.0,37.8,1.2,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,39.1,0.3,37.7,0.5,40.3,0.4,39.0,0.4,37.5,0.6,40.5,0.5,39.3,1.0,38.6,1.3,40.0,1.1,48.5,2.4,48.4,3.0,48.6,3.5,34.4,1.1,33.5,2.0,35.2,0.9,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,33.8,0.2,33.6,0.3,33.9,0.2,32.5,0.3,32.1,0.4,32.9,0.3,38.5,0.9,38.8,0.9,37.8,1.8,44.8,1.9,45.5,2.7,43.7,3.8,35.6,0.9,35.8,1.5,35.5,1.2,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,41.5,0.1,40.0,0.1,43.0,0.2,38.9,0.1,37.3,0.2,40.5,0.2,47.3,0.2,45.9,0.2,48.5,0.3,52.8,0.3,52.2,0.4,53.4,0.4,40.5,0.3,39.3,0.4,41.7,0.4,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
