GEO_ID,B24031_001E,B24031_001M,B24031_002E,B24031_002M,B24031_003E,B24031_003M,B24031_004E,B24031_004M,B24031_005E,B24031_005M,B24031_006E,B24031_006M,B24031_007E,B24031_007M,B24031_008E,B24031_008M,B24031_009E,B24031_009M,B24031_010E,B24031_010M,B24031_011E,B24031_011M,B24031_012E,B24031_012M,B24031_013E,B24031_013M,B24031_014E,B24031_014M,B24031_015E,B24031_015M,B24031_016E,B24031_016M,B24031_017E,B24031_017M,B24031_018E,B24031_018M,B24031_019E,B24031_019M,B24031_020E,B24031_020M,B24031_021E,B24031_021M,B24031_022E,B24031_022M,B24031_023E,B24031_023M,B24031_024E,B24031_024M,B24031_025E,B24031_025M,B24031_026E,B24031_026M,B24031_027E,B24031_027M,NAME,B24031_001MA,B24031_001EA,B24031_002MA,B24031_002EA,B24031_003EA,B24031_003MA,B24031_004EA,B24031_004MA,B24031_005MA,B24031_005EA,B24031_006EA,B24031_006MA,B24031_007EA,B24031_007MA,B24031_008EA,B24031_008MA,B24031_009MA,B24031_009EA,B24031_010MA,B24031_010EA,B24031_011MA,B24031_011EA,B24031_012EA,B24031_012MA,B24031_013EA,B24031_013MA,B24031_014EA,B24031_014MA,B24031_015EA,B24031_015MA,B24031_016EA,B24031_016MA,B24031_017EA,B24031_017MA,B24031_018MA,B24031_018EA,B24031_019EA,B24031_019MA,B24031_020EA,B24031_020MA,B24031_021MA,B24031_021EA,B24031_022EA,B24031_022MA,B24031_023EA,B24031_023MA,B24031_024MA,B24031_024EA,B24031_025EA,B24031_025MA,B24031_026EA,B24031_026MA,B24031_027MA,B24031_027EA,state
0400000US01,30384,285,35496,6027,24438,2602,66989,9374,30846,927,36244,816,40507,2827,18598,1062,45013,3506,39916,4225,57354,6235,42205,4347,37306,1472,40514,1544,32245,2112,34814,2693,51882,2529,41051,22955,20861,926,31333,747,35606,1534,29519,1400,12003,398,15594,2372,11769,397,22033,1428,46774,1250,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40635,535,72396,7181,41446,7214,81406,8232,51183,4421,30241,7571,46335,9530,25419,1925,46485,6547,41882,3895,64405,8908,49817,7647,37861,3056,39845,2967,31794,8418,46904,5131,51635,2932,44000,311929,36948,7030,41460,1117,44998,4644,40696,1695,19020,1758,20243,7071,18902,1841,26563,7130,52200,2906,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31386,205,36020,2733,23458,4326,61627,1877,31141,552,46433,1648,41419,2035,21709,460,41730,905,37330,1997,62331,5220,40073,2909,42104,669,47372,2282,35053,4992,32350,1011,50880,1013,59920,18889,21755,590,32527,1055,33835,1510,32173,552,15727,484,20712,1546,15032,676,21228,1004,48719,1622,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28457,691,30739,1930,25104,2931,60424,14059,30010,2439,31326,617,40561,2322,20934,799,45542,2059,42384,2855,56054,3915,41678,6219,32333,1687,35377,1716,27378,5319,27381,1822,40364,3002,47284,37246,20586,1231,31194,629,33900,1775,29922,1487,12222,869,16095,2084,11677,828,21380,1338,37151,2133,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33410,334,20155,547,18621,817,61088,3914,33372,1565,42704,1290,37940,1581,21963,245,42539,1420,37796,1426,76370,2430,59961,1940,47932,1138,52454,1451,37489,1740,44275,1419,64058,2144,55772,3606,22542,534,36968,286,39589,1117,36230,339,17380,280,22698,1016,16364,269,21313,343,60477,487,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,35405,268,47071,5399,26513,1882,69909,4490,37150,1028,47433,1970,46249,2538,23529,1032,43146,2471,40355,1361,59624,4606,53162,4279,45778,1486,49264,2380,38898,3577,43914,2872,61304,843,74973,31914,24578,1500,34945,836,34341,1486,35269,1062,16671,519,20368,1481,16088,526,23497,1613,53234,2397,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40940,323,20825,3098,19707,3353,59771,35911,41591,720,56222,1630,49665,4460,22102,960,50029,4502,41367,1959,80554,7236,52017,3608,70370,3393,76815,2878,42448,4229,46840,2022,66407,3980,86167,23167,23943,1754,40727,630,46492,1380,37008,757,16658,798,22846,3893,15327,948,26838,1585,66465,2389,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35594,798,35761,14611,35482,15058,-666666666,-222222222,36692,2939,51901,2849,44896,4969,20440,1763,46049,2937,42396,6558,60485,10905,39178,3123,50016,3229,51563,1936,31041,8336,41896,1663,52314,6348,52386,65363,22311,4528,35863,2192,40299,3329,33727,3848,15145,1537,21605,5904,14159,1611,24765,5917,46960,4966,Delaware,null,null,null,null,null,null,-,**,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,52175,853,94006,119956,53906,112292,-666666666,-222222222,39880,7295,66198,16914,50771,42201,20755,5043,49662,7476,49206,7589,67279,85831,61462,8527,68832,5925,78423,4054,54679,8930,65557,4658,75975,4099,-666666666,-222222222,27359,3639,41999,1537,45912,5352,40834,1721,23561,4289,33817,9408,21111,2060,47316,5024,82066,3647,District of Columbia,null,null,null,null,null,null,-,**,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,**,-,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,29806,324,21491,946,20328,1246,50378,12828,29171,1056,37188,683,38310,2317,21227,293,36926,692,35447,782,54493,4646,39485,2176,39671,1053,42155,563,31346,591,31745,383,46656,1132,50118,17339,22303,494,33271,921,35710,507,32007,321,17146,339,22452,905,15982,366,20777,442,43901,1327,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
