C17001_019M,GEO_ID,C17001_001E,C17001_001M,C17001_002E,C17001_002M,C17001_003E,C17001_003M,C17001_004E,C17001_004M,C17001_005E,C17001_005M,C17001_006E,C17001_006M,C17001_007E,C17001_007M,C17001_008E,C17001_008M,C17001_009E,C17001_009M,C17001_010E,C17001_010M,C17001_011E,C17001_011M,C17001_012E,C17001_012M,C17001_013E,C17001_013M,C17001_014E,C17001_014M,C17001_015E,C17001_015M,C17001_016E,C17001_016M,C17001_017E,C17001_017M,C17001_018E,C17001_018M,C17001_019E,C17001_019MA,NAME,C17001_001MA,C17001_001EA,C17001_002MA,C17001_002EA,C17001_003EA,C17001_003MA,C17001_004MA,C17001_004EA,C17001_005MA,C17001_005EA,C17001_006EA,C17001_006MA,C17001_007MA,C17001_007EA,C17001_008MA,C17001_008EA,C17001_009EA,C17001_009MA,C17001_010MA,C17001_010EA,C17001_011MA,C17001_011EA,C17001_012EA,C17001_012MA,C17001_013MA,C17001_013EA,C17001_014MA,C17001_014EA,C17001_015EA,C17001_015MA,C17001_016MA,C17001_016EA,C17001_017MA,C17001_017EA,C17001_018EA,C17001_018MA,C17001_019EA,state
3267,0400000US01,4716105,2548,883371,20758,383672,11572,151867,6701,206488,7793,25317,2381,499699,12872,145724,7390,304903,8345,49072,2715,3832734,21141,1889643,12801,405438,7092,1206694,9017,277511,2420,1943091,13439,391453,6756,1201467,9226,350171,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1030,0400000US02,718359,1166,67016,4778,32287,2822,11311,1435,19330,2127,1646,616,34729,2693,11066,1501,21958,1793,1705,588,651343,5197,341810,3599,84567,2120,226628,2794,30615,978,309533,3227,77717,2251,201195,1944,30621,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
3874,0400000US04,6477191,3417,1206460,32132,556176,18990,209849,10622,312690,11484,33637,2604,650284,18162,211251,9031,383120,11212,55913,3725,5270731,31828,2632815,18275,601105,10172,1602242,11323,429468,2578,2637916,18555,567397,9189,1582716,11380,487803,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2798,0400000US05,2873340,3117,565469,16418,260201,9760,108427,5945,136745,5987,15029,1869,305268,10313,94029,5176,180194,6753,31045,2717,2307871,16913,1152072,10021,254979,6445,716316,6566,180777,2043,1155799,11225,239987,5653,704674,7326,211138,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
9295,0400000US06,37593091,8648,6328824,64631,2917397,33730,1080737,20201,1659809,23146,176851,6787,3411427,37995,1040614,19414,2059471,25204,311342,8181,31264267,64133,15679379,33919,3538244,19811,10242264,23929,1898871,6805,15584888,37015,3369674,18864,9905198,24466,2310016,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
2749,0400000US08,5151461,2077,667446,21463,303214,11591,105936,6878,181089,7367,16189,1843,364232,12376,100706,6117,233371,8115,30155,2253,4484015,21721,2267934,11016,519907,6409,1479234,7314,268793,2074,2216081,13699,499505,7287,1402572,9082,314004,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2296,0400000US09,3485353,2242,373900,14722,165277,8116,56419,4398,96279,5628,12579,1563,208623,9006,56304,4518,126294,5937,26025,1911,3111453,14715,1530797,8482,337690,4729,979319,6167,213788,1866,1580656,8813,324718,4259,986794,6349,269144,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1245,0400000US10,900322,1123,111327,9589,49144,5386,18012,3040,27547,3615,3585,932,62183,5571,18048,3070,37387,3468,6748,1184,788995,9661,384466,5460,83902,2990,240363,3904,60201,1075,404529,5394,80692,3125,251346,3384,72491,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1398,0400000US11,611788,780,115551,7400,50153,4040,15104,2171,30191,2854,4858,1037,65398,4853,14601,2358,43176,3158,7621,1262,496237,7490,237981,4369,39621,2301,173996,3065,24364,1021,258256,4784,40014,2372,183692,3188,34550,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
8984,0400000US12,19129950,7199,3253333,61090,1484913,32306,495613,16245,845113,20226,144187,5952,1768420,33196,473152,17120,1057563,21279,237705,8313,15876617,60744,7807585,32261,1530185,16738,4811486,20002,1465914,7333,8069032,34718,1455325,17432,4883116,22824,1730591,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
