GEO_ID,B14007_001E,B14007_001M,B14007_002E,B14007_002M,B14007_003E,B14007_003M,B14007_004E,B14007_004M,B14007_005E,B14007_005M,B14007_006E,B14007_006M,B14007_007E,B14007_007M,B14007_008E,B14007_008M,B14007_009E,B14007_009M,B14007_010E,B14007_010M,B14007_011E,B14007_011M,B14007_012E,B14007_012M,B14007_013E,B14007_013M,B14007_014E,B14007_014M,B14007_015E,B14007_015M,B14007_016E,B14007_016M,B14007_017E,B14007_017M,B14007_018E,B14007_018M,B14007_019E,B14007_019M,NAME,B14007_001EA,B14007_001MA,B14007_002MA,B14007_002EA,B14007_003EA,B14007_003MA,B14007_004EA,B14007_004MA,B14007_005MA,B14007_005EA,B14007_006MA,B14007_006EA,B14007_007EA,B14007_007MA,B14007_008EA,B14007_008MA,B14007_009MA,B14007_009EA,B14007_010EA,B14007_010MA,B14007_011MA,B14007_011EA,B14007_012EA,B14007_012MA,B14007_013EA,B14007_013MA,B14007_014EA,B14007_014MA,B14007_015MA,B14007_015EA,B14007_016MA,B14007_016EA,B14007_017MA,B14007_017EA,B14007_018EA,B14007_018MA,B14007_019MA,B14007_019EA,state
0400000US01,4666958,5106,1209237,11901,70756,5309,62342,3519,54267,3700,60963,3327,63273,3790,59469,4641,62479,4281,67647,4235,69045,3645,66732,4284,65088,3502,66907,4146,58210,4167,64512,4071,264892,8514,52655,4115,3457721,10711,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,703375,1716,200784,4782,11073,1547,10561,1425,10514,1258,8729,1165,10534,1545,9667,1105,10329,1535,9463,1346,12000,1487,11548,1625,10259,1520,9198,1099,10053,1867,14468,2011,40725,3573,11663,1728,502591,4953,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6376529,5428,1739889,11005,83820,4512,88762,4526,91041,4388,92799,4287,96705,5372,82563,4753,90462,4517,92622,4684,92774,4752,90730,4533,91997,4884,84375,4219,93691,4748,100821,4587,383784,8767,82943,4816,4636640,12012,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2850031,4133,750149,9498,51565,4339,44931,4150,38823,3449,37784,2975,41719,3779,37901,3021,37135,3082,36854,2864,40087,3079,37650,3128,40287,2897,37071,2815,37502,2663,35617,2734,166713,7056,28510,2890,2099882,9350,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36881228,13300,10548455,34333,582029,12823,519784,12223,501753,12068,503753,12066,503286,11905,508241,10978,503424,13214,504739,10339,519305,12043,511582,11371,522344,10772,532524,9061,543755,9791,613908,11179,2689528,27837,488500,11188,26332773,32237,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5069903,5463,1400453,9735,86148,4179,70440,4470,65329,3803,65503,3376,71815,3738,73290,4527,74775,3627,71693,4153,72686,3714,69468,3689,69454,4206,68558,3403,62602,3303,76637,4367,322920,8130,79135,4901,3669450,10397,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3486522,3889,939762,8829,59250,4302,43074,3441,43653,2803,44183,3405,44611,3085,46083,3229,46001,3687,44963,3082,47274,2820,46341,3526,47411,3592,48341,3003,49050,2600,57977,3652,219437,5943,52113,3492,2546760,8266,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,891570,2159,229133,4853,13162,1738,11100,1783,9207,1342,12567,1656,11643,1692,11155,1931,10036,1528,12816,1633,12411,1922,11375,1820,12087,1818,12499,1578,8885,1363,11673,1411,53913,3455,14604,2122,662437,4883,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,620005,1969,162510,4944,13372,1653,8155,1473,6121,1083,5265,1047,6077,1453,5423,1191,5256,1256,5129,986,3588,819,4866,1242,4666,823,5422,939,5489,929,6869,1276,50484,3269,26328,3112,457495,4591,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18927019,9442,4643948,24349,287571,8867,229382,8677,221757,7987,221152,8602,228422,8355,216866,8764,228228,7582,227569,7431,231849,8776,234472,9438,233982,9750,236641,7917,226876,7477,257677,8679,1135010,21124,226494,9102,14283071,23455,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
