C05008_025M,C05008_026E,C05008_026M,C05008_027E,C05008_027M,C05008_028E,C05008_028M,C05008_029E,C05008_029M,C05008_030E,C05008_030M,C05008_031E,C05008_031M,C05008_032E,C05008_032M,C05008_033E,C05008_033M,C05008_034E,C05008_034M,C05008_035E,C05008_035M,C05008_036E,C05008_036M,C05008_037E,C05008_037M,C05008_038E,C05008_038M,C05008_039E,C05008_039M,C05008_040E,C05008_040M,C05008_041E,C05008_041M,C05008_042E,C05008_042M,C05008_043E,C05008_043M,C05008_044E,C05008_044M,C05008_045E,C05008_045M,C05008_046E,C05008_046M,C05008_047E,C05008_047M,C05008_048E,C05008_048M,C05008_049E,C05008_049M,C05008_050E,C05008_050M,C05008_051E,C05008_051M,GEO_ID,C05008_001E,C05008_001M,C05008_002E,C05008_002M,C05008_003E,C05008_003M,C05008_004E,C05008_004M,C05008_005E,C05008_005M,C05008_006E,C05008_006M,C05008_007E,C05008_007M,C05008_008E,C05008_008M,C05008_009E,C05008_009M,C05008_010E,C05008_010M,C05008_011E,C05008_011M,C05008_012E,C05008_012M,C05008_013E,C05008_013M,C05008_014E,C05008_014M,C05008_015E,C05008_015M,C05008_016E,C05008_016M,C05008_017E,C05008_017M,C05008_018E,C05008_018M,C05008_019E,C05008_019M,C05008_020E,C05008_020M,C05008_021E,C05008_021M,C05008_022E,C05008_022M,C05008_023E,C05008_023M,C05008_024E,C05008_024M,C05008_025E,C05008_025MA,C05008_026EA,C05008_026MA,C05008_027MA,C05008_027EA,C05008_028EA,C05008_028MA,C05008_029EA,C05008_029MA,C05008_030MA,C05008_030EA,C05008_031MA,C05008_031EA,C05008_032EA,C05008_032MA,C05008_033EA,C05008_033MA,C05008_034MA,C05008_034EA,C05008_035MA,C05008_035EA,C05008_036MA,C05008_036EA,C05008_037EA,C05008_037MA,C05008_038MA,C05008_038EA,C05008_039MA,C05008_039EA,C05008_040MA,C05008_040EA,C05008_041MA,C05008_041EA,C05008_042MA,C05008_042EA,C05008_043MA,C05008_043EA,C05008_044EA,C05008_044MA,C05008_045EA,C05008_045MA,C05008_046EA,C05008_046MA,C05008_047EA,C05008_047MA,C05008_048MA,C05008_048EA,C05008_049EA,C05008_049MA,C05008_050MA,C05008_050EA,C05008_051EA,C05008_051MA,NAME,C05008_001EA,C05008_001MA,C05008_002MA,C05008_002EA,C05008_003EA,C05008_003MA,C05008_004MA,C05008_004EA,C05008_005MA,C05008_005EA,C05008_006EA,C05008_006MA,C05008_007MA,C05008_007EA,C05008_008MA,C05008_008EA,C05008_009EA,C05008_009MA,C05008_010MA,C05008_010EA,C05008_011MA,C05008_011EA,C05008_012EA,C05008_012MA,C05008_013MA,C05008_013EA,C05008_014MA,C05008_014EA,C05008_015MA,C05008_015EA,C05008_016MA,C05008_016EA,C05008_017MA,C05008_017EA,C05008_018EA,C05008_018MA,C05008_019EA,C05008_019MA,C05008_020MA,C05008_020EA,C05008_021EA,C05008_021MA,C05008_022MA,C05008_022EA,C05008_023MA,C05008_023EA,C05008_024EA,C05008_024MA,C05008_025EA,state
1113,3311,1073,78224,4643,10189,1431,1519,596,1566,621,7104,1097,27594,1984,5399,1264,8128,1581,14067,1663,34887,3371,2623,929,18552,2520,13712,2111,21875,2714,1527,874,11534,2036,8814,1913,13012,2456,1096,534,7018,1841,4898,1136,5554,1379,505,318,2367,987,2682,699,0400000US01,162226,7768,84002,5311,7128,1427,1152,565,1449,599,4527,1117,22565,2035,4237,1088,6931,1592,11397,1387,48041,4339,3298,1532,27332,3809,17411,3224,33185,4095,1465,854,19852,3177,11868,2735,14856,3157,1833,1293,7480,2572,5543,1583,6268,1645,503,326,2454,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
671,1333,570,26807,2581,3913,827,25,40,1085,461,2803,668,15854,1772,1899,709,4703,1665,9252,1252,4133,1133,408,431,1344,630,2381,879,1677,841,198,315,644,590,835,556,2456,866,210,293,700,342,1546,689,2907,977,115,153,1043,567,1749,848,0400000US02,50760,3428,23953,1851,3316,930,344,425,342,258,2630,737,12784,937,1754,853,3520,1118,7510,1073,4601,993,137,190,838,555,3626,727,2089,652,0,147,269,300,1820,596,2512,825,137,190,569,452,1806,639,3252,1012,758,681,1161,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2262,18459,2377,461690,11771,45437,3322,2885,739,7752,1444,34800,2735,88026,4545,13428,2221,26326,2653,48272,3150,290008,8493,13430,2845,80694,5648,195884,6573,262390,8750,11352,2676,73709,5280,177329,7055,27618,3560,2078,736,6985,1902,18555,2503,38219,3313,8061,1799,11754,2210,18404,2240,0400000US04,896310,18572,434620,10022,35266,3044,3085,899,5185,1267,26996,2739,73682,4316,15404,2175,22455,2896,35823,2977,286412,8378,18553,2674,75396,5386,192463,7158,257579,8278,14018,2559,66777,5270,176784,6881,28833,3633,4535,1318,8619,2481,15679,2017,39260,3604,9538,2290,11263,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
422,1591,688,66426,3278,5088,1319,336,254,902,480,3850,1138,18190,1825,3016,809,5983,1375,9191,1361,39862,2463,4226,1226,15359,2576,20277,2290,31308,2822,2732,960,12945,2517,15631,2523,8554,1723,1494,829,2414,1023,4646,1186,3286,901,810,511,1045,551,1431,593,0400000US05,133888,5487,67462,3442,4571,1164,549,293,996,532,3026,1024,14743,1918,4513,1083,4102,1308,6128,991,45014,2370,3852,1519,16984,2434,24178,2425,34917,2216,2004,705,14031,2235,18882,1944,10097,2318,1848,1299,2953,1016,5296,1403,3134,929,863,639,680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
4874,112685,5483,5313814,31014,359590,10963,28229,3511,65869,4819,265492,8950,2079665,15487,209394,7895,530492,13088,1339779,13688,2682207,22647,89299,6841,662070,15884,1930838,20649,2070089,21021,61281,5362,514265,14325,1494543,19277,612118,14230,28018,3588,147805,8126,436295,10756,192352,8251,21220,3310,48981,4296,122151,5632,0400000US06,10311200,53780,4997386,32294,313341,10095,31525,3154,63573,4755,218243,7474,1753659,14880,186350,8911,414737,12348,1152572,12428,2744428,22334,96340,7812,695189,16471,1952899,19122,2162285,19972,66959,6238,531857,15443,1563469,18956,582143,15030,29381,3606,163332,9509,389430,9935,185958,8154,22475,3492,50798,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1776,9596,1366,256946,6645,40610,3188,2904,826,9084,1701,28622,2498,62740,2778,9593,1811,18480,1803,34667,1992,127865,4725,7263,1862,46588,4560,74014,4070,104328,4568,4883,1363,38532,4269,60913,3875,23537,2951,2380,1015,8056,1634,13101,1978,25731,2902,5297,1816,10004,2029,10430,1585,0400000US08,500634,11600,243688,7662,30327,2957,2612,756,7763,1881,19952,2162,50733,2718,7385,1439,13791,2131,29557,2232,139689,6042,7546,1751,46329,4563,85814,4941,117660,5738,5196,1307,37692,4239,74772,4557,22029,2805,2350,1240,8637,1521,11042,1820,22939,2837,4698,1783,8645,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1141,8375,1354,258549,7350,71028,4135,3480,1029,11608,1876,55940,3649,59580,2385,9722,1671,21003,2282,28855,1570,113756,6361,10822,2850,39127,4355,63807,3671,11383,2225,1007,672,6009,1529,4367,1423,102373,6111,9815,2710,33118,3910,59440,3688,14185,1894,1523,706,3397,1081,9265,1324,0400000US09,499643,13006,241094,7686,58601,3583,3737,1167,8059,1262,46805,3222,56916,3181,10308,1916,18198,1803,28410,2279,111300,5738,10672,2551,43711,4121,56917,4519,16532,3663,1088,753,7353,2002,8091,2267,94768,6237,9584,2635,36358,3938,48826,4465,14277,2175,1394,678,4508,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
711,2080,668,37868,2863,6934,1178,351,372,1312,563,5271,966,12058,1193,2492,893,3087,864,6479,1161,13309,2113,1176,503,5057,1397,7076,1172,5720,1458,348,328,2699,1008,2673,914,7589,1584,828,501,2358,953,4403,883,5567,1628,1106,934,2517,985,1944,756,0400000US10,76768,4344,38900,2422,4415,948,615,360,820,499,2980,739,12685,1400,2843,1183,3744,917,6098,975,17422,2291,788,529,7624,1842,9010,1457,7931,1899,685,508,3486,1336,3760,1325,9491,1755,103,111,4138,1482,5250,1085,4378,1114,573,468,1725,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1342,4405,1348,47442,3675,8649,1623,2242,774,2595,1016,3812,893,9065,1254,1516,726,2409,756,5140,911,20931,2345,3339,1657,6907,1510,10685,1610,1311,679,53,87,651,581,607,404,19620,2343,3286,1640,6256,1389,10078,1654,8797,1825,1450,706,4345,1514,3002,830,0400000US11,92819,5381,45377,2802,9113,1604,2687,927,2559,839,3867,1025,7205,1238,1430,810,2246,792,3529,723,19116,1618,1841,721,8210,1605,9065,1209,1099,621,65,112,717,561,317,309,18017,1570,1776,708,7493,1492,8748,1141,9943,2151,1552,690,3986,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
2851,53845,4515,2009183,24573,210330,9440,15630,2275,37520,3668,157180,7684,219679,6278,27101,3661,62999,4490,129579,4399,1487774,19758,145236,8149,475625,14331,866913,13665,107266,7360,4923,1378,50320,5672,52023,4406,1380508,20611,140313,7978,425305,13522,814890,14085,91400,5442,15432,2424,21101,2738,54867,4197,0400000US12,3798062,37577,1788879,19444,160714,7098,15932,2792,30606,3173,114176,4902,185714,6355,21777,2599,54766,4642,109171,4694,1351978,17008,130234,8885,435234,14515,786510,14342,146590,8970,12447,2810,54699,5775,79444,6233,1205388,18477,117787,7980,380535,14097,707066,15170,90473,5968,14032,2452,22596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
