GEO_ID,B17002_001E,B17002_001M,B17002_002E,B17002_002M,B17002_003E,B17002_003M,B17002_004E,B17002_004M,B17002_005E,B17002_005M,B17002_006E,B17002_006M,B17002_007E,B17002_007M,B17002_008E,B17002_008M,B17002_009E,B17002_009M,B17002_010E,B17002_010M,B17002_011E,B17002_011M,B17002_012E,B17002_012M,B17002_013E,B17002_013M,NAME,B17002_001EA,B17002_001MA,B17002_002EA,B17002_002MA,B17002_003EA,B17002_003MA,B17002_004MA,B17002_004EA,B17002_005EA,B17002_005MA,B17002_006EA,B17002_006MA,B17002_007EA,B17002_007MA,B17002_008MA,B17002_008EA,B17002_009MA,B17002_009EA,B17002_010EA,B17002_010MA,B17002_011MA,B17002_011EA,B17002_012MA,B17002_012EA,B17002_013EA,B17002_013MA,state
0400000US01,4716105,2548,397866,15112,232326,14861,253179,13955,271168,15652,271450,14517,243545,14292,89546,8808,137851,9561,823910,24120,633911,18483,451944,16433,909409,23628,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,718359,1166,30611,3625,16916,2831,19489,2294,26867,3924,33734,6551,28375,4233,8580,2194,17963,3777,102499,7526,100143,7731,88419,7751,244763,10717,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6477191,3417,574905,20992,309262,18300,322293,17624,341349,17167,361426,20767,331404,16979,127443,11281,199460,14717,1120257,28672,843638,24553,605081,24415,1340673,24012,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2873340,3117,238195,13767,140555,9698,186719,11270,180570,12369,180584,12541,163140,10645,61807,7254,95258,9269,531537,19595,373664,14195,244087,12556,477224,14649,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37593091,8648,2761078,53764,1551534,37083,2016212,45948,1992521,45792,1932370,46621,1906082,44451,676559,25178,1014163,33382,5887548,87105,4348090,63719,3320339,50015,10186595,67429,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5151461,2077,285942,13180,168588,14352,212916,15367,226096,14305,225030,13595,228530,14852,80895,7311,130328,10078,846596,24014,708768,20952,561734,21003,1476038,21474,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3485353,2242,168578,10346,84194,8097,121128,11289,110685,8682,113873,10914,117338,10398,46170,5288,75515,8947,473452,17648,451477,16526,388399,17488,1334544,23480,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,900322,1123,56840,6755,28588,5330,25899,4289,42245,6037,36717,5026,37680,5084,16109,4448,20085,4000,133735,8733,139385,9335,100999,8095,262040,11693,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,611788,780,63136,5630,26650,4706,25765,4160,24983,4436,22967,4905,23184,4789,5233,1754,13426,3497,63201,5397,62374,6322,50423,5214,230446,8175,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19129950,7199,1458753,38687,796637,26948,997943,33747,1002583,34305,1051523,32111,1062835,29662,382384,19486,580621,26130,3507409,54944,2577512,49580,1776724,42566,3935026,44267,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
