GEO_ID,B16005F_001E,B16005F_001M,B16005F_002E,B16005F_002M,B16005F_003E,B16005F_003M,B16005F_004E,B16005F_004M,B16005F_005E,B16005F_005M,B16005F_006E,B16005F_006M,B16005F_007E,B16005F_007M,B16005F_008E,B16005F_008M,B16005F_009E,B16005F_009M,B16005F_010E,B16005F_010M,B16005F_011E,B16005F_011M,NAME,B16005F_001MA,B16005F_001EA,B16005F_002MA,B16005F_002EA,B16005F_003EA,B16005F_003MA,B16005F_004EA,B16005F_004MA,B16005F_005EA,B16005F_005MA,B16005F_006EA,B16005F_006MA,B16005F_007MA,B16005F_007EA,B16005F_008EA,B16005F_008MA,B16005F_009EA,B16005F_009MA,B16005F_010EA,B16005F_010MA,B16005F_011MA,B16005F_011EA,state
0400000US01,49033,5834,23033,3395,8851,2070,14182,2838,10889,2598,3293,1089,26000,4093,1222,715,24778,3960,6493,1333,18285,3222,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8839,1933,5861,1479,3110,1161,2751,1081,2535,1090,216,217,2978,780,209,185,2769,759,1347,596,1422,540,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,379267,17448,243431,12192,94774,7775,148657,8128,124568,7119,24089,3166,135836,9975,5382,1268,130454,10048,47271,5203,83183,7474,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,60269,5554,27358,3024,7764,2136,19594,3008,15720,2679,3874,1336,32911,4149,4751,1674,28160,3528,6419,1398,21741,3118,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4536507,55507,2463316,36429,699118,26018,1764198,26780,1534137,25881,230061,8122,2073191,36407,69737,5156,2003454,35566,553065,15116,1450389,28042,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,227688,12493,158114,10577,82925,7858,75189,6931,63046,6130,12143,2168,69574,5570,3643,1020,65931,5593,23379,3137,42552,4385,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,170251,10823,97275,7276,18517,3090,78758,6098,58794,5544,19964,2690,72976,7779,2977,1134,69999,7596,17029,3554,52970,6196,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21271,3842,12008,2426,2696,1085,9312,2009,5851,1591,3461,1100,9263,2401,1118,969,8145,2213,2241,1262,5904,1915,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19333,3829,6309,1844,1255,702,5054,1720,4201,1543,853,592,13024,3157,695,452,12329,3084,3867,1336,8462,2398,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,449587,20541,239309,14953,76572,8099,162737,11873,126871,9742,35866,5227,210278,13914,22555,4017,187723,13358,67045,5966,120678,10700,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
