GEO_ID,B18101H_001E,B18101H_001M,B18101H_002E,B18101H_002M,B18101H_003E,B18101H_003M,B18101H_004E,B18101H_004M,B18101H_005E,B18101H_005M,B18101H_006E,B18101H_006M,B18101H_007E,B18101H_007M,B18101H_008E,B18101H_008M,B18101H_009E,B18101H_009M,B18101H_010E,B18101H_010M,NAME,B18101H_001MA,B18101H_001EA,B18101H_002EA,B18101H_002MA,B18101H_003EA,B18101H_003MA,B18101H_004EA,B18101H_004MA,B18101H_005MA,B18101H_005EA,B18101H_006EA,B18101H_006MA,B18101H_007MA,B18101H_007EA,B18101H_008EA,B18101H_008MA,B18101H_009MA,B18101H_009EA,B18101H_010MA,B18101H_010EA,state
0400000US01,3161177,3811,650042,1630,26035,2613,624007,2948,1951755,2752,272638,8736,1679117,9242,559380,1051,225997,5317,333383,5274,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,445052,1452,95360,270,3460,1040,91900,1081,301417,1408,28292,2933,273125,3252,48275,337,17077,1637,31198,1610,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3704801,3303,659426,1168,22006,2383,637420,2547,2221568,2956,244120,9100,1977448,9734,823807,923,268820,7204,554987,7142,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2143004,2338,453499,1149,27177,2892,426322,2967,1304531,1648,202424,7226,1102107,7703,384974,851,159187,4646,225787,4677,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14677545,8763,2421173,3166,81240,5362,2339933,6250,9425003,7538,888826,15595,8536177,16500,2831369,2528,1011520,12750,1819849,12924,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3587724,4620,703694,1869,22481,2482,681213,3219,2353192,3653,208846,7145,2144346,7809,530838,1115,175564,5546,355274,5494,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2460881,2919,456994,928,15416,1877,441578,2011,1552339,2176,124108,6356,1428231,6558,451548,1112,143416,3787,308132,3830,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,584647,1455,104647,238,4488,1012,100159,1040,362728,1342,40060,2968,322668,3272,117272,562,37306,2055,79966,2092,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,227266,897,22660,355,296,213,22364,395,181663,597,6864,1417,174799,1581,22943,450,4544,872,18399,979,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10835235,8064,1767057,3095,71999,4869,1695058,6127,6342988,6122,729486,15494,5613502,16415,2725190,2160,915274,12776,1809916,12434,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5370124,6249,1134981,2311,46292,3915,1088689,4594,3376897,5186,378117,9383,2998780,10597,858246,1800,318560,7080,539686,6926,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,292956,2386,42182,174,1622,771,40560,816,195323,2290,15206,1807,180117,2932,55451,441,18049,1956,37402,1941,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1326699,1132,323795,311,12581,1897,311214,1905,796578,1026,88861,5782,707717,5692,206326,417,79993,3757,126333,3719,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7976422,4924,1577825,1184,52528,4006,1525297,4011,5083242,4426,446033,10178,4637209,11473,1315355,2277,452623,7977,862732,7899,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5224767,3696,1152530,2323,52726,4036,1099804,4296,3274377,2717,399616,9971,2874761,10327,797860,1338,300275,6587,497585,6951,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2666322,2722,577354,1582,20858,1796,556496,2497,1648144,1625,159744,5604,1488400,5869,440824,657,143920,3341,296904,3294,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2191409,1929,487182,714,20249,1978,466933,1972,1353969,1808,141004,5397,1212965,5701,350258,836,127389,3539,222869,3545,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3705660,2132,809683,924,42155,3567,767528,3715,2327367,1975,371934,8607,1955433,8823,568610,1115,238189,4864,330421,4892,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2708750,2760,577324,983,36553,3363,540771,3338,1701775,2169,210861,8273,1490914,8291,429651,1116,170871,4502,258780,4454,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1234608,1462,232234,865,14056,2160,218178,2333,779292,874,109364,4686,669928,4836,223082,427,78929,3175,144153,3144,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3104325,3363,600575,1350,20778,2783,579797,3007,1971373,2691,178533,6479,1792840,7138,532377,1660,174962,5087,357415,4837,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4939753,5075,905129,2085,39629,2794,865500,3380,3193927,3802,281475,9225,2912452,9932,840697,1563,277337,6568,563360,6379,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7449175,2809,1521679,1086,71794,3808,1449885,3936,4680823,2561,547877,10622,4132946,10283,1246673,1184,444744,7587,801929,7391,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4393688,2597,916828,1410,30510,2651,886318,2967,2790477,1931,229192,6571,2561285,6648,686383,973,214839,4760,471544,4956,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1685313,2675,361921,1215,16510,2289,345411,2519,1028419,2157,151004,6374,877415,6713,294973,970,128790,4737,166183,4743,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4779638,2698,1028518,1803,47252,4224,981266,4189,2971963,2591,368884,8820,2603079,8816,779157,1275,286321,6277,492836,6461,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,872132,915,176683,242,6238,1183,170445,1216,543408,915,63086,3939,480322,3915,152041,334,53609,2409,98432,2403,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1490641,1619,329373,674,11273,1555,318100,1807,924667,1339,83378,4224,841289,4335,236601,530,82643,2953,153958,2905,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1437501,2570,249423,756,10533,1848,238890,1976,908131,1975,112805,5260,795326,5379,279947,649,100845,4033,179102,4092,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1196439,2149,233523,1214,11191,1637,222332,1976,773996,1206,79816,4480,694180,4748,188920,377,64553,3091,124367,3086,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5046754,4909,988541,1997,32023,2834,956518,3623,3125080,4010,248653,8284,2876427,9210,933133,1525,304428,6534,628705,6461,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,807290,1545,128389,651,5557,1084,122832,1138,497390,1391,70164,3718,427226,3965,181511,773,70778,3123,110733,3145,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,11058323,8608,2087692,3501,71118,5128,2016574,5507,7019682,5090,602309,12419,6417373,13446,1950949,3097,644557,8886,1306392,8657,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6210399,5563,1224200,2732,60506,3866,1163694,4499,3892191,4212,452775,10428,3439416,11195,1094008,1524,404728,6854,689280,6914,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,619536,881,130108,93,3210,787,126898,800,396135,890,32506,2377,363629,2387,93293,334,31138,1574,62155,1604,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9179765,4642,1940154,2050,84520,4632,1855634,4938,5746593,3465,655012,13223,5091581,12988,1493018,2204,517016,8757,976002,9014,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2548514,2097,518219,775,25046,1884,493173,1829,1583041,1952,223096,6378,1359945,6369,447254,877,188860,4607,258394,4586,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
