GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001EA,B13002I_001MA,B13002I_002MA,B13002I_002EA,B13002I_003EA,B13002I_003MA,B13002I_004EA,B13002I_004MA,B13002I_005MA,B13002I_005EA,B13002I_006MA,B13002I_006EA,B13002I_007MA,B13002I_007EA,state
0400000US01,45444,2180,2999,991,2436,961,563,429,42445,2542,20770,2434,21675,3009,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11845,909,622,382,507,369,115,111,11223,950,5289,1101,5934,1012,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,532214,2137,32958,3049,16510,2162,16448,2551,499256,3683,206268,5630,292988,5708,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,51254,2508,4139,1069,2811,927,1328,562,47115,2622,24018,2435,23097,2555,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3979956,4545,223322,7437,123573,5691,99749,5017,3756634,9389,1569670,15689,2186964,15046,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,285178,2613,18963,2346,10940,1623,8023,1426,266215,3587,119499,4565,146716,5482,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,146902,1137,7582,1560,2991,1005,4591,1193,139320,2060,50540,3062,88780,3746,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21372,489,1535,678,1044,552,491,346,19837,803,8371,1260,11466,1214,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19664,504,966,620,913,616,53,87,18698,820,6365,1160,12333,1170,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1217294,4078,60287,4842,33951,3557,26336,3613,1157007,6607,499154,11432,657853,12812,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,236194,3397,15438,2140,9954,1570,5484,1558,220756,3737,105966,4252,114790,4913,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,33933,558,2064,703,1470,659,594,334,31869,884,14463,1479,17406,1540,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,46673,1423,2246,851,1868,826,378,247,44427,1410,23762,1717,20665,1601,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,567529,1872,35513,3311,19220,2283,16293,2622,532016,3570,238122,6595,293894,6706,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
