GEO_ID,B16003_001E,B16003_001M,B16003_002E,B16003_002M,B16003_003E,B16003_003M,B16003_004E,B16003_004M,B16003_005E,B16003_005M,B16003_006E,B16003_006M,B16003_007E,B16003_007M,B16003_008E,B16003_008M,B16003_009E,B16003_009M,B16003_010E,B16003_010M,B16003_011E,B16003_011M,B16003_012E,B16003_012M,NAME,B16003_001MA,B16003_001EA,B16003_002EA,B16003_002MA,B16003_003MA,B16003_003EA,B16003_004MA,B16003_004EA,B16003_005EA,B16003_005MA,B16003_006EA,B16003_006MA,B16003_007MA,B16003_007EA,B16003_008EA,B16003_008MA,B16003_009MA,B16003_009EA,B16003_010MA,B16003_010EA,B16003_011MA,B16003_011EA,B16003_012EA,B16003_012MA,state
0400000US01,61993,7579,15777,2894,487,410,12558,2533,281,295,1826,684,625,662,46216,5266,34678,4506,2732,1197,6803,1670,2003,1589,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14110,4068,3748,2071,935,788,116,199,17,29,1997,1838,683,472,10362,2409,1426,718,494,528,6544,2276,1898,443,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,278625,13705,68066,5291,4866,1296,55396,4932,779,477,4415,1316,2610,1385,210559,9763,164434,9231,7742,1663,22321,3383,16062,2430,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47715,6772,12602,2818,847,617,11089,2752,0,192,666,395,0,192,35113,4497,27683,4088,2211,1097,4523,1448,696,721,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3295301,56592,686029,19438,40681,3483,520215,17511,21854,3320,92192,5594,11087,2205,2609272,42458,1580022,34290,217860,12196,756143,19112,55247,5911,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,160949,11706,44538,5168,2971,1178,33407,4892,1391,679,2914,930,3855,1852,116411,8352,79067,7126,11308,2211,16771,2826,9265,2663,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,163881,10216,28202,3669,3447,1209,18233,3039,3907,1129,2313,851,302,347,135679,7842,78247,7176,37475,3120,17642,3654,2315,1497,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19648,3593,3926,1541,241,313,2816,1431,210,241,659,460,0,189,15722,2722,9433,2593,2444,1090,3494,1337,351,372,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18585,3193,2336,878,185,225,1398,673,35,59,474,380,244,262,16249,2722,8900,2096,1789,843,3068,1332,2492,1382,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1197020,31570,185261,10890,14455,3245,137497,9244,23107,3753,7937,2232,2265,1475,1011759,25573,801991,22322,141410,10298,55430,5310,12928,3330,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
