GEO_ID,C14007G_001E,C14007G_001M,C14007G_002E,C14007G_002M,C14007G_003E,C14007G_003M,C14007G_004E,C14007G_004M,C14007G_005E,C14007G_005M,C14007G_006E,C14007G_006M,C14007G_007E,C14007G_007M,NAME,C14007G_001EA,C14007G_001MA,C14007G_002MA,C14007G_002EA,C14007G_003EA,C14007G_003MA,C14007G_004EA,C14007G_004MA,C14007G_005MA,C14007G_005EA,C14007G_006EA,C14007G_006MA,C14007G_007MA,C14007G_007EA,state
0400000US01,73276,5598,34306,3845,4678,1264,17637,2681,6440,1311,5551,1178,38970,3384,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,51681,4645,24271,3265,4147,1244,9775,1902,5095,910,5254,1554,27410,3243,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,190517,11081,92948,6738,12101,1814,40709,3635,19371,2518,20767,2550,97569,6435,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,60706,4532,28914,3375,4877,1389,14093,2111,5443,1244,4501,1053,31792,2950,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1578516,27866,759872,16387,103114,5138,320330,10989,154660,7946,181768,7067,818644,17691,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172120,8830,79236,6028,10307,1733,36829,3500,14546,2658,17554,2379,92884,5872,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,95841,7238,51193,3997,8554,1652,23342,2718,9615,1696,9682,1464,44648,4915,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23256,4133,12439,2601,1782,677,7302,1925,1195,490,2160,859,10817,2677,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18621,3255,6748,1729,1538,572,1807,814,905,496,2498,658,11873,2095,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,420647,17126,194222,10373,27540,3620,88158,6990,35533,3515,42991,4437,226425,11853,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,188530,11103,97140,6922,15453,2283,44845,4494,18782,2347,18060,2157,91390,6510,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,308074,11414,125563,7108,18003,2080,54433,3917,26662,2183,26465,3300,182511,7695,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36582,3976,16881,2815,1776,746,9018,2028,3049,900,3038,950,19701,2734,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,261885,9561,138127,7530,22655,2556,58708,5028,26143,2558,30621,2343,123758,5787,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,128979,6541,68519,4721,9503,1563,34600,2972,13420,2258,10996,1613,60460,4062,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,47165,4091,27250,3026,4998,1096,12979,1992,4518,1028,4755,954,19915,2127,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,86621,4874,45354,3612,5301,1017,21665,2658,8689,1335,9699,1672,41267,3128,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,80530,6006,40083,4253,7074,1633,20418,2860,6623,1344,5968,1285,40447,3498,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,71702,5487,35376,4122,6487,1422,15943,2536,6023,1457,6923,1774,36326,3245,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,25936,2177,10913,1341,1856,595,4885,942,2259,698,1913,583,15023,1704,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,152840,10193,76944,5823,12087,1995,34331,3659,14311,2007,16215,2119,75896,6399,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,180873,8529,83897,5750,13436,2087,35782,3519,15748,1657,18931,2749,96976,5572,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,241928,9703,122893,7002,16526,2196,56503,4406,25365,2364,24499,2226,119035,5055,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,132332,7180,71716,4853,11162,1890,34759,2685,14169,1934,11626,1694,60616,3998,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,29051,3950,14847,2798,2762,936,8326,2121,1516,556,2243,762,14204,2340,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,137893,7622,71732,5365,10548,1607,34695,3052,12807,1772,13682,1850,66161,4849,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,24290,2972,11029,1785,975,425,5393,1315,3106,791,1555,672,13261,1794,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,39027,4152,21439,2727,3241,868,9371,1886,5008,914,3819,933,17588,2463,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
