GEO_ID,B10057_001E,B10057_001M,B10057_002E,B10057_002M,B10057_003E,B10057_003M,B10057_004E,B10057_004M,B10057_005E,B10057_005M,B10057_006E,B10057_006M,B10057_007E,B10057_007M,B10057_008E,B10057_008M,B10057_009E,B10057_009M,B10057_010E,B10057_010M,B10057_011E,B10057_011M,NAME,B10057_001EA,B10057_001MA,B10057_002EA,B10057_002MA,B10057_003EA,B10057_003MA,B10057_004EA,B10057_004MA,B10057_005MA,B10057_005EA,B10057_006MA,B10057_006EA,B10057_007EA,B10057_007MA,B10057_008EA,B10057_008MA,B10057_009EA,B10057_009MA,B10057_010EA,B10057_010MA,B10057_011EA,B10057_011MA,state
0400000US01,122379,6359,73548,5951,43385,4416,28609,3549,14776,2242,30163,4019,48831,3495,19471,2203,12088,1739,7383,1488,29360,3071,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15575,2047,10269,1647,6494,1262,4460,1009,2034,608,3775,870,5306,1106,1872,757,1315,708,557,191,3434,736,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,159959,9264,101612,7666,40812,3940,25907,3361,14905,1870,60800,5983,58347,3706,18551,2126,11537,1905,7014,1286,39796,3429,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66665,4100,43027,3734,27335,2946,16324,2221,11011,1739,15692,2774,23638,2495,11039,1833,6504,1265,4535,1188,12599,1742,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1125828,19018,757989,16816,212973,7569,131823,6502,81150,4571,545016,15139,367839,9536,82864,5171,48094,3819,34770,3176,284975,8060,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100500,6067,67495,5561,27984,3710,18056,2638,9928,1800,39511,4035,33005,2810,10488,2000,7119,1687,3369,1093,22517,2278,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65480,4643,38453,3902,13749,2749,7948,2397,5801,1414,24704,2959,27027,2913,5416,1495,3938,1403,1478,464,21611,2702,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23749,2994,14513,2323,7051,1608,5329,1444,1722,611,7462,1626,9236,1820,3379,1024,2238,954,1141,563,5857,1591,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10666,1540,4227,1160,1735,753,921,613,814,350,2492,868,6439,1213,2509,807,1639,666,870,423,3930,910,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,468303,13938,270695,10909,107965,6999,63733,5985,44232,4142,162730,9831,197608,10702,46340,3546,24252,2840,22088,2135,151268,9241,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,253127,11483,148824,8180,74778,6126,50540,5152,24238,2933,74046,5691,104303,6177,35738,3989,21577,3047,14161,1974,68565,5383,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,56434,4533,40682,3950,8916,1702,4750,1201,4166,1179,31766,3386,15752,1810,2776,804,1046,512,1730,634,12976,1682,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26093,3318,17916,3061,8513,2173,5042,1545,3471,1303,9403,1999,8177,1495,2209,596,702,305,1507,520,5968,1470,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,280388,9963,182883,8596,65621,4478,41318,3142,24303,3204,117262,7087,97505,5414,32525,2504,18326,1835,14199,1897,64980,4443,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,125802,6897,79968,5514,43385,4446,30754,3837,12631,1987,36583,3411,45834,3730,17244,2044,10655,1658,6589,1377,28590,2869,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39846,3580,26543,3106,12085,1626,7440,1303,4645,1067,14458,2106,13303,1742,4001,965,2499,798,1502,522,9302,1566,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,47662,3875,31654,3397,16627,2373,9214,1885,7413,1647,15027,2292,16008,2020,6149,1333,3728,1162,2421,697,9859,1507,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,102198,6351,67926,5419,40098,4094,25218,2949,14880,2251,27828,3146,34272,3151,15172,1961,9638,1643,5534,1200,19100,2555,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,121490,6557,70707,5543,43786,4837,27028,3363,16758,2836,26921,2986,50783,3817,22873,2771,14460,2201,8413,1393,27910,2882,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
