GEO_ID,B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,B15002F_018E,B15002F_018M,B15002F_019E,B15002F_019M,NAME,B15002F_001MA,B15002F_001EA,B15002F_002EA,B15002F_002MA,B15002F_003EA,B15002F_003MA,B15002F_004MA,B15002F_004EA,B15002F_005EA,B15002F_005MA,B15002F_006MA,B15002F_006EA,B15002F_007MA,B15002F_007EA,B15002F_008EA,B15002F_008MA,B15002F_009MA,B15002F_009EA,B15002F_010MA,B15002F_010EA,B15002F_011MA,B15002F_011EA,B15002F_012MA,B15002F_012EA,B15002F_013EA,B15002F_013MA,B15002F_014EA,B15002F_014MA,B15002F_015MA,B15002F_015EA,B15002F_016EA,B15002F_016MA,B15002F_017MA,B15002F_017EA,B15002F_018MA,B15002F_018EA,B15002F_019EA,B15002F_019MA,state
0400000US01,27626,3575,14597,2477,4420,1124,1715,741,5033,1326,153,172,1440,817,725,573,556,543,555,494,13029,1958,3808,993,3124,989,2595,973,96,113,1717,927,130,248,932,544,627,458,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5501,1103,3444,835,303,239,320,277,945,426,568,416,725,459,76,72,296,252,211,262,2057,635,394,313,84,100,514,296,106,141,530,357,195,191,199,226,35,47,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,225386,10081,111845,5628,23893,2620,18374,2299,24382,3117,7573,1554,21824,2483,6660,1400,6444,1296,2695,855,113541,6089,24526,3180,18611,2397,25707,2860,4905,1272,21634,2657,6970,1524,7426,1369,3762,943,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33385,3293,18649,2272,5904,1467,4894,1451,3812,1538,155,174,2181,953,311,222,499,383,893,719,14736,1716,5010,1370,2337,932,3475,1151,436,273,1657,725,922,514,462,351,437,391,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2797635,35704,1422860,20631,376853,11442,255914,9855,337903,11278,38505,3138,240433,9282,59097,4014,85689,5125,28466,2629,1374775,18424,387588,10024,212617,7074,294282,10251,32845,2822,245702,7620,70471,4628,98866,5463,32404,2871,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,136988,7153,68633,4404,12165,1872,13710,2273,16860,2026,5227,1316,11027,1749,3284,866,4532,1116,1828,655,68355,4223,10214,1860,10437,1833,17064,2487,3107,953,15719,2147,4378,1065,4716,1053,2720,988,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,109871,7256,57355,4276,15965,2693,9590,1916,15613,2274,3398,1000,7538,1651,1436,580,2288,1098,1527,922,52516,4079,10389,1958,6861,1379,14235,2017,1966,1121,10596,1630,3050,1187,3587,1266,1832,772,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,13425,2357,7632,1588,1710,660,1286,743,1698,857,176,205,849,534,247,242,949,977,717,519,5793,1291,1563,675,1224,750,862,617,72,132,1098,648,121,159,618,369,235,218,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,13906,2738,7306,1762,1246,765,1363,731,710,573,269,274,1216,660,471,559,846,572,1185,717,6600,1489,1057,624,705,504,1192,723,237,262,715,459,358,423,849,543,1487,751,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,298196,13316,146822,7887,24900,3186,17219,2967,37566,4349,7139,2099,25279,3262,11937,2131,15262,2732,7520,1637,151374,8784,20337,3057,16580,2875,33379,3484,5472,1427,28426,3928,16639,2346,23792,3337,6749,1300,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
