GEO_ID,B10059_001E,B10059_001M,B10059_002E,B10059_002M,B10059_003E,B10059_003M,B10059_004E,B10059_004M,B10059_005E,B10059_005M,B10059_006E,B10059_006M,B10059_007E,B10059_007M,B10059_008E,B10059_008M,B10059_009E,B10059_009M,B10059_010E,B10059_010M,B10059_011E,B10059_011M,NAME,B10059_001EA,B10059_001MA,B10059_002EA,B10059_002MA,B10059_003MA,B10059_003EA,B10059_004EA,B10059_004MA,B10059_005MA,B10059_005EA,B10059_006MA,B10059_006EA,B10059_007EA,B10059_007MA,B10059_008EA,B10059_008MA,B10059_009MA,B10059_009EA,B10059_010MA,B10059_010EA,B10059_011MA,B10059_011EA,state
0400000US01,122379,6359,27157,3186,15235,2092,10740,1780,4495,1126,11922,2086,95222,5274,47621,3908,29957,3158,17664,2230,47601,4503,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15575,2047,1444,318,870,216,477,157,393,154,574,232,14131,1990,7496,1490,5298,1257,2198,608,6635,1181,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,159959,9264,31958,3610,13267,2043,8940,1684,4327,1092,18691,2967,128001,8163,46096,4333,28504,3588,17592,2155,81905,5907,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66665,4100,13120,1614,8028,1473,5785,1315,2243,670,5092,1018,53545,3994,30346,3057,17043,2314,13303,1897,23199,2908,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1125790,19023,157914,8258,55106,4247,37564,3360,17542,2219,102808,6530,967876,17842,240693,7952,142315,6500,98378,4660,727183,17181,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100500,6067,12285,2061,5082,1562,3202,1046,1880,778,7203,1649,88215,6016,33390,4171,21973,3207,11417,1997,54825,4313,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65480,4643,7401,1447,3400,1237,2498,1172,902,511,4001,1077,58079,4312,15765,2322,9388,2034,6377,1379,42314,4009,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23749,2994,2343,726,863,398,588,421,275,180,1480,574,21406,2944,9567,1800,6979,1621,2588,841,11839,2102,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10666,1540,2668,930,812,360,601,296,211,181,1856,749,7998,1328,3432,949,1959,815,1473,461,4566,1149,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,468303,13938,84257,6412,35820,4232,22347,3199,13473,2399,48437,4760,384046,13008,118485,7159,65638,5939,52847,4445,265561,11590,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,253061,11465,51551,4687,27804,3407,19122,3417,8682,1545,23747,2987,201510,9583,82646,6144,52929,4832,29717,3386,118864,7364,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,56434,4533,3913,1315,1226,644,391,240,835,535,2687,1184,52521,4333,10466,1748,5405,1309,5061,1248,42055,3846,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
