GEO_ID,C17013_001E,C17013_001M,C17013_002E,C17013_002M,C17013_003E,C17013_003M,C17013_004E,C17013_004M,C17013_005E,C17013_005M,C17013_006E,C17013_006M,C17013_007E,C17013_007M,C17013_008E,C17013_008M,C17013_009E,C17013_009M,C17013_010E,C17013_010M,C17013_011E,C17013_011M,NAME,C17013_001EA,C17013_001MA,C17013_002MA,C17013_002EA,C17013_003MA,C17013_003EA,C17013_004EA,C17013_004MA,C17013_005MA,C17013_005EA,C17013_006MA,C17013_006EA,C17013_007EA,C17013_007MA,C17013_008MA,C17013_008EA,C17013_009MA,C17013_009EA,C17013_010EA,C17013_010MA,C17013_011MA,C17013_011EA,state
0400000US01,1222568,14007,174593,5454,67274,4391,78313,3973,24913,2688,4093,1182,1047975,12811,540085,8816,415935,10681,82215,4262,9740,1379,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165431,3617,9814,1095,3031,534,4324,902,1645,410,814,218,155617,3391,71535,3006,62217,2759,17629,1737,4236,797,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1572310,12708,213512,6823,70891,3928,83416,5010,44944,3669,14261,1982,1358798,12983,700930,10143,488837,10044,145388,6093,23643,2654,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751124,10710,108793,4870,37784,3248,50679,3146,17106,2004,3224,914,642331,9468,335551,7884,245230,6575,54109,3012,7441,1591,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8645970,31516,1092977,14174,315071,8830,475088,10984,240285,8833,62533,4118,7552993,30734,3050696,24112,3240797,27862,1047801,16444,213699,6602,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1279941,10970,111594,5324,39684,3444,46462,3355,21525,2322,3923,1116,1168347,10778,569858,10201,466906,9062,115384,4991,16199,1915,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890293,9252,67625,4089,26334,2338,29214,2904,11034,1947,1043,432,822668,9009,382130,8494,347075,8462,85334,3970,8129,1358,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,228364,4558,19335,2274,7023,1267,6988,1431,4220,1271,1104,539,209029,4873,106082,3588,82762,4333,17939,2079,2246,724,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,120467,4214,18901,2027,8163,1425,8469,1400,1937,771,332,202,101566,3750,51867,3420,41937,2700,6883,1315,879,387,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4626388,25285,573647,14621,232028,7839,234205,9440,87462,5721,19952,2782,4052741,29605,2158789,18980,1507161,19389,343637,10363,43154,3771,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
