GEO_ID,B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,NAME,B25116_001EA,B25116_001MA,B25116_002EA,B25116_002MA,B25116_003MA,B25116_003EA,B25116_004EA,B25116_004MA,B25116_005EA,B25116_005MA,B25116_006MA,B25116_006EA,B25116_007MA,B25116_007EA,B25116_008EA,B25116_008MA,B25116_009MA,B25116_009EA,B25116_010EA,B25116_010MA,B25116_011MA,B25116_011EA,B25116_012MA,B25116_012EA,B25116_013EA,B25116_013MA,B25116_014MA,B25116_014EA,B25116_015MA,B25116_015EA,B25116_016MA,B25116_016EA,B25116_017EA,B25116_017MA,B25116_018EA,B25116_018MA,B25116_019MA,B25116_019EA,B25116_020EA,B25116_020MA,B25116_021MA,B25116_021EA,B25116_022EA,B25116_022MA,B25116_023MA,B25116_023EA,state
0400000US01,1822439,11200,1240017,12974,311464,7851,89858,4549,73861,3593,70482,3878,77263,3028,928553,13013,486031,10104,205095,4833,149302,3722,88125,3232,582422,10924,216410,8018,124200,5541,43366,3616,25403,2359,23441,2311,366012,9758,304385,9012,38725,3353,15195,1916,7707,1117,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,246015,2720,156107,3268,32198,2491,10985,1805,10485,1411,5546,1072,5182,949,123909,3320,71447,3215,30476,1634,15718,1261,6268,848,89908,3375,30602,2490,19272,1933,6308,1002,3080,948,1942,534,59306,3205,52453,2903,4813,845,1643,607,397,250,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2400809,11557,1490031,12319,355762,7669,101679,5177,85153,4419,82152,3597,86778,3848,1134269,12325,562194,10167,238418,5354,207059,3830,126598,3877,910778,13688,305753,9634,190389,6939,51738,4597,29278,2619,34348,2364,605025,14232,505485,11974,57295,3846,27356,3033,14889,1978,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1125899,6925,739987,8706,176035,6371,49482,3568,41680,2752,39782,2839,45091,2460,563952,8037,294732,6845,122462,3036,92959,3186,53799,2444,385912,7213,137747,7354,79461,4989,24818,2354,16336,1699,17132,1904,248165,7320,207800,6463,23336,2328,11037,1411,5992,905,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12650592,16944,6804639,28833,1370049,17682,376445,10917,317880,8400,306922,7143,368802,8187,5434590,30125,2843201,22469,1277016,12441,806719,10453,507654,8428,5845953,25919,1700050,22106,963755,15561,301987,9204,202593,7451,231715,8564,4145903,26127,3389941,23218,452402,10328,193149,7113,110411,4325,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2002800,8550,1291945,10661,301277,7148,107419,5304,76924,3715,61466,3407,55468,2533,990668,10416,564555,8247,223276,5118,131292,3399,71545,2604,710855,11436,257627,7112,156523,6214,45943,3161,26225,2395,28936,2341,453228,9534,390158,9228,39216,2760,14506,1787,9348,1164,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1339860,7005,888478,8542,194247,6298,55051,4179,44452,3347,40916,3051,53828,2711,694231,8147,372788,6487,167105,3988,97514,2809,56824,2381,451382,9182,176691,6338,85211,5177,34050,3036,24991,2370,32439,2566,274691,8148,221005,6886,29298,2337,14644,2105,9744,1450,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,339071,3144,243047,3975,56084,2930,17861,2300,11647,1425,13272,1351,13304,1311,186963,4053,95174,3457,43117,1777,31366,1343,17306,1264,96024,4093,33851,2696,17716,2034,6512,1376,5059,1162,4564,977,62173,4111,52453,3731,5601,1096,2148,647,1971,724,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,271651,3228,110513,3814,42452,3143,21125,2197,8095,1330,7200,1083,6032,948,68061,3292,36519,2577,14363,1502,9687,1041,7492,896,161138,4370,72299,4069,48174,3410,11251,1600,6969,1082,5905,1030,88839,3443,73699,3216,8944,1324,3732,772,2464,787,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7211584,26752,4672482,24352,1234866,17936,306897,9696,263497,7887,300949,8654,363523,8118,3437616,22801,1561310,16981,762213,10237,664538,7824,449555,7423,2539102,20898,878854,17043,489959,13389,155686,6717,107859,6037,125350,5484,1660248,19709,1335976,18110,180331,6323,88171,5153,55770,4196,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
