GEO_ID,B27020_001E,B27020_001M,B27020_002E,B27020_002M,B27020_003E,B27020_003M,B27020_004E,B27020_004M,B27020_005E,B27020_005M,B27020_006E,B27020_006M,B27020_007E,B27020_007M,B27020_008E,B27020_008M,B27020_009E,B27020_009M,B27020_010E,B27020_010M,B27020_011E,B27020_011M,B27020_012E,B27020_012M,B27020_013E,B27020_013M,B27020_014E,B27020_014M,B27020_015E,B27020_015M,B27020_016E,B27020_016M,B27020_017E,B27020_017M,NAME,B27020_001EA,B27020_001MA,B27020_002EA,B27020_002MA,B27020_003MA,B27020_003EA,B27020_004MA,B27020_004EA,B27020_005EA,B27020_005MA,B27020_006EA,B27020_006MA,B27020_007EA,B27020_007MA,B27020_008MA,B27020_008EA,B27020_009MA,B27020_009EA,B27020_010MA,B27020_010EA,B27020_011EA,B27020_011MA,B27020_012EA,B27020_012MA,B27020_013EA,B27020_013MA,B27020_014EA,B27020_014MA,B27020_015EA,B27020_015MA,B27020_016EA,B27020_016MA,B27020_017EA,B27020_017MA,state
0400000US01,4755381,1814,4595138,7538,4018274,17132,2997155,24312,1635220,17927,576864,14969,160243,7658,58308,4182,46475,3482,40412,3503,14538,1829,11833,2353,101935,6730,45197,4924,42237,4677,5079,1607,56738,5323,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,712248,1963,662281,4046,543855,7899,434509,9267,172386,5747,118426,6625,49967,3534,27849,2618,23063,2508,19461,2446,7666,1247,4786,1089,22118,3394,13344,2378,10497,1688,3386,1518,8774,1887,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6521226,1734,5640382,18770,4856263,25484,3521390,27404,2024032,23032,784119,19862,880844,18477,340209,11574,278394,10399,203794,9394,113204,5574,61815,6074,540635,17009,268383,10692,179229,8954,104415,7132,272252,13569,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2907014,1233,2774035,5277,2366518,13850,1624575,19070,1085043,12301,407517,12864,132979,5428,43466,4204,33368,3795,26608,2932,10316,1977,10098,2049,89513,5350,42178,3668,37730,3689,5276,1376,47335,4607,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37831553,5167,27595671,54968,24177275,64926,17755865,69586,9020707,49432,3418396,40555,10235882,54145,4972621,30182,4202978,31075,3069957,24355,1595591,19639,769643,14947,5263261,48517,2951121,29628,1867846,24079,1185452,25653,2312140,34168,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5173272,2685,4678466,11679,4124686,17298,3322347,22103,1289094,19076,553780,14930,494806,11416,195249,7467,161882,6494,129482,6013,54419,3657,33367,3588,299557,9995,157516,8275,114807,7693,50676,5459,142041,7561,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541409,1156,3045172,12659,2837754,16610,2211745,22018,982572,17388,207418,11220,496237,12876,242631,7960,218004,7811,172742,7241,79360,4667,24627,3076,253606,12077,153148,8223,119405,7374,41309,4400,100458,8205,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,911502,1114,835182,4566,772289,6643,590984,10431,307734,9266,62893,4857,76320,4380,34381,3084,30719,2915,25571,2725,10771,1741,3662,1016,41939,3685,25210,2630,20261,2324,6094,1537,16729,2769,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,635833,581,543820,5275,512000,5670,375198,6850,195945,7468,31820,3116,92013,5280,37633,3808,33844,3643,26599,3062,13811,1992,3789,1284,54380,4494,47694,4447,35888,4016,15002,3353,6686,1529,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19245127,3839,15475679,37685,13010153,49920,9306703,54260,5738595,47630,2465526,37698,3769448,37653,2014348,27371,1566207,23118,1051100,20409,708007,12343,448141,14870,1755100,28734,815804,19366,577606,17634,286634,10663,939296,22863,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9800887,3675,8842300,19215,7432554,28626,5582606,37826,2743074,27355,1409746,25489,958587,18804,372223,10841,283130,9812,239561,9174,74321,5491,89093,7126,586364,16022,238898,11412,206766,10458,38482,4433,347466,14456,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1345168,3281,1103448,11019,1038956,10433,846847,11797,349609,8989,64492,4965,241720,9919,136225,6217,128124,6394,104528,6165,46485,3160,8101,1418,105495,7678,87333,6546,65445,5656,28214,3887,18162,3006,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
