GEO_ID,C17001G_001E,C17001G_001M,C17001G_002E,C17001G_002M,C17001G_003E,C17001G_003M,C17001G_004E,C17001G_004M,C17001G_005E,C17001G_005M,C17001G_006E,C17001G_006M,C17001G_007E,C17001G_007M,C17001G_008E,C17001G_008M,C17001G_009E,C17001G_009M,C17001G_010E,C17001G_010M,C17001G_011E,C17001G_011M,C17001G_012E,C17001G_012M,C17001G_013E,C17001G_013M,C17001G_014E,C17001G_014M,C17001G_015E,C17001G_015M,C17001G_016E,C17001G_016M,C17001G_017E,C17001G_017M,C17001G_018E,C17001G_018M,C17001G_019E,C17001G_019M,NAME,C17001G_001EA,C17001G_001MA,C17001G_002EA,C17001G_002MA,C17001G_003MA,C17001G_003EA,C17001G_004MA,C17001G_004EA,C17001G_005MA,C17001G_005EA,C17001G_006EA,C17001G_006MA,C17001G_007MA,C17001G_007EA,C17001G_008MA,C17001G_008EA,C17001G_009MA,C17001G_009EA,C17001G_010MA,C17001G_010EA,C17001G_011EA,C17001G_011MA,C17001G_012EA,C17001G_012MA,C17001G_013EA,C17001G_013MA,C17001G_014MA,C17001G_014EA,C17001G_015EA,C17001G_015MA,C17001G_016EA,C17001G_016MA,C17001G_017MA,C17001G_017EA,C17001G_018MA,C17001G_018EA,C17001G_019MA,C17001G_019EA,state
0400000US01,79097,6541,19145,3051,9136,1876,5829,1490,3213,1252,94,152,10009,2133,6201,1898,3514,917,294,256,59952,5852,29770,3638,14565,2814,13527,1776,1678,513,30182,3101,12880,1972,14843,1978,2459,638,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,55510,4997,5198,1124,2222,700,1188,490,1006,480,28,34,2976,726,1254,442,1722,624,0,147,50312,4997,24967,3297,12144,1919,12144,2199,679,369,25345,2755,11171,1813,13494,1783,680,328,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,204642,11696,40552,4627,17879,2492,9484,1747,7784,1394,611,418,22673,2873,10702,2172,11059,1776,912,382,164090,10920,83067,6539,40944,4010,38243,4002,3880,648,81023,6042,38138,3929,37427,3373,5458,818,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64008,4761,19915,3588,9642,2090,5628,1560,3880,1108,134,153,10273,2151,6054,1621,3604,1070,615,406,44093,4398,23389,2550,10580,1865,11135,1668,1674,614,20704,2997,8236,2006,9543,1643,2925,809,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1685442,28603,276424,14168,129029,8592,65655,5348,58046,5127,5328,1169,147395,7946,62358,5315,77709,5062,7328,1282,1409018,26304,717686,15258,328029,10043,360240,9517,29417,2496,691332,17421,301562,10165,350538,10816,39232,3005,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184815,10023,29302,4704,12599,2598,6191,1636,6241,1676,167,157,16703,2973,7261,1916,8766,1687,676,409,155513,9245,79720,5529,34957,3466,41745,3499,3018,729,75793,5504,34270,3674,38241,2884,3282,889,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,99851,7881,22937,4447,10333,2389,5107,1822,4923,1453,303,236,12604,2731,6376,1565,5547,1563,681,452,76914,6738,37847,4174,18717,2606,17394,2505,1736,608,39067,3922,19696,2413,17888,2159,1483,524,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25998,4371,6395,3003,3544,2028,2418,1261,1039,1020,87,133,2851,1202,1749,866,880,700,222,216,19603,3199,9279,2125,4843,1231,4081,1438,355,246,10324,1912,5721,1293,4031,1180,572,284,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19412,3299,1706,681,490,330,112,134,378,308,0,203,1216,559,302,316,831,438,83,107,17706,3300,9022,2346,3428,1383,5114,1345,480,377,8684,1618,2480,751,5719,1227,485,281,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,446858,17683,88234,8483,42645,5602,21777,3847,18933,3634,1935,767,45589,4226,21710,2867,21070,2623,2809,851,358624,14975,174852,8591,72668,5267,92587,6365,9597,1346,183772,9891,77294,5679,94027,6496,12451,1654,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,203450,11622,47292,5653,20346,3077,12765,2089,7413,1796,168,138,26946,3665,15187,2640,11184,2364,575,365,156158,8990,77825,5434,41684,4056,33968,3428,2173,779,78333,5396,38108,3251,37148,3553,3077,1082,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,322331,11655,42080,5839,20248,3293,9945,2273,9537,1896,766,448,21832,3242,7752,1887,13228,1870,852,379,280251,11785,138587,6927,54882,3926,75519,4705,8186,1170,141664,6606,52910,3714,77512,4207,11242,1464,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37539,4130,9728,2566,5216,1620,2722,1088,2462,1023,32,62,4512,1277,2113,722,2153,813,246,209,27811,3999,14574,2481,7133,1617,6809,1589,632,311,13237,2347,5731,1592,6824,1464,682,308,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
