GEO_ID,C17003_001E,C17003_001M,C17003_002E,C17003_002M,C17003_003E,C17003_003M,C17003_004E,C17003_004M,C17003_005E,C17003_005M,C17003_006E,C17003_006M,C17003_007E,C17003_007M,C17003_008E,C17003_008M,C17003_009E,C17003_009M,C17003_010E,C17003_010M,C17003_011E,C17003_011M,NAME,C17003_001MA,C17003_001EA,C17003_002EA,C17003_002MA,C17003_003EA,C17003_003MA,C17003_004MA,C17003_004EA,C17003_005EA,C17003_005MA,C17003_006MA,C17003_006EA,C17003_007MA,C17003_007EA,C17003_008EA,C17003_008MA,C17003_009MA,C17003_009EA,C17003_010MA,C17003_010EA,C17003_011EA,C17003_011MA,state
0400000US01,3166830,5331,455067,11860,146369,7439,157209,6654,117457,5736,34032,3050,2711763,12728,329901,9343,822615,12818,839727,12685,719520,14355,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,456433,1842,34203,2810,7337,1315,15179,1649,8709,1554,2978,1009,422230,3388,30150,2342,111573,4573,154836,4635,125671,5152,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4267479,3670,610745,15960,189619,8687,184535,7600,170838,7596,65753,4570,3656734,16068,401727,12352,868422,14461,1269487,15385,1117098,14431,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1919095,4815,284007,9646,83140,5401,110028,5996,71603,4682,19236,2346,1635088,10799,210492,7486,559023,10247,482020,11503,383553,10784,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24815452,6838,3296321,32112,1175661,18980,822224,15439,856318,16640,442118,12409,21519131,33208,3317916,32418,4306279,34271,6562841,44224,7332095,34756,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3457511,4670,335279,10627,81026,5422,98147,5577,95533,4927,60573,3600,3122232,11598,237195,8263,638435,12324,984036,13261,1262566,12957,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2423057,2263,212938,8448,57388,5096,73813,5660,50270,3920,31467,2848,2210119,8622,184567,8614,582607,10794,561467,10804,881478,13121,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,619901,1285,60514,4732,16618,2272,23602,2635,13870,2285,6424,1311,559387,5126,53343,3580,169714,5200,156199,6000,180131,5498,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,445621,718,64846,4432,17014,2121,21975,2497,12575,1719,13282,2044,380775,4416,26314,2972,59289,3144,60726,3706,234446,5282,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13510497,7346,1874668,30948,496230,15987,661761,16050,477759,13646,238918,8931,11635829,32655,1242047,19051,3293736,29069,3621552,31395,3478494,31946,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
