GEO_ID,B12002G_001E,B12002G_001M,B12002G_002E,B12002G_002M,B12002G_003E,B12002G_003M,B12002G_004E,B12002G_004M,B12002G_005E,B12002G_005M,B12002G_006E,B12002G_006M,B12002G_007E,B12002G_007M,B12002G_008E,B12002G_008M,B12002G_009E,B12002G_009M,B12002G_010E,B12002G_010M,B12002G_011E,B12002G_011M,B12002G_012E,B12002G_012M,B12002G_013E,B12002G_013M,NAME,B12002G_001MA,B12002G_001EA,B12002G_002MA,B12002G_002EA,B12002G_003EA,B12002G_003MA,B12002G_004EA,B12002G_004MA,B12002G_005EA,B12002G_005MA,B12002G_006MA,B12002G_006EA,B12002G_007EA,B12002G_007MA,B12002G_008EA,B12002G_008MA,B12002G_009MA,B12002G_009EA,B12002G_010EA,B12002G_010MA,B12002G_011MA,B12002G_011EA,B12002G_012MA,B12002G_012EA,B12002G_013MA,B12002G_013EA,state
0400000US44,16543,3246,8914,2010,6020,1807,2277,710,180,222,229,276,208,206,7629,1815,3880,1264,2327,928,250,396,450,295,722,410,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,49641,4224,25672,2762,14326,2267,7985,1542,353,211,328,229,2680,823,23969,2394,11374,1858,7884,1286,536,392,1173,588,3002,818,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,14003,2344,7424,1648,3480,1053,2185,718,181,246,119,107,1459,756,6579,1314,3237,902,2030,774,230,293,290,219,792,304,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,69267,5193,34317,3139,16120,2599,12270,2054,558,525,1073,615,4296,1098,34950,3536,16312,3063,10759,1817,686,364,2268,713,4925,1011,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,386997,13333,187430,8695,94609,5503,70406,4948,3800,1176,3316,903,15299,2035,199567,8179,84908,5416,71027,4574,5693,1276,9757,1553,28182,2704,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,37229,3651,18660,2069,11312,1551,5675,1090,31,62,142,220,1500,717,18569,2648,10137,1996,5636,1059,194,149,589,369,2013,663,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,7764,938,3289,698,1709,536,1190,451,122,137,27,48,241,189,4475,815,2312,652,882,364,0,151,249,209,1032,465,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,150524,7208,73653,4388,39312,3074,25076,2482,2057,766,460,248,6748,1438,76871,4970,34093,3262,28652,2741,2140,746,3628,851,8358,1453,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,206671,8401,101513,5485,56498,3538,30706,2906,3901,1336,782,390,9626,1760,105158,5744,51802,3912,33657,2724,2976,809,3990,1180,12733,2019,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,20783,2153,9500,1267,4311,938,3417,752,408,258,225,300,1139,430,11283,1674,4631,1101,3561,802,56,69,1079,499,1956,650,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,67944,4295,34359,2611,21944,2303,8701,1242,120,104,667,274,2927,733,33585,2515,18220,2157,8967,1214,497,256,2158,736,3743,855,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,8717,2017,3711,1182,2062,962,1475,555,0,193,0,193,174,141,5006,1376,2026,804,1979,751,348,388,372,369,281,206,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,255476,11220,120234,6403,55974,4367,45040,3293,1902,686,2695,662,14623,2494,135242,5918,50204,3502,45450,3164,4808,1175,12826,1850,21954,2840,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
