GEO_ID,B25100_001E,B25100_001M,B25100_002E,B25100_002M,B25100_003E,B25100_003M,B25100_004E,B25100_004M,B25100_005E,B25100_005M,B25100_006E,B25100_006M,B25100_007E,B25100_007M,B25100_008E,B25100_008M,B25100_009E,B25100_009M,B25100_010E,B25100_010M,B25100_011E,B25100_011M,B25100_012E,B25100_012M,B25100_013E,B25100_013M,NAME,B25100_001MA,B25100_001EA,B25100_002EA,B25100_002MA,B25100_003EA,B25100_003MA,B25100_004EA,B25100_004MA,B25100_005MA,B25100_005EA,B25100_006EA,B25100_006MA,B25100_007EA,B25100_007MA,B25100_008MA,B25100_008EA,B25100_009EA,B25100_009MA,B25100_010EA,B25100_010MA,B25100_011MA,B25100_011EA,B25100_012EA,B25100_012MA,B25100_013EA,B25100_013MA,state
0400000US01,1240017,12974,719189,11998,334682,8617,168920,6572,82086,3953,128596,4893,4905,1149,520828,7917,231057,6415,85765,4387,53660,2919,140939,4532,9407,1471,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156107,3268,99127,3509,30837,2707,29579,2544,16479,1526,22058,1821,174,166,56980,2687,19576,1994,10128,1333,7033,1236,20094,1623,149,146,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1490031,12319,962561,11844,343056,8466,232750,6849,136322,5583,240944,8154,9489,1533,527470,8593,197107,5291,77261,3435,56926,3509,183940,5282,12236,1874,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,739987,8706,412235,8171,212748,6101,89980,4701,42803,3404,63647,3676,3057,1004,327752,6053,154298,4447,54283,3154,35522,2821,78881,3787,4768,1030,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6804639,28833,4941183,28332,804717,12063,929693,13604,822515,13967,2349080,24068,35178,3882,1863456,15586,381224,8408,195577,5618,176589,6505,1084251,11425,25815,2348,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1291945,10661,934605,10783,238731,5570,258110,7240,163403,5677,269794,7768,4567,1150,357340,6897,93708,4199,53531,3034,43098,2588,163357,5012,3646,689,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,888478,8542,614989,8583,186711,5759,169376,6221,95943,4705,160139,5745,2820,766,273489,6462,61253,2987,46750,3080,34170,2520,128246,4828,3070,793,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243047,3975,165067,4059,47884,2900,46229,3037,23534,2309,46361,3047,1059,453,77980,3302,21603,1858,12368,1377,9429,1435,33748,2328,832,453,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110513,3814,84271,3620,13384,1545,17343,1838,17255,2021,35704,2312,585,379,26242,2017,2330,683,2560,697,2988,714,17763,1836,601,337,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4672482,24352,2766041,21294,1090030,14666,618092,12098,334827,8739,699386,13635,23706,2416,1906441,20472,692729,12361,295408,7443,214283,7082,666488,10498,37533,3284,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2222377,19196,1501828,15909,707421,12371,343132,9628,164875,6980,274838,8221,11562,1767,720549,11953,307600,9152,117677,4728,71321,4478,211046,7425,12905,1579,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,252999,3913,171544,4301,13259,1448,19797,2006,30683,2469,106925,4370,880,455,81455,3246,7236,1144,5548,1017,8119,1420,59540,3035,1012,484,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
