GEO_ID,C17002_001E,C17002_001M,C17002_002E,C17002_002M,C17002_003E,C17002_003M,C17002_004E,C17002_004M,C17002_005E,C17002_005M,C17002_006E,C17002_006M,C17002_007E,C17002_007M,C17002_008E,C17002_008M,NAME,C17002_001MA,C17002_001EA,C17002_002EA,C17002_002MA,C17002_003EA,C17002_003MA,C17002_004MA,C17002_004EA,C17002_005EA,C17002_005MA,C17002_006MA,C17002_006EA,C17002_007EA,C17002_007MA,C17002_008MA,C17002_008EA,state
0400000US01,4716105,2548,397866,15112,485505,19212,271168,15652,271450,14517,333091,16958,137851,9561,2819174,30115,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,718359,1166,30611,3625,36405,3128,26867,3924,33734,6551,36955,4791,17963,3777,535824,9134,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6477191,3417,574905,20992,631555,24344,341349,17167,361426,20767,458847,20218,199460,14717,3909649,34574,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2873340,3117,238195,13767,327274,13446,180570,12369,180584,12541,224947,11261,95258,9269,1626512,22830,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37593091,8648,2761078,53764,3567746,53416,1992521,45792,1932370,46621,2582641,50131,1014163,33382,23742572,89997,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5151461,2077,285942,13180,381504,19297,226096,14305,225030,13595,309425,15683,130328,10078,3593136,26894,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3485353,2242,168578,10346,205322,12812,110685,8682,113873,10914,163508,12165,75515,8947,2647872,22539,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,900322,1123,56840,6755,54487,6440,42245,6037,36717,5026,53789,6034,20085,4000,636159,11563,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,611788,780,63136,5630,52415,5897,24983,4436,22967,4905,28417,5303,13426,3497,406444,8680,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19129950,7199,1458753,38687,1794580,44842,1002583,34305,1051523,32111,1445219,36471,580621,26130,11796671,68734,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9720914,4997,858146,28179,985622,30863,518277,24055,516883,26094,701943,25349,288311,15962,5851732,46048,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1367662,1488,72922,7822,75446,8206,50493,7440,44117,5548,81168,7680,34052,6478,1009464,13563,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1582911,1262,102497,8439,144053,11769,87971,7230,96198,10184,130724,10680,57973,8162,963495,18192,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12576680,3928,855537,22203,989856,27791,535581,20717,570497,23155,758739,23615,304626,15968,8561844,47563,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6367890,3100,462127,17680,553000,20089,306517,16380,312080,17708,473088,17965,168734,11343,4092344,30865,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2991670,1604,166365,9739,212762,10472,119439,8879,127321,8035,192048,10042,80874,7910,2092861,18696,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2811722,2188,166289,10146,227069,15175,118307,9522,130577,8260,194724,12635,78142,7013,1896614,17654,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4266556,2510,340232,15048,460403,16149,230570,12595,230910,12230,289042,11216,118201,9347,2597198,22250,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4494989,2903,404166,21182,483853,19876,250438,14489,236241,13451,305379,15031,117704,9571,2697208,28373,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1293827,1147,65946,6776,114693,6779,70317,6513,65577,5465,92549,7523,40016,4398,844729,10515,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
