GEO_ID,C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,NAME,C14005_001EA,C14005_001MA,C14005_002MA,C14005_002EA,C14005_003MA,C14005_003EA,C14005_004EA,C14005_004MA,C14005_005MA,C14005_005EA,C14005_006MA,C14005_006EA,C14005_007EA,C14005_007MA,C14005_008EA,C14005_008MA,C14005_009EA,C14005_009MA,C14005_010EA,C14005_010MA,C14005_011EA,C14005_011MA,C14005_012MA,C14005_012EA,C14005_013MA,C14005_013EA,C14005_014EA,C14005_014MA,C14005_015MA,C14005_015EA,C14005_016EA,C14005_016MA,C14005_017EA,C14005_017MA,C14005_018MA,C14005_018EA,C14005_019EA,C14005_019MA,state
0400000US01,264851,6376,132194,4946,107323,4506,24871,2647,17880,2396,14131,2177,3749,1032,6991,1410,3316,1012,3675,1066,132657,4364,113736,4278,18921,2711,12467,1904,7333,1410,5134,1378,6454,1694,2680,1040,3774,1176,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,42317,2798,23746,2013,18656,1984,5090,962,4036,846,3515,823,521,231,1054,378,542,369,512,236,18571,1898,15545,1894,3026,934,1683,459,1112,351,571,321,1343,774,405,374,938,572,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,364600,5011,187893,2975,152743,3750,35150,2630,22094,2388,17054,2228,5040,1135,13056,1812,6180,1418,6876,1228,176707,4028,146524,4875,30183,3116,22106,2678,14590,2060,7516,1488,8077,1442,3124,894,4953,1181,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,158421,5343,84836,3909,66837,3396,17999,2571,13583,2173,8691,1856,4892,1402,4416,1318,2234,970,2182,765,73585,3562,63039,3394,10546,1725,7805,1349,5026,1219,2779,802,2741,933,692,316,2049,892,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2140046,10712,1106341,6858,941800,8850,164541,6328,119796,5119,79375,4152,40421,3660,44745,3429,22832,2458,21913,2460,1033705,8392,906446,9876,127259,5698,99435,4571,62422,4085,37013,3001,27824,3316,10825,1831,16999,2668,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,271685,5640,142680,3902,120659,3805,22021,2190,15033,1658,12205,1481,2828,847,6988,1532,4784,1240,2204,761,129005,3701,113622,3658,15383,1874,11375,1512,8644,1393,2731,719,4008,1104,1793,736,2215,789,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,206145,2847,105079,2219,90820,2473,14259,1726,10447,1545,9149,1493,1298,577,3812,856,2330,781,1482,707,101066,2298,92310,2434,8756,1402,6991,1292,4840,1126,2151,714,1765,726,950,640,815,378,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45246,1465,21628,1035,18936,1150,2692,687,2018,637,1924,636,94,97,674,349,376,264,298,230,23618,1136,21474,1161,2144,680,1480,521,1132,464,348,262,664,376,90,108,574,367,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32042,2669,15933,1656,13720,1703,2213,597,1282,577,909,534,373,312,931,403,185,229,746,412,16109,1611,13895,1659,2214,947,1269,752,990,632,279,295,945,865,55,92,890,857,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,966362,9778,498189,6298,413365,7551,84824,5667,59079,5358,41491,4311,17588,2896,25745,2956,11738,1875,14007,2123,468173,6924,399811,8064,68362,5867,46591,4267,27931,3166,18660,3223,21771,3187,9392,2220,12379,2161,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
