B17016_042M,B17016_043E,B17016_043M,B17016_044E,B17016_044M,B17016_045E,B17016_045M,B17016_046E,B17016_046M,B17016_047E,B17016_047M,GEO_ID,B17016_001E,B17016_001M,B17016_002E,B17016_002M,B17016_003E,B17016_003M,B17016_004E,B17016_004M,B17016_005E,B17016_005M,B17016_006E,B17016_006M,B17016_007E,B17016_007M,B17016_008E,B17016_008M,B17016_009E,B17016_009M,B17016_010E,B17016_010M,B17016_011E,B17016_011M,B17016_012E,B17016_012M,B17016_013E,B17016_013M,B17016_014E,B17016_014M,B17016_015E,B17016_015M,B17016_016E,B17016_016M,B17016_017E,B17016_017M,B17016_018E,B17016_018M,B17016_019E,B17016_019M,B17016_020E,B17016_020M,B17016_021E,B17016_021M,B17016_022E,B17016_022M,B17016_023E,B17016_023M,B17016_024E,B17016_024M,B17016_025E,B17016_025M,B17016_026E,B17016_026M,B17016_027E,B17016_027M,B17016_028E,B17016_028M,B17016_029E,B17016_029M,B17016_030E,B17016_030M,B17016_031E,B17016_031M,B17016_032E,B17016_032M,B17016_033E,B17016_033M,B17016_034E,B17016_034M,B17016_035E,B17016_035M,B17016_036E,B17016_036M,B17016_037E,B17016_037M,B17016_038E,B17016_038M,B17016_039E,B17016_039M,B17016_040E,B17016_040M,B17016_041E,B17016_041M,B17016_042E,B17016_042MA,B17016_043MA,B17016_043EA,B17016_044MA,B17016_044EA,B17016_045EA,B17016_045MA,B17016_046EA,B17016_046MA,B17016_047EA,B17016_047MA,NAME,B17016_001EA,B17016_001MA,B17016_002EA,B17016_002MA,B17016_003MA,B17016_003EA,B17016_004EA,B17016_004MA,B17016_005MA,B17016_005EA,B17016_006EA,B17016_006MA,B17016_007EA,B17016_007MA,B17016_008MA,B17016_008EA,B17016_009MA,B17016_009EA,B17016_010MA,B17016_010EA,B17016_011MA,B17016_011EA,B17016_012EA,B17016_012MA,B17016_013EA,B17016_013MA,B17016_014MA,B17016_014EA,B17016_015MA,B17016_015EA,B17016_016MA,B17016_016EA,B17016_017MA,B17016_017EA,B17016_018EA,B17016_018MA,B17016_019MA,B17016_019EA,B17016_020MA,B17016_020EA,B17016_021MA,B17016_021EA,B17016_022MA,B17016_022EA,B17016_023EA,B17016_023MA,B17016_024EA,B17016_024MA,B17016_025MA,B17016_025EA,B17016_026MA,B17016_026EA,B17016_027MA,B17016_027EA,B17016_028EA,B17016_028MA,B17016_029EA,B17016_029MA,B17016_030MA,B17016_030EA,B17016_031MA,B17016_031EA,B17016_032MA,B17016_032EA,B17016_033EA,B17016_033MA,B17016_034EA,B17016_034MA,B17016_035MA,B17016_035EA,B17016_036MA,B17016_036EA,B17016_037MA,B17016_037EA,B17016_038EA,B17016_038MA,B17016_039EA,B17016_039MA,B17016_040EA,B17016_040MA,B17016_041MA,B17016_041EA,B17016_042EA,state
1924,14491,2268,177208,6823,93553,5261,29027,3068,54628,3443,0400000US01,1222568,14007,174593,5454,50938,3329,9676,1724,427,232,1598,691,7651,1517,11836,1858,1698,599,3974,1105,6164,1144,29426,2374,3970,1082,6749,1640,18707,1964,123655,5176,16642,2341,3747,1141,6051,1306,6844,1348,107013,4850,19214,2590,36066,3642,51733,3175,1047975,12811,806927,13011,431364,8980,236035,8135,86469,4155,108860,4688,122965,4899,65664,4068,24399,2460,32902,2631,252598,7148,76806,4557,26846,2261,148946,5020,241048,8506,63840,4466,39504,3806,9845,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
762,1535,506,19837,1610,11751,1433,4688,762,3398,660,0400000US02,165431,3617,9814,1095,3224,535,428,237,0,147,52,41,376,235,1286,355,44,41,562,242,680,280,1510,386,107,77,610,319,793,281,6590,957,1602,421,204,141,881,336,517,201,4988,887,168,116,2916,644,1904,515,155617,3391,123278,3925,67791,3636,35223,2761,18741,1899,13827,1618,31366,2311,13728,1681,13193,1286,4445,902,24121,1941,9849,1355,4387,775,9885,1120,32339,2400,12502,1764,7725,1506,3242,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2375,16783,2279,210141,7236,128290,5704,38670,3411,43181,3186,0400000US04,1572310,12708,213512,6823,91562,4923,18338,2403,636,425,2709,872,14993,2238,23594,2781,2763,812,8090,1456,12741,2122,49630,3731,9436,1730,8659,1649,31535,2865,121950,5349,25835,2700,5649,1333,7427,1601,12759,1799,96115,4873,15676,2097,33785,2971,46654,3524,1358798,12983,1045031,11565,505608,10342,255197,7093,113976,4624,136435,5833,192664,6579,91837,4412,48906,3605,51921,3105,346759,7130,85740,4897,35901,2828,225118,5151,313767,10077,103626,6418,69392,5063,17451,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1139,8887,1273,93414,4501,52281,3390,14586,1780,26547,2761,0400000US05,751124,10710,108793,4870,39058,3020,7255,1342,646,371,1296,558,5313,1064,9494,1602,1471,618,3533,906,4490,989,22309,2379,4816,1072,3740,1118,13753,1738,69735,4077,13064,2061,2248,882,4100,1125,6716,1621,56671,3500,9086,1580,22000,2149,25585,2722,642331,9468,509479,8797,266686,7988,152709,5787,49645,3430,64332,3938,81070,3728,42707,2900,16456,1711,21907,2139,161723,4829,49349,3474,17382,1518,94992,3310,132852,5003,39438,3104,25772,3076,4779,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
5599,104739,5360,1233782,13731,653612,13248,279588,8005,300582,7657,0400000US06,8645970,31516,1092977,14174,462770,10647,97956,4986,7137,1484,17280,2033,73539,4256,147411,5885,12662,1958,47335,3490,87414,5098,217403,6867,40072,3145,46905,3272,130426,5742,630207,11812,136695,5738,34389,3450,52693,3504,49613,3341,493512,9785,65572,3753,177145,6106,250795,8595,7552993,30734,5697544,28260,3038977,24090,1473276,19397,705601,11204,860100,14549,1185635,16440,572773,11396,327580,8793,285282,7530,1472932,16269,499865,11903,189875,5980,783192,9810,1855449,18633,621667,12504,391027,9880,125901,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
2172,10702,1447,155253,5684,90525,4402,35600,2969,29128,2649,0400000US08,1279941,10970,111594,5324,45912,3809,9031,1486,972,554,2584,969,5475,1245,16928,2562,1936,780,7351,1671,7641,1451,19953,2080,3968,1096,4429,1239,11556,1430,65682,3667,11582,1915,2948,1048,4632,1194,4002,1057,54100,3537,8009,1478,25830,2583,20261,2142,1168347,10778,936290,11617,513238,9155,267579,7667,125638,5798,120021,4742,202596,6228,105902,4765,54298,3392,42396,2564,220456,5957,72553,4277,32009,2341,115894,4225,232057,7209,76804,5221,52371,4257,13731,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1984,9014,1376,132527,5470,73508,4125,30826,2896,28193,2706,0400000US09,890293,9252,67625,4089,18952,2417,2944,959,291,247,623,325,2030,811,5603,1206,657,386,2249,756,2697,820,10405,1727,544,355,2631,1006,7230,1393,48673,3115,6060,1505,384,297,2465,1068,3211,970,42613,3022,3995,1013,19013,2124,19605,2046,822668,9009,638933,9589,357726,8642,188080,6120,93827,4302,75819,4446,132851,5128,70830,3569,35292,2694,26729,1922,148356,4874,47998,3074,21790,2180,78568,3049,183735,6411,51208,3549,31869,3006,10325,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
548,2412,662,37602,3276,21954,2368,7546,1613,8102,1268,0400000US10,228364,4558,19335,2274,6207,1349,966,554,0,189,24,39,942,550,2412,929,306,379,749,465,1357,660,2829,704,356,292,812,496,1661,579,13128,1840,1747,768,267,228,569,536,911,404,11381,1673,1366,614,4631,1024,5384,1202,209029,4873,158526,4790,82779,4198,47044,3155,17998,2065,17737,2193,29766,1821,14404,1610,6659,1152,8703,1246,45981,2172,10013,1461,5540,993,30428,1769,50503,3510,12901,1748,9039,1492,1450,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
739,2171,802,29527,2270,16755,1813,5685,1199,7087,1197,0400000US11,120467,4214,18901,2027,3481,929,202,199,0,203,85,135,117,113,1364,602,0,203,441,358,923,443,1915,779,292,318,54,88,1569,711,15420,2011,2054,714,257,333,521,373,1276,567,13366,1966,1071,652,2866,853,9429,1703,101566,3750,62324,3075,38473,2419,23646,1894,7778,1233,7049,1136,11332,1620,5785,1281,3207,942,2340,634,12519,1434,4532,942,2029,734,5958,806,39242,2530,9715,1504,5895,1210,1649,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
3284,53727,3833,678293,13031,391372,10692,128028,6077,158893,6159,0400000US12,4626388,25285,573647,14621,233488,8547,44184,4253,5359,1312,6999,1480,31826,3576,58296,4662,6585,1420,19179,2570,32532,3248,131008,6096,17268,2901,20813,2526,92927,4834,340159,11393,62065,4527,14096,2148,22366,2628,25603,3144,278094,10488,46040,3223,97628,6830,134426,6986,4052741,29605,3100895,28510,1481383,22223,808500,15160,301994,8608,370889,11195,538755,11596,257523,8274,136287,6015,144945,5867,1080757,15571,263522,8910,109092,4810,708143,11366,951846,17055,273553,9186,172315,8165,47511,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
