GEO_ID,C01001F_001E,C01001F_001M,C01001F_002E,C01001F_002M,C01001F_003E,C01001F_003M,C01001F_004E,C01001F_004M,C01001F_005E,C01001F_005M,C01001F_006E,C01001F_006M,C01001F_007E,C01001F_007M,C01001F_008E,C01001F_008M,C01001F_009E,C01001F_009M,NAME,C01001F_001MA,C01001F_001EA,C01001F_002MA,C01001F_002EA,C01001F_003MA,C01001F_003EA,C01001F_004MA,C01001F_004EA,C01001F_005EA,C01001F_005MA,C01001F_006MA,C01001F_006EA,C01001F_007MA,C01001F_007EA,C01001F_008EA,C01001F_008MA,C01001F_009EA,C01001F_009MA,state
0400000US01,54784,6398,29987,4174,10891,2137,19002,2789,94,122,24797,3613,8224,1641,15910,2344,663,571,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9508,2162,5751,1278,1589,693,4036,918,126,137,3757,1265,1051,680,2443,680,263,227,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,410756,18564,205471,10004,61955,4327,133180,7522,10336,1554,205285,11148,64424,5407,128551,7015,12310,1717,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66953,6137,36719,3875,13754,2230,22345,2613,620,479,30234,3552,11491,2230,17943,1995,800,568,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4961376,59949,2527901,34525,766585,13846,1654740,25531,106576,4441,2433475,30934,742878,14166,1545660,21352,144937,5966,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,251148,13750,127767,7842,43819,4361,79834,5646,4114,819,123381,7196,39621,3583,77044,4938,6716,1093,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,185341,11698,94178,6811,23817,3158,66794,4853,3567,961,91163,6493,29300,3276,57363,4354,4500,925,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23029,4146,12974,2285,3453,1003,9253,1852,268,206,10055,2349,2774,1089,7097,1695,184,167,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21681,4483,10748,2528,2057,878,8147,1943,544,462,10933,2506,3356,1274,7143,1530,434,301,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,486005,23054,247619,12856,69429,6784,165325,8880,12865,2121,238386,13928,61067,6142,159976,9600,17343,2413,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,268958,18378,144582,10634,46579,5057,95903,7703,2100,919,124376,9599,47276,4982,75006,5769,2094,928,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14008,2791,7337,1731,1031,662,5588,1276,718,399,6671,1417,762,465,5255,1177,654,399,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,42199,6180,22270,3233,7849,1820,13328,1988,1093,479,19929,3522,7563,2138,11479,1971,887,451,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,732177,21563,383241,12933,127114,6360,243436,8811,12691,1569,348936,10886,120833,6149,212307,6360,15796,1906,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,161230,9713,79824,5533,29381,3098,48989,3781,1454,556,81406,5642,33755,3196,45028,3080,2623,686,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,38541,5725,21312,3402,5802,1694,15099,2457,411,283,17229,3193,6676,1826,10396,1973,157,135,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,55240,6294,27420,3286,8546,1779,17475,2256,1399,517,27820,3786,9872,2041,16756,2182,1192,431,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,40077,4275,23939,2832,7691,1268,16052,2435,196,173,16138,2045,6613,1295,9105,1348,420,318,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,45026,5473,27255,3741,7251,1796,19341,3359,663,356,17771,3047,5366,1398,11516,2220,889,391,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
