GEO_ID,C14007F_001E,C14007F_001M,C14007F_002E,C14007F_002M,C14007F_003E,C14007F_003M,C14007F_004E,C14007F_004M,C14007F_005E,C14007F_005M,C14007F_006E,C14007F_006M,C14007F_007E,C14007F_007M,NAME,C14007F_001EA,C14007F_001MA,C14007F_002MA,C14007F_002EA,C14007F_003EA,C14007F_003MA,C14007F_004EA,C14007F_004MA,C14007F_005EA,C14007F_005MA,C14007F_006MA,C14007F_006EA,C14007F_007MA,C14007F_007EA,state
0400000US01,51459,5823,17495,2636,2953,997,8372,1796,3018,975,3152,1170,33964,4432,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9176,1997,2817,1128,396,434,1224,578,442,267,755,411,6359,1202,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,392664,18074,128283,8531,11403,1817,58809,5115,30942,3658,27129,3133,264381,12559,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63301,5905,24369,3055,3159,1036,12733,2115,4836,1055,3641,919,38932,3950,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4723073,57281,1583814,24069,168511,8062,662168,14655,379086,9384,374049,10641,3139259,42010,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,238036,12965,81685,6830,12562,2556,36653,3857,18742,2497,13728,2169,156351,8297,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,176032,11118,51011,5218,6292,1472,23774,3452,10822,1912,10123,1862,125021,8218,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21875,4007,5932,1579,612,378,2526,1022,1691,676,1103,592,15943,2886,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20183,4106,6405,1900,704,483,1712,813,1301,685,2688,1163,13778,2993,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,464028,21764,141406,11020,12709,2339,59433,6105,30543,3441,38721,4759,322622,15189,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,254416,17485,84654,8559,9367,2232,45600,5368,17056,3039,12631,2819,169762,12087,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
