GEO_ID,B18101G_001E,B18101G_001M,B18101G_002E,B18101G_002M,B18101G_003E,B18101G_003M,B18101G_004E,B18101G_004M,B18101G_005E,B18101G_005M,B18101G_006E,B18101G_006M,B18101G_007E,B18101G_007M,B18101G_008E,B18101G_008M,B18101G_009E,B18101G_009M,B18101G_010E,B18101G_010M,NAME,B18101G_001EA,B18101G_001MA,B18101G_002EA,B18101G_002MA,B18101G_003EA,B18101G_003MA,B18101G_004MA,B18101G_004EA,B18101G_005MA,B18101G_005EA,B18101G_006MA,B18101G_006EA,B18101G_007EA,B18101G_007MA,B18101G_008EA,B18101G_008MA,B18101G_009EA,B18101G_009MA,B18101G_010MA,B18101G_010EA,state
0400000US01,80651,6609,40351,4634,2066,782,38285,4525,35775,3169,8162,1543,27613,2750,4525,963,2343,659,2182,648,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,55557,4954,25955,3014,1396,721,24559,2956,28215,2900,3440,1091,24775,2824,1387,557,590,316,797,414,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,207794,11748,100582,7041,4234,1096,96348,6800,96351,6683,12908,1728,83443,6184,10861,1257,5364,931,5497,998,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64867,4863,31063,3831,2530,914,28533,3566,28456,2408,6145,1109,22311,2387,5348,1089,2229,610,3119,982,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1705785,28556,767121,16456,26147,2612,740974,16506,857359,18727,90306,5615,767053,17337,81305,4164,36574,2835,44731,2740,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,185438,9872,83282,6041,3146,1332,80136,6037,95013,5799,11450,1780,83563,5291,7143,1354,2885,898,4258,1014,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,102984,7921,50964,4196,3061,857,47903,4266,47817,4643,5474,1091,42343,4207,4203,1014,1644,615,2559,848,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26344,4367,14808,2899,952,634,13856,2887,10300,2692,2229,1037,8071,2034,1236,525,237,221,999,477,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20725,3323,6422,1581,150,200,6272,1582,13255,2210,719,596,12536,2275,1048,520,172,170,876,486,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,454043,17495,197436,10318,12940,3084,184496,9473,229815,12005,28201,3149,201614,11503,26792,2611,10742,1830,16050,1714,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,206069,11561,109089,7507,5594,1418,103495,7214,90987,6797,13852,2455,77135,5640,5993,1644,2337,710,3656,1444,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,323767,11686,127390,6615,4380,1176,123010,6737,175331,7635,15747,2006,159584,7086,21046,2049,8105,1336,12941,1728,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37641,4194,17699,2741,1238,802,16461,2475,18350,2841,3232,1047,15118,2644,1592,492,862,401,730,344,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,285889,10783,139899,8366,6089,1228,133810,8107,134912,6159,14542,1752,120370,5548,11078,1549,5731,1045,5347,1202,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,140256,6256,77308,3991,5433,1563,71875,3789,56612,3857,9967,1578,46645,3502,6336,1395,2503,697,3833,1188,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,52076,4613,29854,3322,1835,759,28019,3088,20249,1920,2945,801,17304,1887,1973,670,894,466,1079,483,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,93266,5273,46592,3878,2453,787,44139,3647,41973,3007,6643,1293,35330,2788,4701,978,2410,684,2291,695,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,86096,6681,44046,5068,2989,1036,41057,4871,37433,2895,7827,1586,29606,2759,4617,968,2697,854,1920,609,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,74978,6055,36716,3623,2465,973,34251,3522,34164,3792,7229,1589,26935,3391,4098,1114,2283,768,1815,788,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,27332,2235,11979,1271,786,303,11193,1306,13374,1706,3549,836,9825,1430,1979,615,758,432,1221,459,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,166617,11167,82661,6016,3904,918,78757,5962,75464,5990,7701,1398,67763,5759,8492,1745,2786,751,5706,1477,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,196386,9322,85692,5871,5092,1060,80600,5670,102677,5969,12640,1796,90037,5306,8017,1348,3733,831,4284,1127,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,262385,10383,129365,7484,10456,1850,118909,7171,120586,4948,22646,2045,97940,4383,12434,1336,5449,931,6985,1157,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,144509,7920,79132,5162,5102,1122,74030,4960,60816,3837,8206,1349,52610,3607,4561,871,2050,608,2511,605,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,31167,4076,17305,3103,652,434,16653,3053,11401,2169,3044,968,8357,1666,2461,894,1471,612,990,476,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,149296,8393,76858,5287,4476,1106,72382,5099,65053,4977,13525,2259,51528,4354,7385,1217,3546,731,3839,836,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,25479,3183,11310,2008,1085,700,10225,1685,12841,1940,2279,746,10562,1797,1328,467,403,260,925,413,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,42138,4172,22970,2716,693,397,22277,2664,17816,2497,1664,597,16152,2426,1352,485,801,394,551,314,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,115779,7016,57509,4576,2443,886,55066,4536,53390,4168,7345,1493,46045,3851,4880,1018,1499,504,3381,865,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,24385,2923,11038,2040,673,430,10365,1980,12032,1910,1839,599,10193,1855,1315,571,592,363,723,386,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,215764,12824,97495,6827,4365,1092,93130,6681,107375,7740,12098,1756,95277,7492,10894,2004,4467,953,6427,1584,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,68760,6019,30661,3901,616,351,30045,3946,33521,3572,3721,1054,29800,3312,4578,971,2041,695,2537,721,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,557813,20167,233587,9523,10460,1665,223127,9404,293186,13205,35343,3337,257843,12129,31040,2699,14139,1800,16901,1780,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,230314,12004,117373,7171,6703,1658,110670,6783,105592,6551,19976,3107,85616,5673,7349,1280,4385,1046,2964,712,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,14464,2136,6897,1295,518,407,6379,1326,7189,1503,1001,427,6188,1483,378,191,258,168,120,103,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,291274,10271,155112,7490,9760,1664,145352,7278,126385,5684,20946,2467,105439,5739,9777,1415,4941,933,4836,996,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
