GEO_ID,B20004_001E,B20004_001M,B20004_002E,B20004_002M,B20004_003E,B20004_003M,B20004_004E,B20004_004M,B20004_005E,B20004_005M,B20004_006E,B20004_006M,B20004_007E,B20004_007M,B20004_008E,B20004_008M,B20004_009E,B20004_009M,B20004_010E,B20004_010M,B20004_011E,B20004_011M,B20004_012E,B20004_012M,B20004_013E,B20004_013M,B20004_014E,B20004_014M,B20004_015E,B20004_015M,B20004_016E,B20004_016M,B20004_017E,B20004_017M,B20004_018E,B20004_018M,NAME,B20004_001EA,B20004_001MA,B20004_002EA,B20004_002MA,B20004_003MA,B20004_003EA,B20004_004MA,B20004_004EA,B20004_005EA,B20004_005MA,B20004_006EA,B20004_006MA,B20004_007EA,B20004_007MA,B20004_008MA,B20004_008EA,B20004_009MA,B20004_009EA,B20004_010EA,B20004_010MA,B20004_011EA,B20004_011MA,B20004_012EA,B20004_012MA,B20004_013MA,B20004_013EA,B20004_014MA,B20004_014EA,B20004_015MA,B20004_015EA,B20004_016MA,B20004_016EA,B20004_017EA,B20004_017MA,B20004_018MA,B20004_018EA,state
0400000US01,31583,270,18851,726,25691,429,30856,395,46108,1014,55187,1510,38453,1137,21872,860,31237,479,40054,1227,57322,3026,75060,3352,25977,358,14680,1202,19904,604,25085,590,38689,1967,49344,1040,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,42051,669,26262,3470,35068,2989,40717,965,51719,968,70975,3379,50895,1250,30299,3481,41598,2539,49706,4076,64398,6888,78288,4814,36465,921,18750,6981,25509,1993,33932,3373,41870,1658,62577,7029,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,33300,777,19848,658,26561,437,32324,357,48350,1722,57365,2063,38467,994,21966,446,30437,426,39859,1396,58174,2719,75747,2418,30006,661,15259,821,22252,567,27944,1033,40381,701,47075,1102,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30397,305,20092,690,25584,512,29778,909,43365,1651,55137,2073,35392,581,21980,1123,30512,713,36586,810,51565,1546,68106,4313,25264,497,16507,1382,20485,497,24229,1120,38062,1870,50084,1151,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36297,119,19057,221,27262,221,35888,185,54931,787,77093,553,41160,133,21958,162,30968,178,41700,229,65630,583,95095,2017,31248,132,14753,311,23079,433,30669,229,46508,457,64717,1460,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,37204,277,21624,634,30011,786,33594,999,46891,568,61730,649,44360,1065,26069,783,34369,1449,40963,607,59986,2276,80124,2430,30890,265,15115,1244,23075,1227,27826,821,37911,1175,50417,748,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42923,1107,21400,748,32101,480,38592,1738,57413,2019,75743,1375,51444,415,23401,1960,38409,1968,46992,1149,74957,2872,95483,5525,36497,436,18467,1451,26690,898,31820,698,45680,1808,62473,2189,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,37308,1045,20661,2060,29669,1943,36767,1565,47136,2884,65631,4587,42072,1086,25733,2582,32342,2971,43285,2964,53435,5628,76098,3444,32013,609,15120,2881,24057,2609,32011,991,41527,1345,55462,5295,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,55125,1606,20198,3252,26642,1359,36202,2118,60508,2228,81522,2732,57395,4342,19841,4806,27845,4501,40017,6671,62391,5511,92055,3456,51563,1117,20922,11019,25814,1996,33267,5122,55421,3314,75196,3436,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,30870,141,19078,465,24540,367,30472,191,42190,313,56811,1061,34263,782,21151,393,27375,490,34354,999,51395,537,71471,1089,27154,213,15911,413,21286,233,26750,286,37689,664,48069,1305,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
