GEO_ID,B27001G_001E,B27001G_001M,B27001G_002E,B27001G_002M,B27001G_003E,B27001G_003M,B27001G_004E,B27001G_004M,B27001G_005E,B27001G_005M,B27001G_006E,B27001G_006M,B27001G_007E,B27001G_007M,B27001G_008E,B27001G_008M,B27001G_009E,B27001G_009M,B27001G_010E,B27001G_010M,B27001G_011E,B27001G_011M,B27001G_012E,B27001G_012M,B27001G_013E,B27001G_013M,B27001G_014E,B27001G_014M,B27001G_015E,B27001G_015M,B27001G_016E,B27001G_016M,B27001G_017E,B27001G_017M,B27001G_018E,B27001G_018M,B27001G_019E,B27001G_019M,B27001G_020E,B27001G_020M,B27001G_021E,B27001G_021M,B27001G_022E,B27001G_022M,B27001G_023E,B27001G_023M,B27001G_024E,B27001G_024M,B27001G_025E,B27001G_025M,B27001G_026E,B27001G_026M,B27001G_027E,B27001G_027M,B27001G_028E,B27001G_028M,NAME,B27001G_001EA,B27001G_001MA,B27001G_002EA,B27001G_002MA,B27001G_003MA,B27001G_003EA,B27001G_004EA,B27001G_004MA,B27001G_005EA,B27001G_005MA,B27001G_006EA,B27001G_006MA,B27001G_007EA,B27001G_007MA,B27001G_008MA,B27001G_008EA,B27001G_009EA,B27001G_009MA,B27001G_010EA,B27001G_010MA,B27001G_011MA,B27001G_011EA,B27001G_012EA,B27001G_012MA,B27001G_013EA,B27001G_013MA,B27001G_014EA,B27001G_014MA,B27001G_015EA,B27001G_015MA,B27001G_016MA,B27001G_016EA,B27001G_017MA,B27001G_017EA,B27001G_018MA,B27001G_018EA,B27001G_019EA,B27001G_019MA,B27001G_020MA,B27001G_020EA,B27001G_021MA,B27001G_021EA,B27001G_022EA,B27001G_022MA,B27001G_023MA,B27001G_023EA,B27001G_024MA,B27001G_024EA,B27001G_025MA,B27001G_025EA,B27001G_026EA,B27001G_026MA,B27001G_027MA,B27001G_027EA,B27001G_028EA,B27001G_028MA,state
0400000US01,80651,6609,15527,2713,15183,2660,344,279,24824,3093,24237,3180,587,483,7967,1381,6699,1065,1268,789,6779,1471,4811,1099,1968,953,7969,1392,5844,1182,2125,857,6962,1230,6189,1212,773,438,6098,1009,5562,1023,536,250,2579,715,2579,715,0,192,1946,677,1946,677,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,55557,4954,11308,1700,9580,1636,1728,702,14647,2266,12599,2224,2048,662,9177,1867,6323,1547,2854,979,7374,1455,4679,1030,2695,803,6065,1293,4115,1047,1950,831,3314,762,2264,669,1050,448,2285,558,1529,439,756,392,1050,450,1050,450,0,147,337,259,337,259,0,147,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,207794,11748,39605,3577,35636,3265,3969,1094,60977,5242,55536,4878,5441,1522,28216,2961,20971,2630,7245,1401,26141,2834,19464,2559,6677,1472,16678,2256,14513,2077,2165,677,15362,2388,11367,1648,3995,1371,9954,1687,8027,1470,1927,665,5984,918,5984,918,0,203,4877,850,4684,809,193,243,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64867,4863,11845,2135,11239,2135,606,366,19218,2769,18657,2732,561,508,7482,1719,5046,1069,2436,1048,6448,1612,4222,1278,2226,869,4810,980,3492,856,1318,510,5046,986,3393,674,1653,651,4670,1055,3955,951,715,477,3846,1006,3846,1006,0,192,1502,450,1502,450,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1705785,28556,291164,10489,280391,10374,10773,1842,475957,14131,448778,13530,27179,4082,216234,8061,176428,7471,39806,3871,231871,7489,169409,7304,62462,5240,166471,6195,134837,5449,31634,2804,140886,5860,114163,5427,26723,2886,101897,5771,84183,4808,17714,2468,46644,2876,45562,2881,1082,474,34661,2659,34363,2593,298,217,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,185438,9872,32214,3413,31167,3386,1047,624,51068,4192,47665,4148,3403,1178,23299,2947,18738,2726,4561,1329,25419,2493,19694,2351,5725,1290,20937,2583,17457,2275,3480,1038,14938,1762,11941,1516,2997,784,10420,1498,8088,1304,2332,826,4394,1153,4394,1153,0,195,2749,829,2591,765,158,216,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,102984,7921,18338,2371,17884,2278,454,359,32626,3246,31337,3263,1289,877,14470,2123,12766,1895,1704,829,11518,1986,9910,1693,1608,812,9016,1593,7968,1478,1048,560,8002,1464,6940,1251,1062,782,4811,998,4142,921,669,376,2493,902,2493,902,0,201,1710,554,1710,554,0,201,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26344,4367,5809,1393,5760,1400,49,82,8999,2097,8954,2104,45,71,4076,1650,3179,1311,897,1064,2072,913,1822,806,250,313,1529,676,1100,471,429,394,1723,774,1546,633,177,239,900,429,893,430,7,12,752,447,752,447,0,189,484,241,484,241,0,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20725,3323,3618,825,3283,838,335,376,2804,1190,2342,948,462,749,2574,759,2162,642,412,387,4815,1219,4483,1154,332,273,2415,875,2133,786,282,375,2391,895,2019,809,372,363,1060,648,1060,648,0,203,379,209,379,209,0,203,669,433,669,433,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,454043,17495,74574,4945,69320,4934,5254,1414,122862,8595,109302,7582,13560,2772,58686,5351,44377,4830,14309,2356,55305,5776,34205,4148,21100,3420,43046,3894,29268,2815,13778,2623,40428,3856,27633,2829,12795,2103,32350,3099,25396,2698,6954,1445,14523,1811,13785,1832,738,642,12269,2046,12175,2056,94,155,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
