GEO_ID,B19019_001E,B19019_001M,B19019_002E,B19019_002M,B19019_003E,B19019_003M,B19019_004E,B19019_004M,B19019_005E,B19019_005M,B19019_006E,B19019_006M,B19019_007E,B19019_007M,B19019_008E,B19019_008M,NAME,B19019_001EA,B19019_001MA,B19019_002EA,B19019_002MA,B19019_003MA,B19019_003EA,B19019_004EA,B19019_004MA,B19019_005EA,B19019_005MA,B19019_006EA,B19019_006MA,B19019_007EA,B19019_007MA,B19019_008MA,B19019_008EA,state
0400000US01,42849,641,22740,647,49792,961,54772,1645,65036,2392,59402,4187,54621,4441,57984,5191,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,72237,1892,39980,2790,81552,3673,87688,6391,94504,9758,85893,4900,75717,5387,92328,16274,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,48510,587,27375,585,55902,882,59942,1590,69755,3138,59603,3116,57013,3102,51426,3196,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40511,710,20997,650,46820,1077,52960,2113,56740,2537,52544,3762,51005,8727,54078,10813,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,60190,255,32822,665,66977,566,71361,808,78555,1456,67149,1202,67226,1497,74265,1733,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,58823,808,31844,543,67167,841,71914,2096,84874,2023,78788,4076,72264,5073,76222,9848,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,67098,1058,32004,705,74732,1494,87174,2939,105854,2764,103282,5138,99534,7356,105819,17399,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,57846,1876,31336,1132,63122,2245,73134,4793,85542,5553,87674,14157,63407,20313,60592,18993,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,67572,3383,50945,2358,95782,6541,83554,9066,78020,15863,59477,12299,130152,27036,87997,21998,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,46036,310,26013,284,52510,555,58735,904,66413,1211,63465,1687,60651,2726,59205,2996,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,47829,628,27066,596,53940,788,58061,1717,68169,1951,60728,1572,60420,3322,53105,6499,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,68020,1523,32085,1352,68612,1808,83038,4018,88905,3312,98537,5204,106207,11577,133931,12855,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,46783,930,24309,1393,51121,1360,55971,2258,61846,2308,61291,2819,57312,8512,72395,8998,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,56210,403,29684,527,62705,763,72856,1416,82443,1299,75252,2041,72299,4183,70677,4204,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,47529,516,25502,412,53894,791,61993,1329,71930,1462,66358,2808,64350,4223,62368,4657,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
