GEO_ID,B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,NAME,B12002B_001MA,B12002B_001EA,B12002B_002MA,B12002B_002EA,B12002B_003MA,B12002B_003EA,B12002B_004EA,B12002B_004MA,B12002B_005MA,B12002B_005EA,B12002B_006MA,B12002B_006EA,B12002B_007MA,B12002B_007EA,B12002B_008MA,B12002B_008EA,B12002B_009EA,B12002B_009MA,B12002B_010MA,B12002B_010EA,B12002B_011MA,B12002B_011EA,B12002B_012EA,B12002B_012MA,B12002B_013EA,B12002B_013MA,state
0400000US01,1007593,3874,457119,3470,225937,5740,150286,5328,18598,2306,12256,1936,50042,3757,550474,3281,254792,5702,136291,6518,26188,2501,54761,3095,78442,4872,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,18985,1357,11882,963,5384,1138,4975,1095,260,223,150,160,1113,620,7103,881,3007,858,2316,838,92,145,413,272,1275,495,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,215063,3508,113872,2393,57089,3437,37010,2776,3001,1182,1702,704,15070,2302,101191,2405,47358,3091,27992,2395,3876,1117,7670,1240,14295,1686,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,354273,2921,167760,2620,83515,4096,53412,3208,6095,1348,3803,890,20935,2332,186513,2308,82071,3215,50133,3446,9907,1783,17367,1718,27035,2843,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1841739,8666,900428,5709,455551,7994,282762,8219,29058,2803,24245,2441,108812,5211,941311,5928,454690,7661,232861,7287,37940,3742,79936,3403,135884,5557,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166075,4038,89721,2931,42516,2834,33058,2363,2296,841,1639,683,10212,1949,76354,2455,32253,2446,25896,2304,2461,950,4054,902,11690,1457,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,292377,4705,137542,3299,77018,2959,40595,2759,3200,869,3397,945,13332,2100,154835,2659,76682,3267,39623,3234,6160,1412,9984,1436,22386,2430,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,157265,2490,72244,1795,35239,2230,27811,2261,1498,780,1381,413,6315,1200,85021,1525,41640,2651,24014,2239,3323,1140,5565,746,10479,1480,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,259003,2519,114265,1455,64326,2176,27216,2403,4293,1130,4486,927,13944,1738,144738,1428,79157,2962,26144,2587,5402,1310,13609,1627,20426,2250,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2436745,12542,1149787,6964,582446,9770,384645,9405,38105,4000,29118,2917,115473,5593,1286958,8016,600042,9965,346760,9472,63173,4759,99521,5270,177462,6033,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
