B23002I_009M,B23002I_010E,B23002I_010M,B23002I_011E,B23002I_011M,B23002I_012E,B23002I_012M,B23002I_013E,B23002I_013M,B23002I_014E,B23002I_014M,B23002I_015E,B23002I_015M,B23002I_016E,B23002I_016M,B23002I_017E,B23002I_017M,B23002I_018E,B23002I_018M,B23002I_019E,B23002I_019M,B23002I_020E,B23002I_020M,B23002I_021E,B23002I_021M,B23002I_022E,B23002I_022M,B23002I_023E,B23002I_023M,B23002I_024E,B23002I_024M,B23002I_025E,B23002I_025M,B23002I_026E,B23002I_026M,B23002I_027E,B23002I_027M,B23002I_028E,B23002I_028M,B23002I_029E,B23002I_029M,B23002I_030E,B23002I_030M,B23002I_031E,B23002I_031M,B23002I_032E,B23002I_032M,B23002I_033E,B23002I_033M,B23002I_034E,B23002I_034M,B23002I_035E,B23002I_035M,B23002I_036E,B23002I_036M,B23002I_037E,B23002I_037M,B23002I_038E,B23002I_038M,B23002I_039E,B23002I_039M,B23002I_040E,B23002I_040M,B23002I_041E,B23002I_041M,B23002I_042E,B23002I_042M,B23002I_043E,B23002I_043M,B23002I_044E,B23002I_044M,B23002I_045E,B23002I_045M,B23002I_046E,B23002I_046M,B23002I_047E,B23002I_047M,B23002I_048E,B23002I_048M,B23002I_049E,B23002I_049M,B23002I_050E,B23002I_050M,B23002I_051E,B23002I_051M,B23002I_052E,B23002I_052M,B23002I_053E,B23002I_053M,B23002I_054E,B23002I_054M,B23002I_055E,B23002I_055M,B23002I_056E,B23002I_056M,B23002I_057E,B23002I_057M,B23002I_058E,B23002I_058M,B23002I_059E,B23002I_059M,B23002I_060E,B23002I_060M,B23002I_061E,B23002I_061M,B23002I_062E,B23002I_062M,B23002I_063E,B23002I_063M,B23002I_064E,B23002I_064M,B23002I_065E,B23002I_065M,B23002I_066E,B23002I_066M,B23002I_067E,B23002I_067M,B23002I_068E,B23002I_068M,B23002I_069E,B23002I_069M,B23002I_070E,B23002I_070M,B23002I_071E,B23002I_071M,B23002I_072E,B23002I_072M,B23002I_073E,B23002I_073M,B23002I_074E,B23002I_074M,B23002I_075E,B23002I_075M,B23002I_076E,B23002I_076M,B23002I_077E,B23002I_077M,B23002I_078E,B23002I_078M,B23002I_079E,B23002I_079M,GEO_ID,B23002I_001E,B23002I_001M,B23002I_002E,B23002I_002M,B23002I_003E,B23002I_003M,B23002I_004E,B23002I_004M,B23002I_005E,B23002I_005M,B23002I_006E,B23002I_006M,B23002I_007E,B23002I_007M,B23002I_008E,B23002I_008M,B23002I_009E,B23002I_009MA,B23002I_010EA,B23002I_010MA,B23002I_011EA,B23002I_011MA,B23002I_012EA,B23002I_012MA,B23002I_013EA,B23002I_013MA,B23002I_014EA,B23002I_014MA,B23002I_015EA,B23002I_015MA,B23002I_016EA,B23002I_016MA,B23002I_017EA,B23002I_017MA,B23002I_018EA,B23002I_018MA,B23002I_019MA,B23002I_019EA,B23002I_020EA,B23002I_020MA,B23002I_021MA,B23002I_021EA,B23002I_022EA,B23002I_022MA,B23002I_023EA,B23002I_023MA,B23002I_024MA,B23002I_024EA,B23002I_025EA,B23002I_025MA,B23002I_026MA,B23002I_026EA,B23002I_027EA,B23002I_027MA,B23002I_028EA,B23002I_028MA,B23002I_029MA,B23002I_029EA,B23002I_030MA,B23002I_030EA,B23002I_031MA,B23002I_031EA,B23002I_032EA,B23002I_032MA,B23002I_033EA,B23002I_033MA,B23002I_034MA,B23002I_034EA,B23002I_035MA,B23002I_035EA,B23002I_036EA,B23002I_036MA,B23002I_037EA,B23002I_037MA,B23002I_038EA,B23002I_038MA,B23002I_039MA,B23002I_039EA,B23002I_040MA,B23002I_040EA,B23002I_041MA,B23002I_041EA,B23002I_042EA,B23002I_042MA,B23002I_043EA,B23002I_043MA,B23002I_044MA,B23002I_044EA,B23002I_045MA,B23002I_045EA,B23002I_046MA,B23002I_046EA,B23002I_047EA,B23002I_047MA,B23002I_048MA,B23002I_048EA,B23002I_049EA,B23002I_049MA,B23002I_050EA,B23002I_050MA,B23002I_051EA,B23002I_051MA,B23002I_052MA,B23002I_052EA,B23002I_053EA,B23002I_053MA,B23002I_054MA,B23002I_054EA,B23002I_055EA,B23002I_055MA,B23002I_056EA,B23002I_056MA,B23002I_057EA,B23002I_057MA,B23002I_058MA,B23002I_058EA,B23002I_059MA,B23002I_059EA,B23002I_060EA,B23002I_060MA,B23002I_061EA,B23002I_061MA,B23002I_062EA,B23002I_062MA,B23002I_063MA,B23002I_063EA,B23002I_064EA,B23002I_064MA,B23002I_065EA,B23002I_065MA,B23002I_066EA,B23002I_066MA,B23002I_067EA,B23002I_067MA,B23002I_068EA,B23002I_068MA,B23002I_069EA,B23002I_069MA,B23002I_070EA,B23002I_070MA,B23002I_071EA,B23002I_071MA,B23002I_072EA,B23002I_072MA,B23002I_073EA,B23002I_073MA,B23002I_074EA,B23002I_074MA,B23002I_075MA,B23002I_075EA,B23002I_076MA,B23002I_076EA,B23002I_077EA,B23002I_077MA,B23002I_078EA,B23002I_078MA,B23002I_079MA,B23002I_079EA,NAME,B23002I_001EA,B23002I_001MA,B23002I_002MA,B23002I_002EA,B23002I_003MA,B23002I_003EA,B23002I_004EA,B23002I_004MA,B23002I_005EA,B23002I_005MA,B23002I_006EA,B23002I_006MA,B23002I_007EA,B23002I_007MA,B23002I_008MA,B23002I_008EA,B23002I_009EA,state
1409,11021,2049,8538,1473,467,287,8071,1517,7173,1462,898,700,2483,1127,44901,2780,39598,2480,368,270,39230,2444,37929,2487,1301,777,5303,1808,4235,930,2966,788,0,192,2966,788,2608,812,358,277,1269,602,811,514,309,324,309,324,0,192,502,346,1815,607,238,236,238,236,0,192,1577,551,53745,1811,5429,1483,1766,735,0,192,1766,735,1309,666,457,426,3663,1138,7462,1322,3452,918,0,192,3452,918,3301,922,151,184,4010,933,34561,1991,19634,2332,0,192,19634,2332,18095,2467,1539,667,14927,1748,2682,822,780,426,0,192,780,426,723,411,57,114,1902,774,1381,712,264,219,264,219,0,192,1117,687,2230,712,109,147,109,147,0,192,2121,689,0400000US01,124017,2404,70272,2951,7489,1986,2921,1169,0,192,2921,1169,2573,1183,348,366,4568,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
558,3450,686,3283,666,676,295,2607,679,2409,669,198,156,167,201,10180,780,8890,859,1894,699,6996,783,6199,810,797,700,1290,441,1463,403,1302,348,0,147,1302,348,1205,324,97,149,161,150,357,171,44,54,44,54,0,147,313,164,656,370,135,193,135,193,0,147,521,350,15185,694,2179,730,1468,779,15,34,1453,781,1350,761,103,142,711,421,1865,712,1306,651,135,132,1171,623,949,562,222,186,559,271,8399,735,5699,817,0,147,5699,817,5379,826,320,224,2700,882,1649,479,795,366,0,147,795,366,795,366,0,147,854,427,554,500,397,464,397,464,0,147,157,143,539,283,0,147,0,147,0,147,539,283,0400000US02,33129,721,17944,771,1838,736,1242,603,123,107,1119,595,879,504,240,222,596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2966,95971,1668,76203,2832,1216,728,74987,2840,61976,2929,13011,2507,19768,2517,401933,1720,332265,4531,1340,629,330925,4584,308718,5094,22207,2852,69668,4349,64880,592,44262,2051,0,203,44262,2051,39020,1830,5242,1207,20618,1987,19594,1570,6449,1244,5934,1176,515,343,13145,1496,32676,1652,3867,928,3299,807,568,414,28809,1629,687601,2008,71731,2585,26247,2688,0,203,26247,2688,18351,2153,7896,1599,45484,2792,88301,1163,56640,2765,236,161,56404,2757,46857,3142,9547,2291,31661,2658,391262,1257,259085,5253,207,192,258878,5251,235155,5814,23723,2779,132177,5067,71714,727,36578,2249,0,203,36578,2249,33530,2274,3048,948,35136,2200,22824,1684,4897,980,4374,865,523,442,17927,1496,41769,1708,3689,1020,3553,1007,136,131,38080,1710,0400000US04,1379547,2503,691946,1943,76892,2087,25855,2517,0,203,25855,2517,17971,2398,7884,1526,51037,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
979,8794,1341,7269,1279,27,52,7242,1271,6997,1220,245,208,1525,720,43560,2219,38768,2235,687,601,38081,2185,36757,2283,1324,774,4792,1225,4514,859,2833,815,0,192,2833,815,2753,802,80,128,1681,676,1573,693,433,354,329,310,104,169,1140,643,1325,636,23,43,0,192,23,43,1302,634,58752,2065,5460,1148,1722,614,0,192,1722,614,1168,529,554,347,3738,1046,7202,1322,5112,1158,0,192,5112,1158,4624,1151,488,519,2090,704,39470,1782,26039,2488,101,181,25938,2507,24214,2512,1724,607,13431,1597,3791,992,1756,741,0,192,1756,741,1703,731,53,95,2035,678,888,557,201,311,201,311,0,192,687,440,1941,849,0,192,0,192,0,192,1941,849,0400000US05,126165,2053,67413,2307,7647,1408,3797,1041,0,192,3797,1041,3275,1028,522,393,3850,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
6547,691636,1337,539881,6256,8673,1807,531208,6804,441161,7263,90047,4652,151755,6184,3154036,1385,2814712,8194,11131,1722,2803581,8401,2575861,10894,227720,7437,339324,8283,509520,785,362771,5718,73,121,362698,5702,328768,6358,33930,2870,146749,5778,142468,3483,50657,2910,44791,2884,5866,1230,91811,3438,237838,3602,28895,2590,26126,2439,2769,787,208943,4113,5199451,4919,511345,5262,144522,5076,259,211,144263,5085,96422,4339,47841,3235,366823,7328,639394,1658,443888,6516,1226,554,442662,6476,372791,6803,69871,4296,195506,6219,2991781,1661,2075537,13554,1293,512,2074244,13496,1841683,14339,232561,7645,916244,13547,550804,885,291118,5717,0,203,291118,5717,262469,5695,28649,2939,259686,5661,168270,4635,36260,3048,33883,2931,2377,750,132010,4264,337857,4567,19834,2019,18573,1953,1261,656,318023,4651,0400000US06,10480734,7173,5281283,4562,545785,4470,164244,5139,1253,710,162991,5184,103945,4958,59046,3021,381541,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1765,49062,2458,42038,2422,1768,820,40270,2613,34522,2701,5748,1362,7024,1558,233596,2340,204389,3337,2300,886,202089,3468,189800,3803,12289,1985,29207,2842,37350,884,24342,1695,0,195,24342,1695,22398,1698,1944,616,13008,1541,11373,1084,2933,900,2845,889,88,114,8440,989,16492,1088,1683,452,1620,448,63,80,14809,1081,370618,2388,36604,1993,14996,1504,0,195,14996,1504,11079,1556,3917,965,21608,2198,43481,1477,32180,1949,166,190,32014,1908,26788,1832,5226,1052,11301,1903,216134,1764,156031,3576,522,511,155509,3612,140978,3992,14531,2011,60103,3394,39104,1675,20146,1860,0,195,20146,1860,18525,1734,1621,665,18958,1478,12227,1115,3623,765,3210,777,413,329,8604,967,23068,1220,1778,628,1723,618,55,63,21290,1267,0400000US08,756505,3482,385887,3073,38014,2305,15234,2070,40,62,15194,2072,10629,1664,4565,1363,22780,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1414,24980,837,19734,1454,590,484,19144,1491,15349,1551,3795,1152,5246,1331,113476,1026,98840,2122,393,315,98447,2159,88997,2584,9450,1727,14636,1822,16663,361,11449,939,0,201,11449,939,10473,896,976,479,5214,916,4600,824,1980,654,1771,613,209,213,2620,840,7006,797,1484,717,1348,668,136,184,5522,809,187265,1127,16305,1203,7947,1231,0,201,7947,1231,5388,1126,2559,843,8358,1265,22816,916,15561,1681,63,134,15498,1674,13381,1908,2117,866,7255,1662,113535,882,87223,2715,786,702,86437,2737,77077,2452,9360,1690,26312,2446,18871,610,9733,1149,0,201,9733,1149,9461,1192,272,241,9138,1156,6015,778,1862,605,1787,616,75,91,4153,825,9723,898,428,305,428,305,0,201,9295,939,0400000US09,373877,1499,186612,1218,19887,1263,8762,1236,132,129,8630,1257,5372,1176,3258,883,11125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
421,4437,428,3110,718,148,207,2962,698,2725,697,237,291,1327,783,18341,305,16020,705,180,221,15840,790,14791,1106,1049,720,2321,668,2484,443,1870,508,0,189,1870,508,1389,333,481,461,614,396,571,263,227,184,227,184,0,189,344,230,768,267,73,86,73,86,0,189,695,253,26239,634,2980,487,1026,371,0,189,1026,371,734,418,292,202,1954,453,3328,415,2088,483,0,189,2088,483,1759,592,329,461,1240,601,16368,422,10390,1078,0,189,10390,1078,9361,1186,1029,561,5978,1088,2225,449,1036,563,0,189,1036,563,995,559,41,79,1189,463,693,299,44,60,44,60,0,189,649,297,645,295,67,116,67,116,0,189,578,272,0400000US10,54669,540,28430,620,1829,460,267,294,0,189,267,294,267,294,0,189,1562,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
550,3018,540,2271,621,119,140,2152,643,1159,566,993,594,747,389,18324,-555555555,16673,728,354,267,16319,742,15430,869,889,549,1651,728,2111,-555555555,1415,411,0,203,1415,411,1192,374,223,231,696,412,508,426,189,245,189,245,0,203,319,390,835,426,41,76,41,76,0,203,794,425,24712,227,1706,551,572,363,0,203,572,363,496,366,76,103,1134,510,2767,597,2340,647,33,79,2307,646,1744,703,563,553,427,279,15855,-555555555,13591,789,0,203,13591,789,13004,836,587,388,2264,789,2341,-555555555,1508,476,0,203,1508,476,1508,476,0,203,833,476,407,347,74,131,74,131,0,203,333,332,1636,347,50,92,50,92,0,203,1586,365,0400000US11,51071,293,26359,358,1563,624,637,383,57,69,580,378,364,316,216,249,926,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
3894,181476,3188,139154,4657,1739,673,137415,4713,117580,5041,19835,2972,42322,3917,1029693,2843,914511,7487,3249,952,911262,7472,847273,8728,63989,5732,115182,6734,194826,1647,141514,3423,0,218,141514,3423,129174,3489,12340,1822,53312,3425,70543,3186,24601,1763,21999,1585,2602,823,45942,3148,139900,2716,17194,1984,15865,1894,1329,479,122706,3438,1828286,3246,133608,3982,41480,3450,360,368,41120,3428,31205,2990,9915,1785,92128,4103,164277,2707,114593,4412,433,527,114160,4390,97931,4650,16229,2755,49684,3973,1008682,2581,750421,9558,385,260,750036,9520,681555,10447,68481,5046,258261,9631,229436,1419,124106,4309,0,218,124106,4309,112017,4531,12089,2227,105330,4296,84509,3500,19070,2077,17790,1916,1280,490,65439,3037,207774,3819,9317,1410,8350,1334,967,567,198457,3800,0400000US12,3585425,3984,1757139,3336,140701,4023,43138,3179,1037,510,42101,3162,31733,2948,10368,1652,97563,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
