GEO_ID,B13010_001E,B13010_001M,B13010_002E,B13010_002M,B13010_003E,B13010_003M,B13010_004E,B13010_004M,B13010_005E,B13010_005M,B13010_006E,B13010_006M,B13010_007E,B13010_007M,B13010_008E,B13010_008M,B13010_009E,B13010_009M,B13010_010E,B13010_010M,B13010_011E,B13010_011M,B13010_012E,B13010_012M,B13010_013E,B13010_013M,B13010_014E,B13010_014M,B13010_015E,B13010_015M,B13010_016E,B13010_016M,B13010_017E,B13010_017M,B13010_018E,B13010_018M,B13010_019E,B13010_019M,NAME,B13010_001MA,B13010_001EA,B13010_002EA,B13010_002MA,B13010_003EA,B13010_003MA,B13010_004EA,B13010_004MA,B13010_005MA,B13010_005EA,B13010_006MA,B13010_006EA,B13010_007MA,B13010_007EA,B13010_008EA,B13010_008MA,B13010_009EA,B13010_009MA,B13010_010EA,B13010_010MA,B13010_011EA,B13010_011MA,B13010_012MA,B13010_012EA,B13010_013EA,B13010_013MA,B13010_014EA,B13010_014MA,B13010_015EA,B13010_015MA,B13010_016EA,B13010_016MA,B13010_017MA,B13010_017EA,B13010_018MA,B13010_018EA,B13010_019EA,B13010_019MA,state
0400000US42,2848761,6542,141385,4909,86965,3661,10477,1548,15857,1634,60631,3124,54420,3989,28249,2908,12722,1861,13449,1911,2707376,8461,1165296,11350,83039,4777,154217,6486,928040,11892,1542080,11890,361605,11269,304135,10386,876340,12291,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,241665,1982,11633,2016,6424,1354,1043,591,1216,673,4165,967,5209,1347,2205,882,1499,699,1505,841,230032,2542,93589,4196,8636,1619,9298,1813,75655,3673,136443,4134,30395,2979,26391,3068,79657,4370,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1106479,4824,58339,4226,32837,3024,5013,1354,8971,1755,18853,2121,25502,3106,15670,2644,4499,1249,5333,1250,1048140,5472,460173,9039,56044,4459,82457,4328,321672,8544,587967,9343,171949,7907,149577,8195,266441,8967,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,182153,1869,13315,1567,8268,1208,745,348,1644,580,5879,1097,5047,862,2713,754,1473,538,861,404,168838,2337,81434,2889,5787,1133,10999,1344,64648,2658,87404,3090,22957,2628,21774,2384,42673,2883,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1521800,5786,83202,5076,47469,3403,9986,1577,10379,1752,27104,2731,35733,3750,18796,2859,7714,1699,9223,1984,1438598,7667,677993,9205,81019,4465,116977,6465,479997,9223,760605,9781,209378,9301,182805,7012,368422,8956,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6486799,9186,385348,9883,253035,8694,45429,3086,60797,4191,146809,7408,132313,7416,62955,4778,33459,3156,35899,4315,6101451,12314,2863641,22680,361172,11513,534450,12919,1968019,20597,3237810,25624,827612,18662,735004,15954,1675194,21783,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,710450,2608,52029,3080,43277,2770,5654,1214,10930,1585,26693,2274,8752,1674,4857,1285,1678,577,2217,786,658421,4077,348214,5589,31615,2860,63431,3496,253168,4972,310207,5576,68729,5440,62231,4373,179247,6263,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,134268,1586,5068,821,3634,734,313,220,867,344,2454,615,1434,497,614,332,242,194,578,319,129200,1784,56262,2201,2991,791,6571,1047,46700,2036,72938,2766,18445,2124,14249,1702,40244,2505,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1983844,5379,102555,4822,70780,3997,7484,1239,12694,1874,50602,3329,31775,3304,11844,2209,7784,1647,12147,2198,1881289,7470,885806,10197,60310,4185,113880,5228,711616,9816,995483,12555,207126,8666,172566,7300,615791,11867,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1639845,4449,84980,5133,61334,4102,6195,1244,12809,2052,42330,3267,23646,3116,11818,1694,5443,1681,6385,1363,1554865,6020,723256,11491,63400,3776,101582,4807,558274,10008,831609,12034,205111,8730,162090,8165,464408,10304,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,400781,2771,16561,1950,9901,1455,1910,676,2035,723,5956,1041,6660,1427,4957,1377,903,517,800,347,384220,2957,177523,4915,20765,2377,30380,2393,126378,4978,206697,5414,66019,3600,48407,3511,92271,4343,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1291463,3792,63679,3960,43230,3288,4192,810,7884,1743,31154,2815,20449,2119,11046,1600,5324,1252,4079,837,1227784,5160,550707,7860,33189,2833,69633,3416,447885,8272,677077,9283,171946,6500,150492,6109,354639,9109,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,130135,2411,7179,1219,5350,1102,425,341,1377,624,3548,956,1829,562,839,448,369,232,621,350,122956,2467,62364,3198,4069,1169,6836,1498,51459,3051,60592,3671,13184,1898,15702,2419,31706,3188,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,888225,3381,33440,2560,14378,1830,6212,1293,4039,1038,4127,984,19062,2043,15017,1995,2885,866,1160,618,854785,4477,278306,7360,97550,5050,82504,4722,98252,4482,576479,8345,306604,9401,148012,7362,121863,6312,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
