GEO_ID,B11002F_001E,B11002F_001M,B11002F_002E,B11002F_002M,B11002F_003E,B11002F_003M,B11002F_004E,B11002F_004M,B11002F_005E,B11002F_005M,B11002F_006E,B11002F_006M,B11002F_007E,B11002F_007M,B11002F_008E,B11002F_008M,B11002F_009E,B11002F_009M,B11002F_010E,B11002F_010M,B11002F_011E,B11002F_011M,B11002F_012E,B11002F_012M,NAME,B11002F_001EA,B11002F_001MA,B11002F_002MA,B11002F_002EA,B11002F_003EA,B11002F_003MA,B11002F_004EA,B11002F_004MA,B11002F_005EA,B11002F_005MA,B11002F_006MA,B11002F_006EA,B11002F_007EA,B11002F_007MA,B11002F_008EA,B11002F_008MA,B11002F_009MA,B11002F_009EA,B11002F_010EA,B11002F_010MA,B11002F_011EA,B11002F_011MA,B11002F_012EA,B11002F_012MA,state
0400000US01,48643,7045,43915,6696,30381,6478,30033,6442,348,160,4147,2310,3805,2169,342,372,9387,3216,8550,2824,837,717,4728,1686,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,388986,19340,350160,18634,203503,14411,200411,13656,3092,1505,38153,6029,33264,5516,4889,1093,108504,12246,100639,11380,7865,1628,38826,4624,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,59240,6701,56547,6785,34732,6960,33928,6718,804,789,9771,4377,8566,4009,1205,706,12044,4563,11045,4171,999,684,2693,1097,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4879267,59503,4549139,59199,2795420,53671,2738547,52367,56873,6812,598495,31906,513215,26977,85280,7174,1155224,36569,1050878,33833,104346,7574,330128,15600,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,241665,14031,216018,13902,134030,12392,131625,12471,2405,1190,24904,6534,22197,5530,2707,1427,57084,7889,53775,7430,3309,1066,25647,4105,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,176074,11849,150956,11067,74255,8469,72593,8273,1662,939,29928,6067,23972,5372,5956,2106,46773,7918,43376,7024,3397,1501,25118,4255,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22328,4259,18461,3854,12392,3432,11586,3250,806,734,1921,1399,1679,1225,242,252,4148,1753,4079,1775,69,93,3867,1535,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20233,4250,15104,4225,9970,3727,9602,3648,368,348,2202,1762,1964,1527,238,397,2932,1849,2743,1715,189,335,5129,2071,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,454885,25469,400381,24055,246614,19712,242355,19356,4259,1981,47236,8625,40705,7246,6531,2429,106531,15365,97757,14129,8774,2452,54504,6182,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
