GEO_ID,B20017H_001E,B20017H_001M,B20017H_002E,B20017H_002M,B20017H_003E,B20017H_003M,B20017H_004E,B20017H_004M,B20017H_005E,B20017H_005M,B20017H_006E,B20017H_006M,B20017H_007E,B20017H_007M,NAME,B20017H_001EA,B20017H_001MA,B20017H_002EA,B20017H_002MA,B20017H_003EA,B20017H_003MA,B20017H_004EA,B20017H_004MA,B20017H_005EA,B20017H_005MA,B20017H_006EA,B20017H_006MA,B20017H_007EA,B20017H_007MA,state
0400000US01,30669,311,37271,676,48413,1374,10686,425,23758,815,35675,606,9158,500,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41637,647,50404,1366,61744,1266,22525,2481,34437,2244,48279,2772,14199,2493,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,34095,1043,40571,372,52413,800,11574,263,29450,1051,41504,383,10685,284,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28357,779,33524,1181,42324,617,9960,589,23165,863,32176,440,9197,578,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41614,192,50807,233,70002,835,15191,373,32720,662,52210,267,12511,290,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,35651,351,42297,395,56550,817,12600,690,28473,803,43253,1108,11024,310,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42017,390,51533,433,68733,2438,12332,487,34578,1086,51781,712,12496,513,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,34164,1739,40109,1268,52979,2780,9958,1050,29754,1492,44596,1974,10423,708,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62709,3464,71904,2670,88109,4429,15265,4098,56617,1723,72306,3668,13727,2542,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,31102,165,36000,333,48320,812,11847,214,26842,281,37975,514,10969,165,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,32603,563,40351,327,50862,406,10860,425,26720,368,40157,423,10127,241,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,38349,2472,44002,4103,52009,1277,20194,2047,28046,3230,43954,3660,12075,1021,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26094,565,32251,845,43944,1987,9809,832,20439,521,32034,679,9241,504,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,36456,219,45581,367,59499,1126,11699,204,29139,474,42572,862,10999,164,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,30287,201,36895,350,48493,772,10080,355,23364,495,35148,384,9686,251,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,31046,209,37632,738,46812,422,10034,428,24615,569,36181,375,9217,352,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,31329,280,38263,1082,48623,1206,10153,415,25414,498,37072,394,9122,400,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,28104,529,34885,842,45005,856,10224,323,22279,313,33844,835,9204,317,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,35163,508,45336,906,53185,2232,12079,399,25680,533,36419,552,9548,479,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,27801,799,32076,512,44399,1794,11014,464,23581,841,35572,698,10579,423,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,44869,810,52234,386,67189,847,11902,414,36745,512,52248,530,12085,391,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,40797,264,50181,394,64870,1203,12291,401,32367,397,51306,354,12325,250,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,29836,361,36404,305,50854,283,10475,170,22965,439,38574,495,10028,196,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,35437,211,41712,235,52543,740,11403,300,28910,497,41993,254,11296,205,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
