GEO_ID,C24010A_001E,C24010A_001M,C24010A_002E,C24010A_002M,C24010A_003E,C24010A_003M,C24010A_004E,C24010A_004M,C24010A_005E,C24010A_005M,C24010A_006E,C24010A_006M,C24010A_007E,C24010A_007M,C24010A_008E,C24010A_008M,C24010A_009E,C24010A_009M,C24010A_010E,C24010A_010M,C24010A_011E,C24010A_011M,C24010A_012E,C24010A_012M,C24010A_013E,C24010A_013M,NAME,C24010A_001MA,C24010A_001EA,C24010A_002EA,C24010A_002MA,C24010A_003EA,C24010A_003MA,C24010A_004MA,C24010A_004EA,C24010A_005EA,C24010A_005MA,C24010A_006MA,C24010A_006EA,C24010A_007EA,C24010A_007MA,C24010A_008EA,C24010A_008MA,C24010A_009EA,C24010A_009MA,C24010A_010MA,C24010A_010EA,C24010A_011EA,C24010A_011MA,C24010A_012MA,C24010A_012EA,C24010A_013EA,C24010A_013MA,state
0400000US19,1468440,8639,760595,6641,232755,6400,89918,4541,126045,4883,129648,4903,182229,4723,707845,6099,276920,6169,153898,5102,222535,5850,6074,946,48418,3372,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1227057,9547,654265,5812,229395,5440,78514,4047,101603,4716,118141,4706,126612,4925,572792,6588,244156,6454,114787,4846,178933,5788,5195,1085,29721,2606,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1680097,12630,887504,8630,254249,6123,106728,4931,146763,4999,161999,5421,217765,6678,792593,8543,304859,6739,156695,6643,266602,6896,6742,1336,57695,3396,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1358431,13071,753463,7699,238749,6744,89195,4784,113249,5729,172918,7790,139352,6758,604968,9535,252453,7281,110205,5714,219862,6608,5927,1289,16521,1872,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,616828,6647,306911,4731,91399,3857,42317,3144,48608,2902,66366,3432,58221,3400,309917,4936,122831,4274,72137,3960,97433,4114,2688,775,14828,2191,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1782288,15556,932715,10177,421130,8073,116378,5799,150705,5476,150466,5594,94036,4245,849573,8473,440808,8407,134082,5165,249190,6926,4551,991,20942,1649,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2777207,17415,1410108,11369,591336,9097,206258,7447,243133,6673,192793,7800,176588,7668,1367099,10955,670321,9656,246173,7800,393573,9179,6292,1423,50740,3655,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3623824,15497,1902928,11188,624918,8239,245003,7686,317286,7891,285206,7113,430515,7907,1720896,9902,654724,9633,366429,7585,568422,9822,13031,1848,118290,4506,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2490954,11463,1286543,7835,471368,7512,153194,5206,226975,5827,192856,5076,242150,5763,1204411,6878,522738,6312,238494,6064,370860,7689,7509,952,64810,2825,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,759788,9167,409465,6344,122738,5138,46302,3777,69241,4668,89367,4489,81817,4424,350323,6713,144964,5649,59302,4077,123607,4829,3456,1012,18994,2374,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2391130,14264,1247321,9260,398519,8129,168840,6107,218765,6928,208350,6328,252847,7499,1143809,11047,461861,8828,229382,6742,379467,9002,6880,978,66219,3774,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,447115,5849,233853,4114,76023,3101,34322,2750,38321,3135,50783,2958,34404,2957,213262,3847,83154,3502,49773,2692,69490,3773,3078,754,7767,1244,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,872491,6302,456719,4772,153633,4845,50939,3338,79398,3562,84156,3786,88593,3771,415772,4458,164945,4426,86934,3374,133472,4207,4837,871,25584,2086,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,889510,11861,483048,6973,137229,4998,113929,5251,87836,4896,75879,5299,68175,4468,406462,8407,138047,5121,102879,5729,142620,5199,3947,1281,18969,2388,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,656800,7310,340985,4383,117655,4303,44729,3262,62618,3331,62202,4497,53781,3643,315815,5046,138608,4376,58451,4203,98491,4962,2619,865,17646,2344,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2963406,17023,1557489,10959,609184,9554,211758,7451,297108,7351,226808,8138,212631,7084,1405917,11435,630429,9649,248078,8739,464865,10744,4790,1152,57755,4184,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,678794,10408,363324,7462,119954,5306,59165,4723,56920,4283,76762,4911,50523,3679,315470,6051,128762,4844,71166,4955,98498,4397,3225,844,13819,2087,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,6231020,26327,3247169,16166,1286381,16830,498670,10921,578525,8611,454233,11431,429360,9272,2983851,17909,1417403,18036,533427,12503,908484,13315,17794,2183,106743,5538,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3136544,21278,1653879,13466,584231,11070,217911,7506,292953,8169,293959,10151,264825,8643,1482665,11877,654161,8404,279467,8587,457263,10101,12386,1706,79388,3978,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,357634,3770,193733,2591,59418,2995,18208,2449,31010,2705,43936,2756,41161,2656,163901,3004,66998,2946,38124,2381,51263,3013,1361,440,6155,1127,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,4565344,19314,2377149,13558,765465,11041,297263,7313,395338,9200,359884,10236,559199,9501,2188195,12788,868582,13733,459568,9900,685191,10872,16277,1968,158577,5877,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,1308575,8349,716881,6136,215129,5691,92712,4225,122621,4621,146417,5464,140002,4522,591694,5960,234157,5306,120435,4649,204768,5232,7201,1151,25133,2095,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1550987,13299,815059,9854,289269,6801,111241,6080,139630,5752,129755,6275,145164,5850,735928,8830,291764,6479,163839,6703,234344,7084,10412,1661,35569,3553,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,5098731,21271,2665214,12946,901717,9939,338551,9318,452757,9406,427538,10050,544651,11115,2433517,14990,999191,13577,484018,10619,798715,9987,16636,1870,134957,4531,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
