C16003_005M,C16003_006E,C16003_006M,C16003_007E,C16003_007M,C16003_008E,C16003_008M,GEO_ID,C16003_001E,C16003_001M,C16003_002E,C16003_002M,C16003_003E,C16003_003M,C16003_004E,C16003_004M,C16003_005E,C16003_005MA,C16003_006EA,C16003_006MA,C16003_007MA,C16003_007EA,C16003_008MA,C16003_008EA,NAME,C16003_001EA,C16003_001MA,C16003_002MA,C16003_002EA,C16003_003EA,C16003_003MA,C16003_004EA,C16003_004MA,C16003_005EA,state
1032,46216,5266,34678,4506,11538,2693,0400000US01,61993,7579,15777,2894,487,410,12558,2533,2732,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,01
1907,10362,2409,1426,718,8936,2399,0400000US02,14110,4068,3748,2071,935,788,116,199,2697,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,02
1964,210559,9763,164434,9231,46125,4495,0400000US04,278625,13705,68066,5291,4866,1296,55396,4932,7804,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,04
395,35113,4497,27683,4088,7430,1853,0400000US05,47715,6772,12602,2818,847,617,11089,2752,666,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,05
6670,2609272,42458,1580022,34290,1029250,20280,0400000US06,3295301,56592,686029,19438,40681,3483,520215,17511,125133,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,06
2136,116411,8352,79067,7126,37344,4512,0400000US08,160949,11706,44538,5168,2971,1178,33407,4892,8160,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,08
1455,135679,7842,78247,7176,57432,5132,0400000US09,163881,10216,28202,3669,3447,1209,18233,3039,6522,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,09
509,15722,2722,9433,2593,6289,1635,0400000US10,19648,3593,3926,1541,241,313,2816,1431,869,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,10
462,16249,2722,8900,2096,7349,2085,0400000US11,18585,3193,2336,878,185,225,1398,673,753,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,11
3793,1011759,25573,801991,22322,209768,10775,0400000US12,1197020,31570,185261,10890,14455,3245,137497,9244,33309,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,12
