GEO_ID,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,NAME,C15002I_001MA,C15002I_001EA,C15002I_002MA,C15002I_002EA,C15002I_003EA,C15002I_003MA,C15002I_004MA,C15002I_004EA,C15002I_005MA,C15002I_005EA,C15002I_006EA,C15002I_006MA,C15002I_007MA,C15002I_007EA,C15002I_008MA,C15002I_008EA,C15002I_009EA,C15002I_009MA,C15002I_010EA,C15002I_010MA,C15002I_011MA,C15002I_011EA,state
0400000US01,92616,3235,51762,2872,18694,2162,16891,2890,9246,1762,6931,1737,40854,1891,18456,2019,9500,1679,7414,1676,5484,1096,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23797,911,12656,904,1288,484,4255,922,4815,1069,2298,728,11141,638,817,439,3166,849,4431,927,2727,760,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1046652,2164,519083,1787,190975,6868,146536,6013,131923,6156,49649,3729,527569,1212,177817,6799,145902,6000,144851,6326,58999,3940,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,97062,2543,50972,2530,25829,2254,11653,2103,10265,1864,3225,1159,46090,1612,20969,2484,11375,1681,9553,1922,4193,1162,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8092574,2083,4043862,1556,1648736,19384,1053768,17861,921879,14442,419479,9685,4048712,1641,1568310,15887,971473,17272,1023685,14830,485244,10639,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,589344,3911,298811,2583,100216,4886,89673,4473,73204,3930,35718,3337,290533,2248,85424,4359,82520,3744,83238,3880,39351,3312,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,289889,1290,141745,1286,47892,3878,46304,3573,28630,2925,18919,2460,148144,858,42054,3273,42422,3589,40578,3488,23090,2437,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,42095,571,22164,557,7820,1242,6650,1225,4775,919,2919,960,19931,595,7168,1346,4881,1171,4422,1088,3460,895,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,42017,-555555555,21778,-555555555,4523,1170,2208,821,3003,959,12044,1299,20239,-555555555,4231,1270,3553,921,2729,1006,9726,1274,District of Columbia,*****,null,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,2965363,4133,1434962,3202,356484,12574,421701,12561,367871,10812,288906,9619,1530401,3071,327917,8958,437761,11775,415891,10006,348832,9440,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,463261,4439,251068,3838,117268,6129,63856,5749,40929,4194,29015,3291,212193,3310,82075,4258,53233,3673,47271,4003,29614,2719,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
