GEO_ID,C17014_001E,C17014_001M,C17014_002E,C17014_002M,C17014_003E,C17014_003M,C17014_004E,C17014_004M,C17014_005E,C17014_005M,C17014_006E,C17014_006M,C17014_007E,C17014_007M,C17014_008E,C17014_008M,C17014_009E,C17014_009M,C17014_010E,C17014_010M,C17014_011E,C17014_011M,NAME,C17014_001EA,C17014_001MA,C17014_002EA,C17014_002MA,C17014_003MA,C17014_003EA,C17014_004EA,C17014_004MA,C17014_005EA,C17014_005MA,C17014_006EA,C17014_006MA,C17014_007MA,C17014_007EA,C17014_008MA,C17014_008EA,C17014_009EA,C17014_009MA,C17014_010MA,C17014_010EA,C17014_011EA,C17014_011MA,state
0400000US01,1222568,14007,174593,5454,67663,3705,88900,4627,15462,2331,2568,712,1047975,12811,163027,5463,354429,8087,445258,9514,85261,4498,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165431,3617,9814,1095,2577,529,5537,895,1476,322,224,80,155617,3391,9617,1195,44383,2912,80578,3144,21039,2088,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1572310,12708,213512,6823,77557,5065,106354,5609,25618,2887,3983,958,1358798,12983,235075,6116,458108,9875,534554,9256,131061,5644,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751124,10710,108793,4870,39297,3667,55424,3867,12605,1609,1467,550,642331,9468,102586,3958,213828,6652,275242,8180,50675,3520,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8645970,31516,1092977,14174,357872,9221,543803,10182,158475,6622,32827,2588,7552993,30734,807693,11717,2439887,21223,3227091,26643,1078322,15720,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1279941,10970,111594,5324,29320,2859,59596,3994,20586,2616,2092,791,1168347,10778,117358,4660,369897,8214,563971,9212,117121,5008,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890293,9252,67625,4089,26362,2506,32707,3338,6739,1209,1817,701,822668,9009,83838,3330,245849,7278,377238,7642,115743,4711,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,228364,4558,19335,2274,6671,1118,10031,1552,2400,875,233,273,209029,4873,30566,1785,64515,3927,90354,4204,23594,1991,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,120467,4214,18901,2027,10331,1562,7031,1520,1454,570,85,135,101566,3750,7687,1093,37373,2559,49718,3046,6788,1222,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4626388,25285,573647,14621,219850,8372,274984,9949,70577,4714,8236,1437,4052741,29605,742073,12143,1303576,22080,1628223,18627,378869,9675,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2389803,16893,346652,9098,121659,5712,183261,7166,36481,3473,5251,1261,2043151,17369,240892,6558,691880,12827,909474,14027,200905,9953,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,311203,4720,22104,2150,8852,1318,9695,1405,3099,929,458,260,289099,4979,29556,2143,82978,4405,127356,4794,49209,3522,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,410061,6537,42621,3508,10810,1876,23949,2737,6629,1200,1233,430,367440,6439,48490,2556,114058,5609,167449,6192,37443,2544,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3128369,16865,336300,8797,112648,5450,176668,6708,40461,3386,6523,1208,2792069,16410,304311,6431,838325,12265,1261943,12028,387490,9115,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1647941,12570,195995,6985,65937,4431,104908,4654,22942,2938,2208,640,1451946,12889,180034,5201,447611,10150,663539,9854,160762,5562,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,793749,7802,64097,3688,18957,2139,36879,2701,7003,1140,1258,450,729652,7685,86562,3406,186565,6048,373050,6846,83475,3456,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,735596,7493,70937,4162,20788,2164,39067,3292,10087,1613,995,466,664659,8088,69357,2486,193167,5773,327262,7037,74873,3253,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1139596,10907,165026,5325,71392,3969,76174,4612,15818,1955,1642,646,974570,10050,148697,4374,310799,7774,426007,7482,89067,3872,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1129437,12269,173115,5872,67145,4665,87253,4490,16897,2381,1820,690,956322,11629,112622,4633,338512,7896,416737,9271,88451,4481,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,338609,6098,32477,2997,13400,1807,15355,1926,3442,1088,280,226,306132,5500,42653,2350,91973,4258,140777,4330,30729,2414,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
