B27001D_017E,B27001D_017M,B27001D_018E,B27001D_018M,B27001D_019E,B27001D_019M,B27001D_020E,B27001D_020M,B27001D_021E,B27001D_021M,B27001D_022E,B27001D_022M,B27001D_023E,B27001D_023M,B27001D_024E,B27001D_024M,B27001D_025E,B27001D_025M,B27001D_026E,B27001D_026M,B27001D_027E,B27001D_027M,B27001D_028E,B27001D_028M,GEO_ID,B27001D_001E,B27001D_001M,B27001D_002E,B27001D_002M,B27001D_003E,B27001D_003M,B27001D_004E,B27001D_004M,B27001D_005E,B27001D_005M,B27001D_006E,B27001D_006M,B27001D_007E,B27001D_007M,B27001D_008E,B27001D_008M,B27001D_009E,B27001D_009M,B27001D_010E,B27001D_010M,B27001D_011E,B27001D_011M,B27001D_012E,B27001D_012M,B27001D_013E,B27001D_013M,B27001D_014E,B27001D_014M,B27001D_015E,B27001D_015M,B27001D_016E,B27001D_016M,B27001D_017EA,B27001D_017MA,B27001D_018MA,B27001D_018EA,B27001D_019MA,B27001D_019EA,B27001D_020EA,B27001D_020MA,B27001D_021MA,B27001D_021EA,B27001D_022MA,B27001D_022EA,B27001D_023EA,B27001D_023MA,B27001D_024EA,B27001D_024MA,B27001D_025MA,B27001D_025EA,B27001D_026EA,B27001D_026MA,B27001D_027EA,B27001D_027MA,B27001D_028EA,B27001D_028MA,NAME,B27001D_001EA,B27001D_001MA,B27001D_002MA,B27001D_002EA,B27001D_003EA,B27001D_003MA,B27001D_004MA,B27001D_004EA,B27001D_005MA,B27001D_005EA,B27001D_006EA,B27001D_006MA,B27001D_007MA,B27001D_007EA,B27001D_008EA,B27001D_008MA,B27001D_009EA,B27001D_009MA,B27001D_010EA,B27001D_010MA,B27001D_011EA,B27001D_011MA,B27001D_012EA,B27001D_012MA,B27001D_013MA,B27001D_013EA,B27001D_014EA,B27001D_014MA,B27001D_015MA,B27001D_015EA,B27001D_016MA,B27001D_016EA,state
8919,1291,7395,1299,1524,599,4199,993,3389,982,810,455,3838,953,3328,948,510,440,1733,702,1506,616,227,373,0400000US01,58596,3012,4024,946,4024,946,0,192,10450,1527,9672,1600,778,663,6537,1428,4406,1008,2131,915,9554,1502,7085,1258,2469,1088,9342,1437,7554,1488,1788,781,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
6137,835,4707,784,1430,516,4624,482,3574,530,1050,414,2125,680,2096,675,29,59,1355,571,1355,571,0,147,0400000US02,41283,2618,2841,680,2583,698,258,241,8028,1260,6554,1435,1474,728,4426,868,2185,599,2241,853,6219,1135,4507,1137,1712,615,5528,728,3930,816,1598,683,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
25264,1039,21289,1481,3975,1204,19238,700,15358,1043,3880,993,11522,927,10306,976,1216,629,7450,747,7262,765,188,218,0400000US04,190373,5211,15252,1728,13840,1703,1412,759,24174,2287,21131,2142,3043,1066,17846,1272,13963,1433,3883,963,33559,1674,27577,1793,5982,1410,36068,1539,30840,1899,5228,1322,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
3978,993,3055,926,923,459,3476,806,2451,790,1025,487,1256,553,1058,528,198,165,483,334,483,334,0,192,0400000US05,39141,2378,3878,812,3326,815,552,728,6434,1125,6043,1142,391,391,4250,1009,3378,829,872,459,9034,1376,7757,1318,1277,563,6352,1176,5368,1187,984,455,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
752052,4376,616723,7280,135329,6365,652641,3139,524894,7513,127747,6729,385346,2596,369624,3469,15722,2276,284433,2564,279894,2866,4539,1236,0400000US06,5182866,17736,322960,5676,310730,5759,12230,2200,680351,8690,637023,10085,43328,4221,481225,5462,382331,6947,98894,5258,807815,5967,644158,8463,163657,7441,816043,4355,700813,6960,115230,5745,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
19724,1450,15868,1649,3856,993,14815,1040,12294,1067,2521,776,7320,1377,7174,1402,146,140,6085,1090,5951,1092,134,160,0400000US08,149269,3628,9691,1378,9511,1393,180,177,25383,1921,23496,1952,1887,704,14605,1378,10980,1428,3625,926,24924,2063,20611,2107,4313,1276,26722,1678,22893,1701,3829,1151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
19762,1214,15877,1773,3885,1231,13274,878,10202,963,3072,878,6751,941,5756,881,995,557,3209,887,3017,912,192,199,0400000US09,147120,3610,10293,1190,10033,1192,260,249,24678,1486,22483,1526,2195,1008,13723,869,11515,1104,2208,804,27347,1308,24282,1398,3065,839,28083,1068,25152,1389,2931,1094,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
4471,816,3306,762,1165,689,3314,913,2720,761,594,314,1968,515,1306,619,662,390,897,428,529,274,368,373,0400000US10,33425,1180,2690,547,2598,568,92,168,4489,663,3551,783,938,755,3380,711,3120,693,260,232,6454,447,5828,630,626,459,5762,510,5655,550,107,130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1641,412,1364,498,277,370,1291,227,1081,411,210,274,870,477,870,477,0,203,792,427,792,427,0,203,0400000US11,22569,1408,959,416,959,416,0,203,1368,411,1051,449,317,341,4324,705,4110,731,214,365,6536,701,6081,742,455,395,4788,544,4337,621,451,314,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
75141,2646,55356,3385,19785,2728,60053,2130,45511,2355,14542,2265,35514,1956,32420,2026,3094,1131,19246,1970,18143,1934,1103,596,0400000US12,507202,6853,33017,3015,29589,3107,3428,1236,74389,3265,64018,3425,10371,2152,46640,2718,31450,2805,15190,1971,74482,2689,53767,3406,20715,2830,88720,3593,67229,3685,21491,3128,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
