B08524_039E,B08524_039M,B08524_040E,B08524_040M,B08524_041E,B08524_041M,B08524_042E,B08524_042M,B08524_043E,B08524_043M,B08524_044E,B08524_044M,B08524_045E,B08524_045M,B08524_046E,B08524_046M,B08524_047E,B08524_047M,B08524_048E,B08524_048M,B08524_049E,B08524_049M,GEO_ID,B08524_001E,B08524_001M,B08524_002E,B08524_002M,B08524_003E,B08524_003M,B08524_004E,B08524_004M,B08524_005E,B08524_005M,B08524_006E,B08524_006M,B08524_007E,B08524_007M,B08524_008E,B08524_008M,B08524_009E,B08524_009M,B08524_010E,B08524_010M,B08524_011E,B08524_011M,B08524_012E,B08524_012M,B08524_013E,B08524_013M,B08524_014E,B08524_014M,B08524_015E,B08524_015M,B08524_016E,B08524_016M,B08524_017E,B08524_017M,B08524_018E,B08524_018M,B08524_019E,B08524_019M,B08524_020E,B08524_020M,B08524_021E,B08524_021M,B08524_022E,B08524_022M,B08524_023E,B08524_023M,B08524_024E,B08524_024M,B08524_025E,B08524_025M,B08524_026E,B08524_026M,B08524_027E,B08524_027M,B08524_028E,B08524_028M,B08524_029E,B08524_029M,B08524_030E,B08524_030M,B08524_031E,B08524_031M,B08524_032E,B08524_032M,B08524_033E,B08524_033M,B08524_034E,B08524_034M,B08524_035E,B08524_035M,B08524_036E,B08524_036M,B08524_037E,B08524_037M,B08524_038E,B08524_038M,B08524_039EA,B08524_039MA,B08524_040MA,B08524_040EA,B08524_041EA,B08524_041MA,B08524_042EA,B08524_042MA,B08524_043MA,B08524_043EA,B08524_044EA,B08524_044MA,B08524_045EA,B08524_045MA,B08524_046EA,B08524_046MA,B08524_047EA,B08524_047MA,B08524_048EA,B08524_048MA,B08524_049MA,B08524_049EA,NAME,B08524_001MA,B08524_001EA,B08524_002EA,B08524_002MA,B08524_003EA,B08524_003MA,B08524_004MA,B08524_004EA,B08524_005MA,B08524_005EA,B08524_006MA,B08524_006EA,B08524_007MA,B08524_007EA,B08524_008EA,B08524_008MA,B08524_009EA,B08524_009MA,B08524_010MA,B08524_010EA,B08524_011EA,B08524_011MA,B08524_012MA,B08524_012EA,B08524_013EA,B08524_013MA,B08524_014EA,B08524_014MA,B08524_015EA,B08524_015MA,B08524_016MA,B08524_016EA,B08524_017EA,B08524_017MA,B08524_018MA,B08524_018EA,B08524_019EA,B08524_019MA,B08524_020EA,B08524_020MA,B08524_021MA,B08524_021EA,B08524_022MA,B08524_022EA,B08524_023MA,B08524_023EA,B08524_024EA,B08524_024MA,B08524_025EA,B08524_025MA,B08524_026MA,B08524_026EA,B08524_027EA,B08524_027MA,B08524_028MA,B08524_028EA,B08524_029MA,B08524_029EA,B08524_030EA,B08524_030MA,B08524_031MA,B08524_031EA,B08524_032EA,B08524_032MA,B08524_033EA,B08524_033MA,B08524_034MA,B08524_034EA,B08524_035EA,B08524_035MA,B08524_036MA,B08524_036EA,B08524_037MA,B08524_037EA,B08524_038EA,B08524_038MA,state
3673,955,3418,1329,4323,1138,0,192,50055,3837,23261,2578,6565,1485,12711,1859,3939,1333,3532,1127,47,75,0400000US01,1932727,18015,643064,12539,334282,9735,459861,10388,190133,7032,302720,8797,2667,765,1666104,16636,562546,11162,282143,8608,405249,10188,156170,6450,257779,8803,2217,721,166532,7567,44435,3649,33298,3267,31741,3134,24057,3025,32856,3067,145,161,9328,1493,2392,915,2792,746,2425,769,410,267,1309,664,0,192,20791,2520,6170,1443,5241,1131,4062,946,2139,921,2921,956,258,315,19917,2352,4260,1156,4243,1098,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
3156,1096,6101,1269,4072,891,72,63,15371,2129,6531,1416,2819,828,3051,1116,1240,380,1265,636,465,343,0400000US02,366809,5441,128972,5345,56585,3809,86153,4951,47003,2765,39639,3447,8457,1347,240883,6349,88978,4325,33181,2807,62248,4103,28109,2556,23229,2553,5138,1230,47159,3880,15631,2270,8491,1894,9589,1522,7130,1277,5158,1936,1160,585,6712,1189,1484,681,1603,663,2022,756,780,418,823,400,0,147,32694,2865,9031,1495,7219,1389,6087,1035,3643,751,5092,856,1622,691,23990,2360,7317,1383,3272,730,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
13094,1974,9498,2146,8171,1388,217,200,150347,7170,75156,4441,19949,2227,39700,3691,8631,1919,6439,1408,472,335,0400000US04,2727448,17333,955181,15677,545723,12181,708033,12450,258300,7974,253034,9333,7177,1133,2080926,16932,744301,14019,395988,11171,551136,11278,189508,6704,196029,8470,3964,993,300368,12248,86766,5098,68982,5710,69283,4252,42652,4824,32036,3274,649,399,64758,5527,13812,2368,20311,3030,20234,3110,4380,1103,6021,1422,0,203,56928,4479,14830,2066,17668,2496,14586,2218,3631,1045,4338,1151,1875,503,74121,4727,20316,2178,22825,3010,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2512,766,2101,757,4956,1542,0,192,34589,3457,13240,1869,6932,1392,8264,1426,3630,1184,2468,820,55,97,0400000US05,1225755,12155,389365,9263,206143,8106,291892,7520,127790,5835,209317,7463,1248,497,1023919,11729,330080,9474,165040,7487,250589,7062,102383,5099,174651,7051,1176,523,124218,6827,34259,3148,24040,2813,24347,2703,18052,2634,23503,2798,17,31,5754,1314,1542,674,1607,647,1315,703,236,266,1054,549,0,192,20012,2524,6166,1431,4908,1026,4865,1152,1388,509,2685,863,0,192,17263,2138,4078,1096,3616,1096,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
78198,5084,53782,5430,53469,4004,1985,774,877833,17079,436687,9343,173305,7410,187273,7888,40041,3854,32887,3577,7640,2048,0400000US06,16740038,39419,6146529,32396,3142408,31880,3994813,33852,1566010,22077,1827610,21245,62668,4916,12262665,43018,4597963,28471,2141771,27482,3019722,28325,1099511,19120,1369081,18257,34617,4117,1824947,24455,520771,12218,377603,10770,383702,10432,292833,10765,243363,9082,6675,1546,886923,17701,299729,8092,230579,8643,213613,7446,47225,4251,94529,6256,1248,563,455763,12824,141748,6229,124308,6820,112305,6280,32618,3774,34281,3152,10503,2262,431907,11189,149631,5807,94842,5120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
10860,1709,4617,1328,7519,1447,153,180,177620,7065,98480,4326,22318,2196,42903,3672,8311,1691,5558,1299,50,83,0400000US08,2564044,16271,1016244,14934,453067,10611,605110,12742,233870,8040,232595,8212,23158,2056,1917766,18291,764724,13665,325849,9555,459926,11725,169731,6586,182975,7242,14561,2019,247383,8812,71672,4133,52388,4257,53350,3948,44157,4269,24120,2382,1696,854,85858,4515,30527,2635,20912,2776,21783,2306,3742,1038,8894,2082,0,195,75145,4508,25486,2369,19832,2803,16288,2027,3312,1026,3529,920,6698,765,60272,4217,25355,3136,11768,1700,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4561,1288,1791,854,3642,1332,385,473,75129,4216,40865,2722,9690,1865,18086,2379,3179,1048,2241,664,1068,611,0400000US09,1719042,11585,684106,11440,323419,9067,408700,10722,129278,6119,168655,7225,4884,938,1362261,13434,565412,10822,237169,8070,321869,8661,102070,5539,134270,6579,1471,631,146064,6905,39874,3528,39605,3457,32194,3068,16335,2535,18020,2747,36,63,61529,4431,14863,1862,18067,2610,19125,2549,2871,1243,6603,1392,0,201,53983,3898,17986,2132,14297,2230,12865,1836,3032,962,3879,1209,1924,591,20076,2686,5106,1115,4591,1227,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
793,484,636,398,1012,722,0,189,15846,1986,8200,1278,1683,743,4275,1071,820,474,868,413,0,189,0400000US10,424042,7520,167712,6078,79567,5269,102323,5202,32323,3170,41268,3739,849,607,344378,8116,139877,5829,61660,4668,83861,4850,25602,2769,32538,3552,840,607,38007,3569,11896,1839,8551,1903,8650,1563,3938,1192,4972,1327,0,189,11755,1913,3183,893,3426,1005,3145,1013,615,651,1386,593,0,189,8842,1465,3187,806,2843,1055,1599,571,712,491,492,339,9,24,5214,1349,1369,562,1404,705,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
3579,914,766,592,535,309,0,203,14474,2265,10269,1719,2151,980,1149,558,410,525,281,259,214,232,0400000US11,799166,13648,476498,9517,122667,6389,132507,6122,35257,3995,29324,2708,2913,635,333043,10568,181027,7743,55783,3939,52804,3526,23033,2817,19059,1922,1337,425,72349,4666,43106,3269,11331,1930,10848,1739,4765,1413,2057,937,242,225,306122,8284,192170,6101,44285,3945,56016,4566,5902,1203,6962,1343,787,375,46392,3659,30318,2699,6819,1428,8111,1518,381,295,430,299,333,287,26786,3021,19608,2684,2298,619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
36396,3584,26702,4022,22829,3066,325,246,424181,12099,200429,8036,48869,4512,123138,6915,27122,3310,16432,2197,8191,2588,0400000US12,8313689,34529,2774091,26701,1723823,28070,2289373,26473,758903,18797,737559,15899,29940,3162,6628307,35438,2268919,24268,1321726,22853,1861269,23969,561994,15009,596662,14993,17737,3081,783491,19087,205614,8055,196503,11188,189039,8021,115610,9099,74799,5215,1926,768,174603,7504,26648,2454,65154,4763,46308,4341,17894,3575,18186,2488,413,276,126442,7100,31537,3776,42102,3788,33223,3271,9581,2617,8651,2044,1348,1612,176665,9010,40944,3556,49469,4498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
