GEO_ID,B28009I_001E,B28009I_001M,B28009I_002E,B28009I_002M,B28009I_003E,B28009I_003M,B28009I_004E,B28009I_004M,B28009I_005E,B28009I_005M,B28009I_006E,B28009I_006M,NAME,B28009I_001EA,B28009I_001MA,B28009I_002EA,B28009I_002MA,B28009I_003MA,B28009I_003EA,B28009I_004EA,B28009I_004MA,B28009I_005EA,B28009I_005MA,B28009I_006EA,B28009I_006MA,state
0400000US01,186233,1633,142127,6804,3124,1984,104304,7559,34699,6712,44106,6765,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46076,573,43488,1365,0,147,40054,2500,3434,2057,2588,1220,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1955990,3149,1543150,21043,17154,4239,1235706,23721,290290,17734,412840,20358,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,200487,1749,159708,6963,3729,2089,105027,7914,50952,8453,40779,6993,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14492129,5845,12272409,47546,130425,11628,10306462,52478,1835522,44159,2219720,48300,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1085073,2046,923885,12308,10077,3926,747587,17240,166221,14191,161188,11875,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,512342,1698,455284,7995,2208,1234,384791,11249,68285,9262,57058,8077,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,79703,405,69078,3233,681,667,49208,5198,19189,4902,10625,3155,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,63440,712,55323,3417,901,1114,48373,3819,6049,2081,8117,3238,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4551728,4149,3912924,27543,41548,8208,3385739,34218,485637,26209,638804,26858,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,887028,2855,731164,14995,3365,2251,578431,17641,149368,13740,155864,15140,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
