GEO_ID,B14007I_001E,B14007I_001M,B14007I_002E,B14007I_002M,B14007I_003E,B14007I_003M,B14007I_004E,B14007I_004M,B14007I_005E,B14007I_005M,B14007I_006E,B14007I_006M,B14007I_007E,B14007I_007M,B14007I_008E,B14007I_008M,B14007I_009E,B14007I_009M,B14007I_010E,B14007I_010M,B14007I_011E,B14007I_011M,B14007I_012E,B14007I_012M,B14007I_013E,B14007I_013M,B14007I_014E,B14007I_014M,B14007I_015E,B14007I_015M,B14007I_016E,B14007I_016M,B14007I_017E,B14007I_017M,B14007I_018E,B14007I_018M,B14007I_019E,B14007I_019M,NAME,B14007I_001MA,B14007I_001EA,B14007I_002MA,B14007I_002EA,B14007I_003EA,B14007I_003MA,B14007I_004EA,B14007I_004MA,B14007I_005MA,B14007I_005EA,B14007I_006EA,B14007I_006MA,B14007I_007EA,B14007I_007MA,B14007I_008EA,B14007I_008MA,B14007I_009MA,B14007I_009EA,B14007I_010EA,B14007I_010MA,B14007I_011MA,B14007I_011EA,B14007I_012MA,B14007I_012EA,B14007I_013MA,B14007I_013EA,B14007I_014MA,B14007I_014EA,B14007I_015MA,B14007I_015EA,B14007I_016EA,B14007I_016MA,B14007I_017MA,B14007I_017EA,B14007I_018MA,B14007I_018EA,B14007I_019MA,B14007I_019EA,state
0400000US01,177909,2051,61371,3447,4188,1341,5548,1284,3197,1056,4985,1156,5555,1372,4713,1157,3474,1102,3547,947,3940,1112,2176,728,2495,716,2998,921,2150,943,3353,1175,7725,1539,1327,643,116538,3250,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,45942,663,17929,1664,956,556,1272,686,828,466,962,555,1159,514,663,385,1025,393,1035,709,625,366,1047,623,493,322,478,333,944,567,1066,482,4829,1077,547,426,28013,1623,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1897262,3674,663053,6463,28420,2874,37816,3292,40957,3043,42939,3330,41958,3847,37281,3406,37367,3013,39252,3082,43812,3290,40764,3178,37859,2829,34697,2294,37442,2977,47377,3703,104524,5123,10588,1716,1234209,6991,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,191179,2273,73264,3253,5115,1432,5078,1262,4848,1205,5648,1326,5420,1822,4829,1158,5405,1018,4779,1240,4373,1044,3261,933,3141,864,3985,893,3440,751,3268,859,9949,2020,725,526,117915,3275,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13958622,10968,4899649,20498,273548,9921,278972,9072,270440,8851,262132,8893,258799,8216,260734,8291,259991,10550,262853,8306,264417,7848,264857,7628,271117,8044,269007,6592,273331,6416,325923,8393,1011714,15177,91814,4354,9058973,19749,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1042976,3684,373650,6091,22677,2586,23525,2886,19530,2985,21906,2213,20782,2474,23733,2958,23207,2259,25148,2758,22187,2497,21465,2336,21206,2261,21025,2184,16412,1665,24904,2791,59329,3371,6614,1360,669326,6010,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,499932,2071,172633,4247,12656,2072,8788,1516,11305,1994,10538,1710,10042,1687,9772,1654,9780,1649,7717,1306,9217,1583,9284,1783,9065,1565,10757,1743,9039,1417,10734,1815,29332,3168,4607,1230,327299,4177,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,75393,860,26752,1398,1555,607,1391,593,1369,581,2162,665,1099,639,1751,635,1483,666,1785,632,1716,715,1692,676,1501,653,1597,529,964,528,1727,647,4405,971,555,357,48641,1586,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61846,691,21386,2540,2414,902,1014,548,822,526,528,359,671,416,876,466,462,292,925,423,513,330,900,494,358,325,1073,510,616,368,1157,659,5655,1498,3402,1312,40460,2231,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4434954,5798,1274779,12183,77987,5392,68570,4650,63609,4903,65116,4150,66605,4372,65130,4542,65493,4772,61842,5052,68468,4192,66709,4670,64985,4902,64992,4410,60096,4606,72612,4200,296429,9753,46136,4844,3160175,12421,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,847142,4033,301617,6190,19596,2217,23762,2760,18289,2805,21183,2470,20319,2443,17691,2528,16959,2289,17248,2377,17424,2461,17034,2518,17374,2425,14426,2250,14980,2385,16174,2379,44105,4576,5053,1372,545525,5555,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,126826,1205,47254,2378,3803,1085,3247,822,2317,715,3381,854,3524,920,1854,572,1731,586,2849,823,2253,628,1831,816,2890,843,2553,545,1904,598,2228,806,9630,1880,1259,602,79572,2501,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,177299,1793,65704,2591,3080,1104,4437,1146,3596,1032,5041,1124,5229,1302,3801,1039,2880,936,4343,968,3349,986,4422,1003,3451,896,3297,915,4696,976,3373,925,9482,1617,1227,724,111595,2645,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2005191,4120,730493,8526,46658,3893,42199,3549,41073,3272,46486,3511,43667,3077,40881,3060,43871,3223,37939,3044,40682,3910,38837,2652,41548,3434,37653,2895,39921,2914,42370,3059,130898,5466,15810,2380,1274698,7371,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
