GEO_ID,B16007_001E,B16007_001M,B16007_002E,B16007_002M,B16007_003E,B16007_003M,B16007_004E,B16007_004M,B16007_005E,B16007_005M,B16007_006E,B16007_006M,B16007_007E,B16007_007M,B16007_008E,B16007_008M,B16007_009E,B16007_009M,B16007_010E,B16007_010M,B16007_011E,B16007_011M,B16007_012E,B16007_012M,B16007_013E,B16007_013M,B16007_014E,B16007_014M,B16007_015E,B16007_015M,B16007_016E,B16007_016M,B16007_017E,B16007_017M,B16007_018E,B16007_018M,B16007_019E,B16007_019M,NAME,B16007_001MA,B16007_001EA,B16007_002MA,B16007_002EA,B16007_003MA,B16007_003EA,B16007_004MA,B16007_004EA,B16007_005MA,B16007_005EA,B16007_006MA,B16007_006EA,B16007_007MA,B16007_007EA,B16007_008MA,B16007_008EA,B16007_009MA,B16007_009EA,B16007_010MA,B16007_010EA,B16007_011EA,B16007_011MA,B16007_012MA,B16007_012EA,B16007_013MA,B16007_013EA,B16007_014EA,B16007_014MA,B16007_015EA,B16007_015MA,B16007_016EA,B16007_016MA,B16007_017MA,B16007_017EA,B16007_018EA,B16007_018MA,B16007_019MA,B16007_019EA,state
0400000US01,4541368,2912,817537,3418,769208,4391,35916,3677,3933,1131,6104,1236,2376,1148,3002293,3786,2834571,5951,102613,4846,25846,3319,27279,2673,11984,3998,721538,2489,705883,2491,5010,1228,6456,1400,3623,1136,566,399,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,680427,1049,133661,1231,115801,2783,3516,1184,2937,1037,5337,1726,6070,1084,481182,1494,403676,3923,16270,2062,10885,1939,25682,2424,24669,1912,65584,1088,55548,1091,581,253,1638,418,2940,695,4877,539,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6196543,887,1185881,1273,838070,9355,293151,8412,11762,2086,16149,2089,26749,3172,3991938,1874,2841768,16744,868932,11709,81398,5676,89634,4492,110206,6160,1018724,1545,855839,4214,104754,2637,25131,2636,13737,1730,19263,2193,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2769171,2391,521420,2750,473627,4169,39842,3546,3310,1688,3590,1203,1051,842,1794209,2745,1660732,6550,95145,4271,14977,2508,17814,2358,5541,1991,453542,2039,444581,1774,4567,1099,2395,889,1862,749,137,138,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35831956,3033,6673619,3473,3696661,25978,2336226,22870,187472,7747,396800,7855,56460,6389,24364229,3621,13295011,37579,7220703,30363,1103416,20117,2490688,20677,254411,14574,4794108,2956,3139327,10849,765525,5763,289521,9806,557784,7108,41951,4238,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4934794,2520,907752,3528,726413,7245,143084,6798,15526,2343,16049,1849,6680,2037,3382099,3365,2813324,11785,388542,10824,80702,5317,71864,2973,27667,4204,644943,1852,569303,3611,46198,2437,16988,1935,10241,1583,2213,1096,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3405334,868,594596,1199,476163,5453,76770,4039,27273,3113,10316,1629,4074,1744,2266232,1218,1738901,10019,285184,5708,163109,8184,62065,4179,16973,3368,544506,1116,456701,4172,26555,1222,52109,3980,7129,1136,2012,718,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,869514,423,147453,360,127442,2296,12637,1696,3890,1237,2971,920,513,390,575116,663,498386,4247,40022,2763,18158,2933,13870,1848,4680,1419,146945,535,138329,1160,2174,440,4450,1017,1472,641,520,381,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,605388,270,70471,143,56844,1694,7921,1196,3139,1124,1361,320,1206,519,460956,433,374712,4677,41551,2715,20692,2794,11689,1540,12312,2426,73961,367,65472,1066,3623,657,2805,617,1433,436,628,322,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18478811,3217,2954681,3358,2145563,12529,626215,10131,133786,8518,33622,3556,15495,3190,11879847,4413,8334230,28084,2661045,18154,610512,21392,208298,7705,65762,5980,3644283,3809,2932052,9866,477241,5351,180476,7213,38197,2802,16317,2918,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
