GEO_ID,B24090_001E,B24090_001M,B24090_002E,B24090_002M,B24090_003E,B24090_003M,B24090_004E,B24090_004M,B24090_005E,B24090_005M,B24090_006E,B24090_006M,B24090_007E,B24090_007M,B24090_008E,B24090_008M,B24090_009E,B24090_009M,B24090_010E,B24090_010M,B24090_011E,B24090_011M,B24090_012E,B24090_012M,B24090_013E,B24090_013M,B24090_014E,B24090_014M,B24090_015E,B24090_015M,B24090_016E,B24090_016M,B24090_017E,B24090_017M,B24090_018E,B24090_018M,B24090_019E,B24090_019M,B24090_020E,B24090_020M,B24090_021E,B24090_021M,NAME,B24090_001EA,B24090_001MA,B24090_002EA,B24090_002MA,B24090_003MA,B24090_003EA,B24090_004MA,B24090_004EA,B24090_005EA,B24090_005MA,B24090_006EA,B24090_006MA,B24090_007EA,B24090_007MA,B24090_008EA,B24090_008MA,B24090_009EA,B24090_009MA,B24090_010MA,B24090_010EA,B24090_011EA,B24090_011MA,B24090_012EA,B24090_012MA,B24090_013MA,B24090_013EA,B24090_014EA,B24090_014MA,B24090_015MA,B24090_015EA,B24090_016MA,B24090_016EA,B24090_017EA,B24090_017MA,B24090_018EA,B24090_018MA,B24090_019MA,B24090_019EA,B24090_020MA,B24090_020EA,B24090_021MA,B24090_021EA,state
0400000US01,1433940,16795,805052,11471,611944,12137,580582,11514,31362,2593,30392,2513,46269,3256,37838,3207,38731,3304,38861,3214,1017,461,628888,11337,421759,9261,413101,9659,8658,1747,57922,4344,50963,4067,56362,4021,25760,2827,15525,2034,597,384,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,230313,6044,131088,4457,83675,4362,79141,4219,4534,985,10071,1745,9455,1671,10593,1484,10797,1630,6426,1197,71,91,99225,3710,52373,3547,50363,3535,2010,643,14144,1908,10777,1484,10193,1454,7585,1377,3902,932,251,215,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1913642,16973,1096823,11111,843254,11870,790909,12072,52345,3831,45463,3400,71237,4270,38932,3234,41258,3144,55851,3871,828,390,816819,12103,559920,10491,541264,10195,18656,2057,76125,4701,70260,3941,55804,3785,26439,2501,27384,2796,887,483,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,889913,10968,500000,7629,376995,6602,354736,6238,22259,2235,23845,2924,26239,2312,28796,2458,13344,1901,30524,3234,257,144,389913,8153,252317,6626,246034,6577,6283,1142,40130,3334,26460,2393,50063,3316,8936,1727,11584,1873,423,267,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11314749,48588,6668377,34483,5113562,36580,4814980,35796,298582,9144,300500,9482,382787,9610,219750,7957,180992,7328,466183,11659,4603,1024,4646372,28733,3158239,24553,3059853,25018,98386,5342,445347,10046,439141,10087,242140,7235,112574,5865,243314,9937,5617,1151,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1743702,15747,1020786,12179,781757,12223,716781,12820,64976,4350,53118,3671,59840,4154,35014,2694,38211,2764,51353,3943,1493,650,722916,9838,484572,9327,460081,9330,24491,2416,79753,3915,65692,3616,37357,2361,24387,2024,30499,3180,656,316,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1177261,12461,671883,9237,517014,9124,480571,9122,36443,3134,37198,2914,36391,2756,24833,2669,13607,1538,42415,3527,425,344,505378,8762,330913,8036,321854,7987,9059,1536,70210,4025,45986,3246,29744,3004,8389,1366,18972,1879,1164,612,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,297467,6645,160331,4597,120662,4432,112332,4321,8330,1291,11262,1716,5444,1033,12006,1416,5849,1435,4962,1251,146,158,137136,4176,94047,3853,91723,3760,2324,665,16714,2331,3583,843,16952,1914,3270,1026,2570,776,0,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248040,5618,124819,3618,65617,3316,61737,3328,3880,846,19593,1729,6894,1331,2721,961,26392,2494,3549,938,53,85,123221,4331,54381,3599,52603,3678,1778,684,29873,2535,6811,1104,2025,752,27502,2503,2629,772,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5850974,32906,3223416,24655,2537385,24754,2270896,23571,266489,9028,136893,6507,210790,8169,87045,5713,93439,5186,155126,7286,2738,769,2627558,23207,1888331,23070,1801030,22439,87301,4911,231675,8579,239079,8549,119492,5997,60529,4219,86530,5290,1922,682,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
