GEO_ID,B07003_001E,B07003_001M,B07003_002E,B07003_002M,B07003_003E,B07003_003M,B07003_004E,B07003_004M,B07003_005E,B07003_005M,B07003_006E,B07003_006M,B07003_007E,B07003_007M,B07003_008E,B07003_008M,B07003_009E,B07003_009M,B07003_010E,B07003_010M,B07003_011E,B07003_011M,B07003_012E,B07003_012M,B07003_013E,B07003_013M,B07003_014E,B07003_014M,B07003_015E,B07003_015M,B07003_016E,B07003_016M,B07003_017E,B07003_017M,B07003_018E,B07003_018M,NAME,B07003_001MA,B07003_001EA,B07003_002EA,B07003_002MA,B07003_003EA,B07003_003MA,B07003_004EA,B07003_004MA,B07003_005EA,B07003_005MA,B07003_006EA,B07003_006MA,B07003_007MA,B07003_007EA,B07003_008MA,B07003_008EA,B07003_009EA,B07003_009MA,B07003_010EA,B07003_010MA,B07003_011MA,B07003_011EA,B07003_012MA,B07003_012EA,B07003_013EA,B07003_013MA,B07003_014MA,B07003_014EA,B07003_015EA,B07003_015MA,B07003_016EA,B07003_016MA,B07003_017MA,B07003_017EA,B07003_018MA,B07003_018EA,state
0400000US01,4781296,3371,2317408,5421,2463888,5521,4067683,20967,1969256,11933,2098427,14107,437486,16645,210768,10690,226718,9628,157097,8661,78692,4912,78405,5620,104102,7789,51258,4291,52844,5063,14928,3443,7434,1954,7494,1952,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,725193,1551,381825,2112,343368,2344,583799,9191,306031,4973,277768,5455,80919,7810,41825,4086,39094,4502,19034,3150,11038,2059,7996,1399,34360,4808,18183,2601,16177,2673,7081,1794,4748,1355,2333,913,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6543362,4567,3255732,3670,3287630,4169,5321158,29468,2638461,18150,2682697,15543,817002,24944,401468,15100,415534,12850,124345,9072,66771,5103,57574,5282,236146,10894,123142,6169,113004,6770,44711,4328,25890,2717,18821,2727,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2923642,3216,1442488,4747,1481154,4849,2475807,16481,1224743,10411,1251064,10562,264994,12601,123788,6747,141206,7977,102843,7925,53209,4828,49634,4134,70621,8082,35046,4621,35575,4741,9377,2360,5702,1589,3675,1149,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37873189,9076,18838729,7615,19034460,7977,32197933,60116,15959057,34237,16238876,35191,3825262,58143,1916873,30057,1908389,32902,1073069,24084,568320,14732,504749,14518,485477,17797,248818,9428,236659,10375,291448,14033,145661,7938,145787,8323,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5206012,3835,2613609,4735,2592403,4651,4186643,26465,2092296,15138,2094347,16174,523267,23311,266816,12450,256451,12905,255253,11338,129010,6467,126243,7123,206543,11855,106415,6695,100128,6802,34306,4249,19072,2501,15234,2685,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3562959,2829,1734716,2901,1828243,3226,3127421,14790,1518793,8348,1608628,9369,256086,11811,126543,6654,129543,7146,69809,4939,35521,3286,34288,3115,88351,6859,43659,4205,44692,3786,21292,3176,10200,1539,11092,2183,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,914025,1666,441943,1736,472082,1644,791278,8053,382970,4456,408308,5082,72316,6212,33680,3628,38636,3709,9047,1808,5894,1467,3153,958,36790,3896,17005,2300,19785,2662,4594,1249,2394,793,2200,693,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,636535,1515,301645,1103,334890,1290,509958,6417,241651,3595,268307,4640,68917,5785,33895,2928,35022,4050,0,203,0,203,0,203,46571,3601,21052,2268,25519,2366,11089,2078,5047,1379,6042,1214,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19345059,7799,9457149,8968,9887910,8610,16199361,50810,7885137,30185,8314224,31164,1844378,37626,905101,20541,939277,24633,597741,22637,316458,13582,281283,11701,529406,20819,266377,10936,263029,12637,174173,11757,84076,5909,90097,7923,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
