GEO_ID,C08007_001E,C08007_001M,C08007_002E,C08007_002M,C08007_003E,C08007_003M,C08007_004E,C08007_004M,C08007_005E,C08007_005M,C08007_006E,C08007_006M,C08007_007E,C08007_007M,C08007_008E,C08007_008M,C08007_009E,C08007_009M,NAME,C08007_001MA,C08007_001EA,C08007_002MA,C08007_002EA,C08007_003EA,C08007_003MA,C08007_004MA,C08007_004EA,C08007_005MA,C08007_005EA,C08007_006MA,C08007_006EA,C08007_007EA,C08007_007MA,C08007_008EA,C08007_008MA,C08007_009MA,C08007_009EA,state
0400000US30,475287,6316,427386,6783,47901,3162,248406,4488,218413,4702,29993,2287,226881,4061,208973,4500,17908,1865,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,954452,6369,754493,7223,199959,5084,503882,4807,392024,5615,111858,3976,450570,4821,362469,4991,88101,2993,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1246513,11854,1179166,12691,67347,4137,672294,7869,626607,8032,45687,3219,574219,8710,552559,9020,21660,2237,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,677618,7884,440534,8793,237084,6718,355871,5000,218857,6447,137014,4896,321747,5166,221677,4987,100070,4650,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,4166286,20887,2249397,22243,1916889,19143,2197152,11257,1092288,15449,1104864,12528,1969134,15782,1157109,14389,812025,12905,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,865357,9853,733781,9104,131576,6011,461589,6802,382131,7159,79458,4393,403768,6303,351650,6002,52118,3449,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,9024559,30864,5853026,35408,3171533,26730,4674669,21033,2896654,23385,1778015,19739,4349890,19523,2956372,22692,1393518,15561,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,4348669,20936,3119115,22314,1229554,17458,2269708,14117,1573664,14092,696044,12144,2078961,13163,1545451,14058,533510,11371,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,387697,4300,331641,5580,56056,3339,212616,2880,179339,3954,33277,2305,175081,3465,152302,4020,22779,1836,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,5241598,25078,3640745,25174,1600853,15314,2704776,15761,1796863,16053,907913,12412,2536822,15736,1843882,15256,692940,10293,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
