GEO_ID,C24010I_001E,C24010I_001M,C24010I_002E,C24010I_002M,C24010I_003E,C24010I_003M,C24010I_004E,C24010I_004M,C24010I_005E,C24010I_005M,C24010I_006E,C24010I_006M,C24010I_007E,C24010I_007M,C24010I_008E,C24010I_008M,C24010I_009E,C24010I_009M,C24010I_010E,C24010I_010M,C24010I_011E,C24010I_011M,C24010I_012E,C24010I_012M,C24010I_013E,C24010I_013M,NAME,C24010I_001EA,C24010I_001MA,C24010I_002EA,C24010I_002MA,C24010I_003MA,C24010I_003EA,C24010I_004EA,C24010I_004MA,C24010I_005EA,C24010I_005MA,C24010I_006MA,C24010I_006EA,C24010I_007EA,C24010I_007MA,C24010I_008EA,C24010I_008MA,C24010I_009MA,C24010I_009EA,C24010I_010EA,C24010I_010MA,C24010I_011EA,C24010I_011MA,C24010I_012MA,C24010I_012EA,C24010I_013EA,C24010I_013MA,state
0400000US01,74631,3383,50830,2690,7224,1716,12404,2300,3605,979,16937,2604,10660,2065,23801,2496,4386,1207,6615,1565,6937,1345,886,409,4977,1595,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19741,1594,10871,1147,3310,1032,2547,1108,1229,532,1102,563,2683,907,8870,1082,3020,869,2616,741,2929,925,52,90,253,273,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,778738,10538,436918,6037,66429,3951,108154,5043,72395,4794,111479,5465,78461,5279,341820,7818,80615,4377,113713,6073,116185,6075,5375,1694,25932,3195,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,82021,3323,50111,2538,4899,1633,10595,2323,3416,1100,13026,2800,18175,2390,31910,2652,6851,1804,8766,1677,7692,1379,962,694,7639,1946,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6146473,25223,3520652,16105,513155,10473,764413,14498,557869,13568,867566,16063,817649,16155,2625821,18063,607009,10282,813264,14385,873094,13750,83852,4617,248602,7986,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,464117,6828,261814,4756,42226,3551,56240,5028,36567,3587,78613,5516,48168,3829,202303,4672,52041,3778,70843,3779,63136,3843,3488,1097,12795,1743,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,230832,4711,123310,3096,19481,2461,36674,3513,18858,2277,25361,2917,22936,2937,107522,3722,24130,2288,40883,3227,31314,2814,460,432,10735,1931,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32432,2182,19472,1475,2717,911,4785,1474,2983,1108,4161,1193,4826,1176,12960,1617,4155,1224,4219,1450,3311,1044,32,58,1243,645,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,35251,1531,18375,1155,8652,1442,5281,1354,1595,690,1760,969,1087,593,16876,1115,7872,1146,6109,1354,2343,890,138,149,414,349,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2112472,17509,1163624,11285,252645,9475,241551,10011,219150,8241,263790,10649,186488,7957,948848,12736,279827,9390,260033,9211,341671,10163,14291,2485,53026,4710,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,384615,7133,242229,5515,28651,3339,56839,5648,24924,3525,84582,6541,47233,3819,142386,5518,27010,2752,46254,4325,38402,3583,6148,1694,24572,3088,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50745,2800,27430,2051,5276,1037,5686,1061,4890,1040,6373,1363,5205,1376,23315,1613,6589,1297,5859,1075,9467,1393,26,45,1374,744,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,77611,2374,47097,1857,7372,1538,5587,1345,4410,1385,17930,2261,11798,1918,30514,1997,6519,1462,10422,1623,7012,1459,2193,725,4368,1100,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,922387,7995,537284,5073,72729,4448,128578,7062,79442,4403,84310,5378,172225,6442,385103,7215,82186,4287,110809,6274,116653,5343,3253,1123,72202,4241,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,171727,4451,103490,3091,12523,1801,23205,2834,11660,1888,22211,2827,33891,3446,68237,3157,15847,1971,21488,2909,15713,1849,1273,946,13916,2165,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,72092,2863,40268,1996,6201,1243,8350,1670,4149,1282,8483,1407,13085,2003,31824,2342,7315,1432,8016,1257,8163,1565,970,490,7360,1680,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,134596,3444,80240,2513,11142,1585,13351,2079,9757,1659,23281,2154,22709,2073,54356,2383,11550,1738,18524,2168,15470,1667,522,352,8290,1456,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,58181,3604,38505,2733,5839,1404,8042,1470,3098,1052,12103,2537,9423,1814,19676,2344,3752,938,6096,1538,6127,1443,549,394,3152,965,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,101023,3573,66208,2450,13110,2099,10681,2374,4482,1760,28934,3120,9001,1637,34815,2367,9123,1415,11931,1931,10626,1661,1434,734,1701,731,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7365,1123,4172,874,1102,711,734,629,490,359,1097,664,749,542,3193,834,741,373,922,567,1296,539,0,165,234,259,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
