GEO_ID,B16005H_001E,B16005H_001M,B16005H_002E,B16005H_002M,B16005H_003E,B16005H_003M,B16005H_004E,B16005H_004M,B16005H_005E,B16005H_005M,B16005H_006E,B16005H_006M,B16005H_007E,B16005H_007M,B16005H_008E,B16005H_008M,B16005H_009E,B16005H_009M,B16005H_010E,B16005H_010M,B16005H_011E,B16005H_011M,NAME,B16005H_001MA,B16005H_001EA,B16005H_002MA,B16005H_002EA,B16005H_003MA,B16005H_003EA,B16005H_004MA,B16005H_004EA,B16005H_005EA,B16005H_005MA,B16005H_006EA,B16005H_006MA,B16005H_007MA,B16005H_007EA,B16005H_008EA,B16005H_008MA,B16005H_009EA,B16005H_009MA,B16005H_010MA,B16005H_010EA,B16005H_011EA,B16005H_011MA,state
0400000US01,3040006,2845,3009762,4703,2975898,6936,33864,4253,26263,3264,7601,1917,30244,3496,14274,2037,15970,2569,9644,2039,6326,2157,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,431952,267,420824,1467,408949,2251,11875,1816,11316,1801,559,297,11128,1461,5387,875,5741,1209,3720,933,2021,837,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3580009,2309,3422477,8338,3322382,11269,100095,5541,91251,5302,8844,1327,157532,8737,85341,5034,72191,7322,48851,4892,23340,3862,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2058024,1691,2040119,3572,2016052,5418,24067,3969,18929,3398,5138,1289,17905,3170,9649,1989,8256,2281,5601,1765,2655,1351,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14255961,6444,12895858,27711,12264197,33474,631661,17186,570665,16112,60996,4801,1360103,26150,432755,12798,927348,22044,522437,15462,404911,13529,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3456680,3129,3350375,7296,3264987,9774,85388,6021,75717,5688,9671,1623,106305,6234,47112,3146,59193,5423,40323,3670,18870,3012,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2391495,1918,2226458,7924,2132485,9608,93973,4875,82331,4985,11642,1477,165037,7676,48426,3689,116611,7385,62796,4954,53815,3927,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,564180,1118,548975,2149,538435,3147,10540,1835,8873,1583,1667,815,15205,2050,6490,1304,8715,1496,6124,1230,2591,1094,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,219466,448,197447,3035,184926,3724,12521,1702,11894,1623,627,335,22019,2986,9260,2034,12759,2093,9952,1874,2807,1037,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10541864,5323,9904687,17434,9571720,21617,332967,11310,292487,10801,40480,3742,637177,17355,276265,10620,360912,13505,224758,9573,136154,8766,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5171389,4811,5023259,9353,4929816,11525,93443,6527,80493,6367,12950,2080,148130,8312,56637,4761,91493,7566,57087,5463,34406,5072,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,308838,541,290391,2332,277745,3677,12646,2323,9949,1871,2697,1509,18447,2338,9619,1571,8828,1772,7590,1697,1238,526,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1257390,671,1236523,2703,1209807,3869,26716,3096,23374,2875,3342,1020,20867,2662,10244,1628,10623,2191,6468,1445,4155,1501,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7667325,3208,7186457,15510,6925157,19081,261300,10436,228297,9760,33003,3211,480868,15435,96897,5501,383971,13642,185146,9103,198825,8335,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4996623,2628,4935466,6582,4831166,9601,104300,6653,81134,5747,23166,2886,61157,5785,24371,2497,36786,5156,22262,3331,14524,2929,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2551649,2470,2520514,5081,2481834,6966,38680,3830,31423,3269,7257,1604,31135,4403,11302,1743,19833,3664,11666,2291,8167,2271,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2099110,748,2072169,3274,2039896,4405,32273,3119,27600,3128,4673,961,26941,3345,11585,1799,15356,2736,9775,2003,5581,1396,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3551378,1575,3517427,4012,3473436,4855,43991,3538,34245,3224,9746,1717,33951,3454,12639,1671,21312,3310,11829,1984,9483,2296,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2599282,1191,2567098,4697,2452087,7549,115011,5767,98565,5442,16446,2056,32184,4445,11757,1666,20427,3960,14712,3580,5715,1779,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1190444,1060,1166205,2299,1120784,3879,45421,3492,38016,3472,7405,1232,24239,2380,14205,1583,10034,2082,6272,1262,3762,1481,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2999086,2416,2868862,8899,2787720,11097,81142,5836,70992,5497,10150,2086,130224,8361,42162,3864,88062,7127,57058,4655,31004,4081,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4773453,4410,4408674,13004,4226689,16568,181985,7343,162193,6744,19792,2913,364779,11733,109128,5592,255651,9695,132270,6575,123381,6485,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7141089,2014,6858187,10422,6672664,14739,185523,9131,153300,8291,32223,2889,282902,10732,89147,4928,193755,9617,99202,6326,94553,6534,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4196006,2040,4124974,6419,4048282,8187,76692,4442,65534,3946,11158,1430,71032,5871,28478,2451,42554,4908,25657,3312,16897,2593,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1621380,1612,1609717,2948,1592906,4229,16811,2777,12713,2220,4098,1293,11663,2339,6273,1324,5390,1762,3755,1445,1635,921,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4588166,1677,4520606,5767,4448026,8061,72580,4768,58957,4312,13623,2624,67560,5316,23753,2577,43807,4498,25511,2909,18296,2994,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,836063,388,824699,1904,810306,2747,14393,2064,12901,2005,1492,525,11364,1865,7773,1383,3591,1314,2199,830,1392,677,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1422759,977,1407202,2706,1384661,4072,22541,2785,18338,2259,4203,1074,15557,2270,7769,1413,7788,1860,4353,969,3435,1352,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1388442,1864,1316082,5800,1275585,7381,40497,4563,36649,4470,3848,802,72360,5447,26636,2600,45724,4694,31360,4076,14364,2547,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1154243,1391,1120010,4223,1086157,5751,33853,3538,29824,3257,4029,920,34233,3758,15391,1665,18842,3088,11937,2030,6905,1742,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,4865196,4394,4430551,15299,4212012,18333,218539,8370,198696,8238,19843,2260,434645,14956,111443,6260,323202,14408,170751,9215,152451,8848,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,785215,1106,760979,3182,723604,4354,37375,3169,32353,2750,5022,1273,24236,2977,10709,1810,13527,2365,9314,1956,4213,1221,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,10645711,6952,9649308,18680,9066831,24320,582477,15065,476492,14039,105985,6138,996403,18039,266476,10523,729927,17119,366752,9952,363175,12493,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6015798,3685,5897908,7537,5808758,9202,89150,5682,75411,5598,13739,1889,117890,6441,58631,4244,59259,5356,39943,3512,19316,3313,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,593831,449,586254,1539,572109,2525,14145,1871,11745,1772,2400,807,7577,1469,4001,1028,3576,1190,1808,759,1768,832,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,8805528,3237,8633698,9579,8443648,15006,190050,9682,148102,8204,41948,4776,171830,8566,61178,3616,110652,8097,60345,5608,50307,4909,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2456732,1088,2432678,2829,2398442,4372,34236,3219,30015,2653,4221,1138,24054,2594,11970,1437,12084,2119,9323,1922,2761,791,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2894030,1955,2798005,5744,2730833,8270,67172,4799,57820,4399,9352,1740,96025,5617,43063,3524,52962,5393,33069,3550,19893,2759,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,9518979,3746,9290381,10995,9042787,16047,247594,10198,195538,8315,52056,4359,228598,9861,80232,5313,148366,8219,77692,5105,70674,5259,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,753894,2184,718069,4191,688077,5459,29992,2929,26875,2670,3117,783,35825,3497,10304,1652,25521,2934,13752,2128,11769,2087,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2892863,1360,2832115,5724,2789475,8420,42640,4445,37088,4081,5552,1265,60748,5491,28834,2813,31914,4395,18271,2634,13643,3793,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,661570,1031,655315,1936,643185,2598,12130,1763,10163,1652,1967,612,6255,1685,2831,1000,3424,1311,2431,966,993,804,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4608692,1972,4540622,6348,4488407,8973,52215,4316,44858,4200,7357,1404,68070,6380,26540,2962,41530,5683,23981,3788,17549,3069,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,11018988,4022,10667211,13747,10326892,20208,340319,11711,297059,11764,43260,4106,351777,12832,150300,7191,201477,9534,132511,7863,68966,4945,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2120762,2521,2072815,4819,2014916,7044,57899,4322,50822,3974,7077,1331,47947,3914,25064,2674,22883,3448,15294,2403,7589,2044,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,561545,282,546710,1941,534426,2307,12284,1293,11203,1309,1081,359,14835,1876,8245,1345,6590,1220,4512,979,2078,609,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,4976242,2245,4796089,8784,4692434,11072,103655,5525,88468,5257,15187,2114,180153,8064,66588,4160,113565,7480,77698,5735,35867,3922,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,4692710,2017,4458190,10712,4334548,15135,123642,8248,105614,7728,18028,2810,234520,10488,94384,5370,140136,9862,84718,6434,55418,5489,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
