GEO_ID,C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,NAME,C01001D_001EA,C01001D_001MA,C01001D_002MA,C01001D_002EA,C01001D_003MA,C01001D_003EA,C01001D_004EA,C01001D_004MA,C01001D_005EA,C01001D_005MA,C01001D_006MA,C01001D_006EA,C01001D_007MA,C01001D_007EA,C01001D_008MA,C01001D_008EA,C01001D_009MA,C01001D_009EA,state
0400000US01,58624,3007,25870,1804,5963,1274,18382,1052,1525,559,32754,2113,8511,1365,20197,1476,4046,870,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41775,2518,20307,1573,5844,873,12855,1134,1608,483,21468,1608,5025,945,14566,1107,1877,374,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,191718,5359,90196,2929,20097,1829,62742,1966,7357,606,101522,3431,19329,2006,70578,1972,11615,816,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,39210,2372,17690,1591,4472,1004,12333,1053,885,414,21520,1869,5840,1021,14826,1164,854,369,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5210236,17797,2459476,10086,514421,5536,1654929,7068,290126,1797,2750760,10911,489252,6694,1871025,7391,390483,2090,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,150852,3675,68921,2206,16878,1637,46952,1817,5091,614,81931,2556,18196,1490,55342,1873,8393,675,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147570,3638,70789,2167,16813,1171,49549,1393,4427,354,76781,1959,18174,1278,52743,1435,5864,566,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33639,1165,15731,944,3258,632,11028,652,1445,368,17908,1036,3921,511,12535,779,1452,165,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22963,1409,9607,858,1176,381,7697,675,734,342,13356,1023,1151,378,11277,808,928,130,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,509588,6878,235598,4720,55094,2992,157431,3010,23073,1330,273990,5012,52312,2707,189728,3521,31950,1526,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
