GEO_ID,B10058_001E,B10058_001M,B10058_002E,B10058_002M,B10058_003E,B10058_003M,B10058_004E,B10058_004M,B10058_005E,B10058_005M,B10058_006E,B10058_006M,B10058_007E,B10058_007M,B10058_008E,B10058_008M,B10058_009E,B10058_009M,B10058_010E,B10058_010M,B10058_011E,B10058_011M,NAME,B10058_001MA,B10058_001EA,B10058_002EA,B10058_002MA,B10058_003MA,B10058_003EA,B10058_004MA,B10058_004EA,B10058_005MA,B10058_005EA,B10058_006MA,B10058_006EA,B10058_007EA,B10058_007MA,B10058_008EA,B10058_008MA,B10058_009MA,B10058_009EA,B10058_010MA,B10058_010EA,B10058_011MA,B10058_011EA,state
0400000US01,122379,6359,58507,4098,33252,3328,27401,2988,5851,1337,25255,3060,63872,4459,29604,2766,13296,1911,16308,1944,34268,3556,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15575,2047,9323,1630,5766,1266,4692,1179,1074,376,3557,862,6252,853,2600,601,1083,350,1517,454,3652,679,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,159959,9264,79646,6785,36596,3596,28473,3134,8123,1346,43050,4726,80313,5001,22767,2770,8971,1582,13796,2039,57546,4132,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66665,4100,32301,2757,20374,2227,15632,1936,4742,949,11927,2009,34364,3073,18000,2046,7196,1314,10804,1745,16364,2126,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1125828,19018,511569,14944,166674,6935,129127,6099,37547,2900,344895,12852,614259,13790,129163,6100,50790,3704,78373,4630,485096,12308,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100500,6067,53291,4667,23751,3375,18697,3030,5054,1055,29540,3125,47209,3774,14721,2236,6478,1171,8243,1624,32488,3339,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65480,4643,33678,3330,12486,2558,9599,2531,2887,807,21192,2524,31802,3499,6679,1315,2287,691,4392,1060,25123,3246,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23749,2994,12990,2381,7835,1733,6352,1586,1483,706,5155,1375,10759,1871,2595,658,1215,491,1380,462,8164,1719,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10666,1540,5058,995,2136,669,1585,635,551,299,2922,877,5608,1221,2108,708,975,468,1133,485,3500,969,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,468303,13938,213594,9563,88126,6078,65162,5475,22964,2533,125468,7793,254709,10360,66179,4741,22823,2892,43356,4131,188530,10125,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
