GEO_ID,C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,NAME,C15002D_001EA,C15002D_001MA,C15002D_002EA,C15002D_002MA,C15002D_003EA,C15002D_003MA,C15002D_004EA,C15002D_004MA,C15002D_005EA,C15002D_005MA,C15002D_006MA,C15002D_006EA,C15002D_007MA,C15002D_007EA,C15002D_008EA,C15002D_008MA,C15002D_009MA,C15002D_009EA,C15002D_010MA,C15002D_010EA,C15002D_011EA,C15002D_011MA,state
0400000US01,37613,1906,17128,1091,1136,537,2676,884,2815,643,10501,1038,20485,1417,3409,987,4749,1146,3725,813,8602,1346,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26427,1266,11808,783,2551,826,3422,891,3304,725,2531,640,14619,913,3628,816,3028,640,4260,953,3703,925,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,133664,2693,59621,1823,5735,1305,5823,1282,14884,1873,33179,2415,74043,1840,11590,1744,12289,1884,17096,1807,33068,2246,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24579,1830,10694,1164,1177,463,2224,782,1432,634,5861,867,13885,1345,2605,1023,2714,748,2966,1008,5600,1029,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3721134,9735,1699129,5841,194672,7811,240046,8019,403854,9199,860557,9471,2022005,6859,304891,8093,306140,8589,451587,8506,959387,9988,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100834,2956,45215,1764,5424,1325,5116,1159,10783,1429,23892,1913,55619,2035,8503,1261,9098,1353,11845,1480,26173,1960,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,98839,2347,47039,1337,4184,1117,4372,1214,5884,1235,32599,2063,51800,1323,5408,1025,6224,1051,7585,1329,32583,1754,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22999,765,10895,667,921,543,597,376,733,392,8644,1004,12104,628,1576,617,1164,497,1447,578,7917,892,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16312,1168,5999,850,620,350,974,603,255,254,4150,878,10313,733,920,536,1136,406,556,420,7701,845,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,354859,4145,155443,2742,15777,2423,24914,2606,32102,3172,82650,4064,199416,3412,30629,2603,35951,3256,43577,3655,89259,4237,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,231400,3971,107428,2407,11003,1598,18769,2594,16775,2297,60881,3121,123972,2691,21155,2114,24388,2612,21329,2681,57100,3131,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,415937,6524,189823,3718,22444,2047,49443,2972,59763,3336,58173,2994,226114,3826,29712,2670,58210,3380,61974,3688,76218,3600,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,16608,1229,6842,812,911,411,1134,619,1748,576,3049,590,9766,1139,1968,522,2482,896,2542,829,2774,668,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,438535,2903,206601,2013,14706,2209,22093,2807,36367,2500,133435,4159,231934,2239,23846,2426,27094,2550,39317,2985,141677,3544,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,70435,2829,32151,1907,3222,979,4997,1129,3428,1037,20504,2086,38284,1768,4649,1130,6002,1355,6823,1218,20810,1775,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39502,1704,18059,1004,3179,664,1447,498,3228,957,10205,1134,21443,1295,3051,765,3761,986,4253,960,10378,1151,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,44648,1678,20855,1072,3333,834,3017,909,3088,792,11417,1172,23793,1170,5550,850,3578,858,4197,765,10468,1285,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,33073,1838,14701,942,1420,547,1416,622,1344,459,10521,1054,18372,1347,2954,716,3096,851,2986,1047,9336,1401,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,51282,2014,24125,1395,6227,1317,3362,895,3843,935,10693,1401,27157,1463,6851,1274,4303,976,5268,1058,10735,1384,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8829,1142,3364,763,447,266,570,400,514,345,1833,620,5465,784,1313,454,708,402,932,463,2512,741,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
