GEO_ID,B12002H_001E,B12002H_001M,B12002H_002E,B12002H_002M,B12002H_003E,B12002H_003M,B12002H_004E,B12002H_004M,B12002H_005E,B12002H_005M,B12002H_006E,B12002H_006M,B12002H_007E,B12002H_007M,B12002H_008E,B12002H_008M,B12002H_009E,B12002H_009M,B12002H_010E,B12002H_010M,B12002H_011E,B12002H_011M,B12002H_012E,B12002H_012M,B12002H_013E,B12002H_013M,NAME,B12002H_001EA,B12002H_001MA,B12002H_002EA,B12002H_002MA,B12002H_003EA,B12002H_003MA,B12002H_004EA,B12002H_004MA,B12002H_005MA,B12002H_005EA,B12002H_006EA,B12002H_006MA,B12002H_007EA,B12002H_007MA,B12002H_008EA,B12002H_008MA,B12002H_009MA,B12002H_009EA,B12002H_010EA,B12002H_010MA,B12002H_011MA,B12002H_011EA,B12002H_012EA,B12002H_012MA,B12002H_013EA,B12002H_013MA,state
0400000US01,2670161,2161,1293848,1568,347889,7272,724337,10107,19026,2528,44682,3384,157914,6465,1376313,1595,268443,6057,726225,11455,29956,2688,167147,4793,184542,7958,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,379468,280,204018,791,67720,3253,108048,3790,2463,790,4287,1087,21500,2081,175450,681,44178,2170,95190,3083,2964,909,10544,1316,22574,2281,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3206363,1878,1574663,1245,466999,7799,841083,9649,20565,2655,48788,3391,197228,7564,1631700,1086,367575,6544,815002,10429,21364,2561,166039,5785,261720,7326,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1801319,1363,875531,1673,231732,5814,490675,8155,14692,2314,26037,2378,112395,5060,925788,1507,183893,5577,481809,8010,18958,2735,106026,3988,135102,6251,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12904837,5548,6408448,3389,2167442,17705,3271410,20420,102566,5082,182927,6752,684103,14348,6496389,3244,1693222,14726,3080549,20335,122797,6375,647735,10229,952086,13049,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3056885,2495,1519144,2042,486239,8137,811237,11151,16224,2100,36503,2541,168941,6402,1537741,1785,377244,7289,801744,10376,21026,2804,113993,4246,223734,7765,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2127795,1551,1026042,808,332299,5569,556127,7547,5884,1067,31491,2233,100241,4716,1101753,954,285136,5078,549789,8394,10523,1713,115787,3259,140518,5656,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,505854,1085,242435,980,75621,2412,130533,3664,3429,817,6924,1014,25928,2614,263419,289,66199,2557,128909,4092,3271,798,27970,1772,37070,2509,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,209347,441,103766,341,58086,1932,36947,2359,1521,800,616,320,6596,1441,105581,170,60999,1991,32069,2154,1025,452,2954,845,8534,1151,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9547941,4241,4648867,2866,1352328,12032,2444632,18156,69193,5599,187763,7764,594951,13584,4899074,2824,1055675,14296,2372823,20777,95163,5977,631164,10389,744249,16082,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4518236,4029,2206209,2742,642067,9328,1230465,11866,31743,3537,56544,3701,245390,8604,2312027,2352,515274,8238,1212900,13457,41766,3256,230188,6529,311899,9285,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,286246,533,158986,589,51755,2767,85835,2860,1598,636,3568,835,16230,1723,127260,340,31912,2270,65464,2523,1594,592,8919,1317,19371,1862,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1070927,499,529775,809,147271,4842,301957,6005,4304,912,14909,2034,61334,4243,541152,790,114082,3781,298023,6259,7032,1957,47352,3054,74663,4639,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6781437,2930,3297987,2129,1067242,10896,1801859,11470,31402,3219,91791,4256,305693,7865,3483450,1666,897879,9447,1773534,15446,42478,3398,367223,7369,402336,9720,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4346338,1731,2114530,1664,635974,8643,1139228,11504,23326,2573,65783,3818,250219,6636,2231808,1527,541808,8308,1128824,12688,28908,2657,216963,4148,315305,9100,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2225792,1726,1086987,1418,331038,4101,601944,6420,11670,1571,29871,2134,112464,3988,1138805,1388,271906,5084,602698,7779,15649,1797,120241,3656,128311,4651,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1825495,803,894567,851,255599,4660,506416,6150,9214,1488,29017,2432,94321,3968,930928,777,207294,4679,496895,6715,11090,1681,94176,3234,121473,4956,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3094199,1517,1502715,1865,434306,6891,814606,8303,26791,2808,45227,3018,181785,6456,1591484,1809,347797,7100,809202,9797,38899,2768,165839,4833,229747,7719,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2272422,997,1110720,1178,337409,6682,591707,9737,17635,2235,35709,2689,128260,6587,1161702,1120,269548,7095,583009,11239,25770,2831,126180,4214,157195,6740,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1058512,590,512752,164,157624,4319,267742,5491,4220,1126,15417,1572,67749,3299,545760,444,134038,3471,266255,5875,5646,1143,51395,2698,88426,4288,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2661514,1888,1292080,1512,403713,6203,716516,8313,21009,2159,36793,2468,114049,4892,1369434,1199,349642,6194,696074,8962,27589,2748,140655,4089,155474,5969,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4260808,3583,2041143,1815,738414,10839,1050740,12206,25761,2546,58877,3412,167351,6216,2219665,2194,674344,8752,1044557,12331,35984,3117,215595,5319,249185,7347,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6277899,1704,3071417,1125,976625,9887,1635528,13662,28761,2368,89683,3491,340820,8785,3206482,1095,807788,8250,1626517,13900,41895,3054,320197,5392,410085,9744,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3681216,1623,1809055,909,578386,7572,1002864,10055,13935,1927,44994,2788,168876,5302,1872161,969,478738,6582,997495,10169,18467,2361,163715,4110,213746,5553,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1415210,1425,689930,1319,189476,4687,388300,6987,11013,1718,21063,2127,80078,4869,725280,1639,144887,4792,382755,6928,17110,2550,83728,3379,96800,4815,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4007483,1335,1952277,1526,579699,8369,1062552,10488,26844,2638,58794,3331,224388,7020,2055206,1498,481350,7612,1063910,11051,33392,2721,209704,5433,266850,7587,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
