GEO_ID,C18108_001E,C18108_001M,C18108_002E,C18108_002M,C18108_003E,C18108_003M,C18108_004E,C18108_004M,C18108_005E,C18108_005M,C18108_006E,C18108_006M,C18108_007E,C18108_007M,C18108_008E,C18108_008M,C18108_009E,C18108_009M,C18108_010E,C18108_010M,C18108_011E,C18108_011M,C18108_012E,C18108_012M,C18108_013E,C18108_013M,NAME,C18108_001MA,C18108_001EA,C18108_002EA,C18108_002MA,C18108_003MA,C18108_003EA,C18108_004MA,C18108_004EA,C18108_005EA,C18108_005MA,C18108_006MA,C18108_006EA,C18108_007EA,C18108_007MA,C18108_008EA,C18108_008MA,C18108_009MA,C18108_009EA,C18108_010EA,C18108_010MA,C18108_011EA,C18108_011MA,C18108_012EA,C18108_012MA,C18108_013EA,C18108_013MA,state
0400000US01,4755381,1814,1107844,2800,36553,3144,11570,2022,1059721,4741,2945466,4349,221384,7127,197898,8006,2526184,10813,702071,2771,129536,5204,160888,5339,411647,5853,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,712248,1963,187885,833,5611,1339,1374,506,180900,1645,459776,2193,26605,2444,20029,2645,413142,4106,64587,1146,12310,1399,13326,1471,38951,1787,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6521226,1734,1613505,1027,38107,3089,15015,2159,1560383,3449,3900900,2563,219704,8950,180983,8285,3500213,12003,1006821,1666,166011,5554,181908,6296,658902,8180,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2907014,1233,709125,2381,32589,3363,8767,1380,667769,4054,1759900,3170,138003,5156,131013,6689,1490884,9053,437989,2282,81465,3736,104165,4539,252359,5165,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37831553,5167,9157955,2369,216044,8102,82956,5488,8858955,10424,23976518,6508,1083925,19155,902851,17248,21989742,27455,4697080,3683,716038,12688,1018068,14362,2962974,16729,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5173272,2685,1239191,3147,30317,2682,10364,1817,1198510,4722,3304940,4476,176841,7300,126780,5944,3001319,9976,629141,2142,106449,4720,109486,4670,413206,5861,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541409,1156,784159,911,21442,2917,7932,1319,754785,2981,2235695,1709,104133,5732,77287,4923,2054275,9096,521555,1361,77875,3346,89575,3765,354105,4387,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,911502,1114,203339,387,6187,1359,3152,963,194000,1773,565138,1310,30508,2690,28985,2943,505645,4266,143025,657,20658,1882,25206,1598,97161,2585,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,635833,581,111287,241,3531,892,1601,680,106155,1162,453153,857,21732,2349,18093,2301,413328,3541,71393,513,9727,1326,14146,1593,47520,1637,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19245127,3839,4019835,2322,125247,7608,42263,3607,3852325,8695,11646895,5992,648643,15423,547832,15562,10450420,22472,3578397,4016,576822,12381,643103,11834,2358472,14733,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
