GEO_ID,B12002F_001E,B12002F_001M,B12002F_002E,B12002F_002M,B12002F_003E,B12002F_003M,B12002F_004E,B12002F_004M,B12002F_005E,B12002F_005M,B12002F_006E,B12002F_006M,B12002F_007E,B12002F_007M,B12002F_008E,B12002F_008M,B12002F_009E,B12002F_009M,B12002F_010E,B12002F_010M,B12002F_011E,B12002F_011M,B12002F_012E,B12002F_012M,B12002F_013E,B12002F_013M,NAME,B12002F_001MA,B12002F_001EA,B12002F_002MA,B12002F_002EA,B12002F_003MA,B12002F_003EA,B12002F_004MA,B12002F_004EA,B12002F_005EA,B12002F_005MA,B12002F_006MA,B12002F_006EA,B12002F_007MA,B12002F_007EA,B12002F_008MA,B12002F_008EA,B12002F_009MA,B12002F_009EA,B12002F_010EA,B12002F_010MA,B12002F_011EA,B12002F_011MA,B12002F_012EA,B12002F_012MA,B12002F_013MA,B12002F_013EA,state
0400000US01,37556,4421,20516,2954,10093,1855,8169,1691,1268,545,315,247,671,556,17040,2298,6803,1690,8077,1669,673,432,927,632,560,413,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7200,1357,4486,1012,2427,646,1686,680,0,147,0,147,373,219,2714,788,708,346,1358,566,66,101,173,231,409,295,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,306434,14082,154516,8414,74613,5395,61636,3866,3708,1225,2321,831,12238,1916,151918,8148,63952,5297,59117,3739,6729,1351,5793,1185,16327,2364,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,45194,4149,24628,2656,9797,2070,11506,2067,367,276,359,416,2599,1381,20566,2289,7804,1476,10306,1700,838,516,886,639,732,483,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3705696,46059,1889476,27332,917985,19138,794770,15667,50620,3633,21965,2259,104136,5853,1816220,23164,776125,16285,742669,13030,76945,3834,82000,5326,138481,6287,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,180821,9918,91633,5975,37846,4249,40731,3166,2606,1089,1032,636,9418,1607,89188,5561,30802,3187,40687,3440,3129,1157,4124,1142,10446,1765,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,140451,8736,74820,5477,41834,4539,25261,2773,2716,983,838,455,4171,1345,65631,4785,29746,2914,23002,2488,2512,1013,3295,1012,7076,1678,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17866,3283,9932,1920,4919,1443,3902,924,249,221,98,157,764,388,7934,1925,3376,1144,3069,979,343,291,26,41,1120,626,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17051,3299,8826,2053,4371,1244,3502,1146,7,17,0,203,946,711,8225,1755,4533,1299,2743,946,161,255,205,249,583,437,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,378470,16906,189800,9420,83751,7227,81652,5191,4708,1934,2516,965,17173,2622,188670,10758,63429,6425,82266,5668,8582,2056,9732,2098,24661,3416,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,187836,12561,104119,8021,50179,4835,42951,4269,3150,1201,1183,879,6656,3333,83717,6309,33732,4057,40091,4017,2006,769,1417,721,6471,1680,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,12531,2379,6417,1463,1867,906,3539,874,0,185,235,275,776,422,6114,1288,2141,908,3344,864,98,157,288,256,243,174,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29953,4033,16626,2314,6512,1384,8278,1738,93,114,262,289,1481,648,13327,2165,3583,1009,8094,1458,480,379,410,259,760,445,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,519716,15580,274051,9970,124439,7142,124340,6128,7177,1478,2726,757,15369,2301,245665,7476,93065,4501,114308,5894,12042,2421,9276,1462,16974,2385,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
