GEO_ID,C15002B_001E,C15002B_001M,C15002B_002E,C15002B_002M,C15002B_003E,C15002B_003M,C15002B_004E,C15002B_005E,C15002B_004M,C15002B_005M,C15002B_006E,C15002B_006M,C15002B_007E,C15002B_007M,C15002B_008E,C15002B_008M,C15002B_009E,C15002B_009M,C15002B_010E,C15002B_010M,C15002B_011E,C15002B_011M,NAME,C15002B_001MA,C15002B_001EA,C15002B_002MA,C15002B_002EA,C15002B_003MA,C15002B_003EA,C15002B_004EA,C15002B_004MA,C15002B_005MA,C15002B_005EA,C15002B_006MA,C15002B_006EA,C15002B_007EA,C15002B_007MA,C15002B_008MA,C15002B_008EA,C15002B_009MA,C15002B_009EA,C15002B_010EA,C15002B_010MA,C15002B_011MA,C15002B_011EA,state
0400000US01,788353,4308,349876,3149,76611,3477,135530,92441,5317,4678,45294,3407,438477,2544,76243,4380,127871,5233,149933,5950,84430,5242,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14008,1534,8918,1262,1704,756,1986,4063,785,1207,1165,577,5090,773,574,577,1368,884,1801,665,1347,447,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,166546,2474,87736,1847,11949,1858,25162,33840,2711,2768,16785,2032,78810,1494,10005,1520,19993,2398,30146,2403,18666,2156,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,276858,2911,127968,2627,25002,2316,55791,32187,3682,3388,14988,2658,148890,2012,26734,2430,51146,3620,49672,3113,21338,2507,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1472178,6816,711061,4675,91529,5321,187039,288334,6907,7260,144159,6605,761117,5178,87372,4184,164239,6144,329200,7493,180306,6302,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,132359,2819,72400,2405,9382,1687,22025,25942,2210,2497,15051,1845,59959,1846,6076,1294,13957,2262,25295,2441,14631,2089,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,229629,3617,105364,2804,18277,2559,36874,32428,3085,2533,17785,2149,124265,1927,17463,2156,37609,3257,42808,3003,26385,2318,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,123883,1714,55204,1094,8258,1329,19458,17291,2224,2303,10197,1438,68679,1030,8976,1460,20016,2443,24071,2857,15616,2430,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,210445,2150,91807,1134,15944,1638,33569,21660,2519,1691,20634,2430,118638,1267,17869,2210,38873,2558,32397,2418,29499,2971,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1898403,9042,878197,5577,178891,7872,318218,254237,10089,9429,126851,5926,1020206,5707,179354,6736,309436,8477,328737,8059,202679,8262,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1883645,7799,843273,5437,146376,7157,293528,246878,8413,7455,156491,6191,1040372,5484,148213,5563,284639,8745,364951,10164,242569,8655,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,18032,1447,11963,1108,173,163,2348,6818,756,1076,2624,698,6069,756,546,353,780,411,3236,785,1507,511,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4364,1209,3304,1186,754,606,533,1457,297,922,560,480,1060,519,86,99,202,207,297,206,475,360,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1135136,5451,505574,3982,88539,4194,168646,168303,5714,5736,80086,4168,629562,3426,82941,3828,164250,5923,240415,6411,141956,5303,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,357596,3648,164257,2429,27552,2597,56962,57823,3566,3308,21920,2568,193339,2565,24493,2603,58446,3323,77211,4245,33189,2701,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,50051,2317,24416,1584,3989,855,9221,7472,1455,1176,3734,1085,25635,1476,4655,1060,6263,1345,10906,1516,3811,1459,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,99714,2697,48338,2294,5783,1113,15690,19119,1644,2154,7746,1318,51376,1683,7797,1265,12192,1465,20882,1949,10505,1264,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,213859,3850,100711,2905,17318,2191,38745,30455,2843,2921,14193,1957,113148,2732,16475,1835,31163,2798,46466,3143,19044,2014,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,890215,4912,405547,3462,110326,4641,155189,98398,5596,4421,41634,3194,484668,3225,97183,4712,156718,6554,145701,5173,85066,4567,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6716,863,4366,809,790,473,1204,1305,596,531,1067,658,2350,579,755,235,698,423,351,260,546,400,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1130945,4820,503412,2754,65892,3816,170455,150772,6040,6094,116293,5516,627533,3190,66773,4511,171147,6862,209119,7635,180494,6535,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,286715,5151,133371,3114,24415,2625,42252,35333,3159,3465,31371,2897,153344,3326,28353,2249,37200,2880,47881,3104,39910,2839,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,843400,3978,382427,2709,68121,4017,134037,128629,5327,4239,51640,2961,460973,2566,66916,3665,122076,4883,188219,4703,83762,4174,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,155647,3223,77477,2262,11760,1924,21814,27587,1836,2502,16316,2302,78170,1946,17010,2004,18026,2035,28738,2374,14396,2049,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
