GEO_ID,B06004F_001E,B06004F_001M,B06004F_002E,B06004F_002M,B06004F_003E,B06004F_003M,B06004F_004E,B06004F_004M,B06004F_005E,B06004F_005M,NAME,B06004F_001MA,B06004F_001EA,B06004F_002EA,B06004F_002MA,B06004F_003EA,B06004F_003MA,B06004F_004EA,B06004F_004MA,B06004F_005EA,B06004F_005MA,state
0400000US01,54784,6398,17622,2984,9279,1990,1883,1105,26000,4093,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9508,2162,2658,1022,3512,1218,360,341,2978,780,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,410756,18564,199133,11278,70533,6227,4497,1236,136593,10116,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66953,6137,18950,2985,13921,2848,885,562,33197,4145,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4961376,59949,2672220,38249,159220,8443,50343,4703,2079593,36488,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,251148,13750,129270,9576,48687,4484,3450,1218,69741,5596,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,185341,11698,59086,5735,20396,3108,32476,3845,73383,7859,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23029,4146,5927,1875,4924,1838,2908,917,9270,2402,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21681,4483,4552,1724,2768,1469,1217,725,13144,3177,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,486005,23054,119790,9562,95635,8968,58788,6708,211792,13958,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,268958,18378,81372,8690,51006,6531,7582,1815,128998,10718,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14008,2791,3466,1210,5295,1281,1013,612,4234,1189,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,42199,6180,15924,3324,9568,2710,382,283,16325,3142,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,732177,21563,353340,13442,40982,3788,23277,3303,314578,13704,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,161230,9713,60820,5819,32016,3830,4882,1590,63512,5980,Indiana,null,null,null,null,null,null,null,null,null,null,18
