GEO_ID,C24010G_001E,C24010G_001M,C24010G_002E,C24010G_002M,C24010G_003E,C24010G_003M,C24010G_004E,C24010G_004M,C24010G_005E,C24010G_005M,C24010G_006E,C24010G_006M,C24010G_007E,C24010G_007M,C24010G_008E,C24010G_008M,C24010G_009E,C24010G_009M,C24010G_010E,C24010G_010M,C24010G_011E,C24010G_011M,C24010G_012E,C24010G_012M,C24010G_013E,C24010G_013M,NAME,C24010G_001EA,C24010G_001MA,C24010G_002EA,C24010G_002MA,C24010G_003EA,C24010G_003MA,C24010G_004EA,C24010G_004MA,C24010G_005MA,C24010G_005EA,C24010G_006EA,C24010G_006MA,C24010G_007EA,C24010G_007MA,C24010G_008MA,C24010G_008EA,C24010G_009MA,C24010G_009EA,C24010G_010MA,C24010G_010EA,C24010G_011MA,C24010G_011EA,C24010G_012EA,C24010G_012MA,C24010G_013MA,C24010G_013EA,state
0400000US01,20319,2504,11256,1706,3354,1155,1081,410,2417,767,2401,908,2003,693,9063,1653,3319,1021,1660,449,3373,1007,31,53,680,396,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21092,2658,9832,1717,1785,610,2053,808,2224,956,1567,543,2203,806,11260,1696,3575,813,2404,777,4854,1354,48,61,379,266,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,62652,5264,31675,3426,10336,1613,7109,1531,6896,1459,3413,946,3921,1084,30977,3149,12516,1900,7167,1654,10183,1638,302,252,809,455,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17310,1946,9330,1452,2947,945,1271,564,1660,587,1424,537,2028,731,7980,1329,2702,889,2550,1082,2559,723,59,103,110,112,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,581133,13379,304890,8607,109168,5252,54477,3927,61452,4229,35246,2556,44547,3794,276243,8517,106920,5109,63198,4191,91915,4584,3232,1168,10978,1636,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,67329,4462,34239,3046,10077,1434,5928,1316,6932,1490,5628,1219,5674,1507,33090,2890,12739,1715,8603,1407,10337,1646,487,341,924,427,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,32408,3637,15972,2637,4792,1061,3047,1041,3869,1313,2347,974,1917,748,16436,1961,4662,1025,5812,1445,5361,1183,0,201,601,377,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6953,1827,3454,1293,755,368,1060,724,843,519,59,93,737,471,3499,953,1023,517,1345,635,780,396,0,189,351,300,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9841,1865,4430,1188,3100,1044,440,257,484,340,98,162,308,341,5411,1195,4254,1112,487,293,670,391,0,203,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,156115,8663,77791,5746,20686,2827,17136,2966,16591,2501,12777,2553,10601,2106,78324,5401,25606,2714,19291,2835,31222,3726,344,242,1861,677,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,58452,4350,28775,2930,7986,1547,5790,1171,6182,1568,4605,1056,4212,1156,29677,3132,12896,1988,5174,1305,10027,1672,235,283,1345,673,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,129937,6745,63551,4245,15205,1667,14193,1961,10507,1845,12525,2028,11121,1412,66386,4342,19879,2254,14907,1852,28427,2874,680,598,2493,973,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11567,2251,6818,1652,1584,596,1445,862,1820,950,1194,548,775,407,4749,1212,908,406,1436,711,1489,509,78,141,838,493,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,93818,5311,45533,3637,13298,1717,8501,1614,9542,1671,5313,1247,8879,1589,48285,3685,18120,2482,10097,1614,16642,1878,290,367,3136,847,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,37011,3045,17584,2271,4329,1162,2668,840,2821,932,2513,1030,5253,1288,19427,1901,6753,1250,5554,1166,5511,1159,0,190,1609,739,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
