GEO_ID,C02003_001E,C02003_001M,C02003_002E,C02003_002M,C02003_003E,C02003_003M,C02003_004E,C02003_004M,C02003_005E,C02003_005M,C02003_006E,C02003_006M,C02003_007E,C02003_007M,C02003_008E,C02003_008M,C02003_009E,C02003_009M,C02003_010E,C02003_010M,C02003_011E,C02003_011M,C02003_012E,C02003_012M,C02003_013E,C02003_013M,C02003_014E,C02003_014M,C02003_015E,C02003_015M,C02003_016E,C02003_016M,C02003_017E,C02003_017M,C02003_018E,C02003_018M,C02003_019E,C02003_019M,NAME,C02003_001EA,C02003_001MA,C02003_002EA,C02003_002MA,C02003_003EA,C02003_003MA,C02003_004MA,C02003_004EA,C02003_005MA,C02003_005EA,C02003_006MA,C02003_006EA,C02003_007MA,C02003_007EA,C02003_008MA,C02003_008EA,C02003_009MA,C02003_009EA,C02003_010MA,C02003_010EA,C02003_011MA,C02003_011EA,C02003_012MA,C02003_012EA,C02003_013MA,C02003_013EA,C02003_014EA,C02003_014MA,C02003_015EA,C02003_015MA,C02003_016MA,C02003_016EA,C02003_017MA,C02003_017EA,C02003_018MA,C02003_018EA,C02003_019MA,C02003_019EA,state
0400000US25,6692824,-555555555,6494209,9369,5330381,13584,474427,8765,13958,2439,388317,4924,1557,684,285569,14483,198615,9369,32029,4117,166586,9070,185907,9005,81604,7594,19169,1825,40494,3681,5625,2086,39015,4226,12046,2251,662,500,Massachusetts,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9895622,-555555555,9629773,10600,7829056,7600,1378237,8581,53720,3834,266406,4477,2267,964,100087,7413,265849,10600,22534,3028,243315,10412,245996,10349,91632,6804,67785,4123,38709,3902,13372,2466,34498,3704,19230,3329,623,424,Michigan,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5420380,-555555555,5273619,7938,4596087,7360,294527,6033,59184,3534,234013,3604,1753,618,88055,6706,146761,7938,10983,2238,135778,7503,137473,7413,50672,5291,35974,3285,29914,3232,3710,1286,17203,2518,8687,1904,601,494,Minnesota,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2991207,-555555555,2958938,4125,1764640,4613,1128280,6928,13314,2025,28159,2430,268,226,24277,3527,32269,4125,2800,1333,29469,3865,29709,4061,12945,2796,5686,1525,3453,1283,2114,969,5511,2204,1910,790,650,684,Mississippi,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,6044171,-555555555,5892184,8395,5003971,6656,692288,6755,22797,2805,102626,3401,5491,1332,65011,6541,151987,8395,11370,2674,140617,7832,142321,7554,51084,4955,42224,2675,23015,3127,6524,2137,19474,3196,9188,2126,478,323,Missouri,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,1015165,-555555555,989269,3181,904740,2388,3221,869,69216,3043,6548,961,491,402,5053,1459,25896,3181,1948,955,23948,3194,23399,2989,2572,1036,13626,2195,2915,858,334,358,3952,1467,2489,848,8,13,Montana,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1868516,-555555555,1825654,4208,1650358,5804,86010,3180,14405,1716,37356,1611,1654,1229,35871,5283,42862,4208,6932,2492,35930,3261,40440,4079,12524,2381,9540,1195,7364,1467,1916,1059,9096,2630,2380,970,42,52,Nebraska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2790136,-555555555,2672728,6972,1906864,16433,234179,4884,30016,2703,215121,4286,18302,1358,268246,16631,117408,6972,18002,3334,99406,6678,105424,6654,24174,4106,16841,2033,26543,2913,1919,877,35947,4605,10957,2210,1027,548,Nevada,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1323459,-555555555,1298070,2901,1236757,3396,16100,2462,3082,1096,31156,1791,106,129,10869,3077,25389,2901,1175,621,24214,2900,23869,2863,8408,1923,7754,1274,5294,1288,451,387,1962,779,1415,705,105,137,New Hampshire,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8899339,-555555555,8682001,12849,6068475,23885,1215836,11667,16422,2955,801879,6084,1633,751,577756,22428,217338,12849,46528,5643,170810,11528,197668,12151,71507,7969,17305,2716,43099,5747,8048,1653,57709,6398,17326,3666,2344,1228,New Jersey,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
