B08513_005E,B08513_005M,B08513_006E,B08513_006M,B08513_007E,B08513_007M,B08513_008E,B08513_008M,B08513_009E,B08513_009M,B08513_010E,B08513_010M,B08513_011E,B08513_011M,B08513_012E,B08513_012M,B08513_013E,B08513_013M,B08513_014E,B08513_014M,B08513_015E,B08513_015M,B08513_016E,B08513_016M,B08513_017E,B08513_017M,B08513_018E,B08513_018M,B08513_019E,B08513_019M,B08513_020E,B08513_020M,B08513_021E,B08513_021M,B08513_022E,B08513_022M,B08513_023E,B08513_023M,B08513_024E,B08513_024M,B08513_025E,B08513_025M,B08513_026E,B08513_026M,B08513_027E,B08513_027M,B08513_028E,B08513_028M,B08513_029E,B08513_029M,B08513_030E,B08513_030M,B08513_031E,B08513_031M,B08513_032E,B08513_032M,B08513_033E,B08513_033M,B08513_034E,B08513_034M,B08513_035E,B08513_035M,B08513_036E,B08513_036M,B08513_037E,B08513_037M,B08513_038E,B08513_038M,B08513_039E,B08513_039M,B08513_040E,B08513_040M,B08513_041E,B08513_041M,B08513_042E,B08513_042M,B08513_043E,B08513_043M,B08513_044E,B08513_044M,B08513_045E,B08513_045M,B08513_046E,B08513_046M,B08513_047E,B08513_047M,B08513_048E,B08513_048M,B08513_049E,B08513_049M,B08513_050E,B08513_050M,B08513_051E,B08513_051M,B08513_052E,B08513_052M,B08513_053E,B08513_053M,B08513_054E,B08513_054M,B08513_055E,B08513_055M,B08513_056E,B08513_056M,GEO_ID,B08513_001E,B08513_001M,B08513_002E,B08513_002M,B08513_003E,B08513_003M,B08513_004E,B08513_004M,B08513_005EA,B08513_005MA,B08513_006MA,B08513_006EA,B08513_007MA,B08513_007EA,B08513_008EA,B08513_008MA,B08513_009MA,B08513_009EA,B08513_010EA,B08513_010MA,B08513_011EA,B08513_011MA,B08513_012MA,B08513_012EA,B08513_013MA,B08513_013EA,B08513_014EA,B08513_014MA,B08513_015MA,B08513_015EA,B08513_016MA,B08513_016EA,B08513_017MA,B08513_017EA,B08513_018MA,B08513_018EA,B08513_019EA,B08513_019MA,B08513_020EA,B08513_020MA,B08513_021EA,B08513_021MA,B08513_022MA,B08513_022EA,B08513_023MA,B08513_023EA,B08513_024EA,B08513_024MA,B08513_025EA,B08513_025MA,B08513_026MA,B08513_026EA,B08513_027EA,B08513_027MA,B08513_028MA,B08513_028EA,B08513_029EA,B08513_029MA,B08513_030EA,B08513_030MA,B08513_031EA,B08513_031MA,B08513_032EA,B08513_032MA,B08513_033EA,B08513_033MA,B08513_034MA,B08513_034EA,B08513_035EA,B08513_035MA,B08513_036EA,B08513_036MA,B08513_037EA,B08513_037MA,B08513_038MA,B08513_038EA,B08513_039EA,B08513_039MA,B08513_040EA,B08513_040MA,B08513_041MA,B08513_041EA,B08513_042EA,B08513_042MA,B08513_043EA,B08513_043MA,B08513_044EA,B08513_044MA,B08513_045MA,B08513_045EA,B08513_046EA,B08513_046MA,B08513_047EA,B08513_047MA,B08513_048MA,B08513_048EA,B08513_049EA,B08513_049MA,B08513_050MA,B08513_050EA,B08513_051MA,B08513_051EA,B08513_052EA,B08513_052MA,B08513_053EA,B08513_053MA,B08513_054MA,B08513_054EA,B08513_055MA,B08513_055EA,B08513_056MA,B08513_056EA,NAME,B08513_001EA,B08513_001MA,B08513_002EA,B08513_002MA,B08513_003EA,B08513_003MA,B08513_004EA,B08513_004MA,state
39863,4453,40139,3146,27734,2902,12405,2026,1666104,16636,1584732,15938,49055,4124,21625,2970,27430,3765,32317,2781,23307,2589,9010,1694,166532,7567,149540,7361,12695,2625,3851,1163,8844,2450,4297,1175,2357,828,1940,955,9328,1493,8792,1457,424,299,154,149,270,262,112,92,63,79,49,78,20791,2520,18611,2292,698,530,202,159,496,499,1482,766,580,364,902,675,19917,2352,16688,1942,2720,1586,319,314,2401,1680,509,274,430,265,79,88,50055,3837,47477,3561,1156,584,734,418,422,382,1422,957,997,844,425,318,0400000US01,1932727,18015,1825840,17240,66748,3880,26885,3241,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,01
2739,879,42754,3043,26915,2776,15839,1899,240883,6349,212687,6007,8172,1562,6328,1294,1844,788,20024,2485,12852,2203,7172,1203,47159,3880,39486,3745,1118,589,1109,587,9,15,6555,1496,3863,1108,2692,903,6712,1189,5674,1093,207,209,118,153,89,146,831,493,622,399,209,241,32694,2865,21916,2622,1082,388,662,321,420,235,9696,1167,5782,925,3914,973,23990,2360,20157,2341,494,284,255,185,239,225,3339,582,2545,544,794,301,15371,2129,12296,1880,766,515,628,487,138,204,2309,1030,1251,472,1058,933,0400000US02,366809,5441,312216,5501,11839,1698,9100,1479,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,02
222670,8954,171734,7583,128176,6821,43558,3554,2080926,16932,1547032,15689,410256,9255,257145,8198,153111,5998,123638,6496,93251,5764,30387,2699,300368,12248,192148,8324,85365,6491,43111,4282,42254,4382,22855,2788,15778,2479,7077,1566,64758,5527,44079,4452,15489,2411,8819,1901,6670,1526,5190,1584,3689,1370,1501,714,56928,4479,38134,3623,12481,2382,6403,1459,6078,1756,6313,1262,4823,1097,1490,598,74121,4727,51402,4218,18176,2444,10463,1783,7713,2152,4543,1219,3386,915,1157,730,150347,7170,122760,6648,18392,2729,11548,2163,6844,1566,9195,1595,7249,1319,1946,803,0400000US04,2727448,17333,1995555,17557,560159,11634,337489,10053,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,04
37750,3650,25520,3075,17409,2454,8111,1742,1023919,11729,956142,11517,49994,3939,22724,2518,27270,3713,17783,2419,12912,2037,4871,1235,124218,6827,106366,6160,13213,2304,5018,1328,8195,1643,4639,1267,2849,936,1790,792,5754,1314,5132,1157,382,411,146,172,236,374,240,228,167,192,73,126,20012,2524,17173,2081,1072,545,660,430,412,347,1767,876,613,405,1154,711,17263,2138,15894,2008,1268,758,507,415,761,603,101,127,48,86,53,90,34589,3457,32148,3217,1451,685,575,369,876,593,990,565,820,458,170,264,0400000US05,1225755,12155,1132855,12358,67380,4061,29630,2898,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,05
2291344,25346,2646350,23559,1648023,21614,998327,20082,12262665,43018,7012643,32658,3345801,28568,1909177,23957,1436624,19341,1904221,20562,1218440,18775,685781,16163,1824947,24455,769348,16049,733354,14880,304467,8552,428887,13268,322245,10254,168587,6126,153658,8047,886923,17701,409234,11823,314921,11673,112699,6828,202222,10002,162768,6475,97632,5195,65136,3595,455763,12824,255224,8958,131752,7016,60000,4123,71752,5441,68787,5478,39648,3759,29139,3746,431907,11189,242513,7776,134264,8555,52359,4976,81905,6052,55130,4655,37937,4044,17193,2134,877833,17079,598897,11780,145737,8226,75783,5942,69954,4763,133199,6183,85779,5372,47420,3119,0400000US06,16740038,39419,9287859,37522,4805829,29349,2514485,27638,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,06
117018,5532,128906,6057,85762,4664,43144,3983,1917766,18291,1631443,18080,195915,8041,117804,7118,78111,4847,90408,4967,62779,3987,27629,2895,247383,8812,180746,7442,50310,4437,24294,3028,26016,3558,16327,2153,9171,1327,7156,1752,85858,4515,67836,3993,11245,2201,5633,1513,5612,1561,6777,1411,4057,973,2720,873,75145,4508,65197,4319,5901,1224,3112,935,2789,903,4047,1100,2091,624,1956,813,60272,4217,51976,3743,4871,1609,3081,1315,1790,667,3425,1059,1829,679,1596,871,177620,7065,161085,6631,8613,1437,5913,1359,2700,877,7922,1492,5835,1251,2087,838,0400000US08,2564044,16271,2158283,16779,276855,8657,159837,7679,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,08
90560,5801,174230,7092,111930,6389,62300,4231,1362261,13434,1098812,13986,132132,6323,81822,5711,50310,4112,131317,6043,86788,5515,44529,3290,146064,6905,92425,5362,33075,3725,12235,2012,20840,3376,20564,2432,10346,1572,10218,1989,61529,4431,37685,3747,16778,2613,6935,1869,9843,2046,7066,1482,4206,1338,2860,1015,53983,3898,38324,3236,8894,1988,4204,1208,4690,1404,6765,1324,4816,989,1949,732,20076,2686,12249,1838,5846,1656,2153,1058,3693,1180,1981,762,1204,603,777,401,75129,4216,65137,3791,3455,1039,2271,792,1184,582,6537,1289,4570,1100,1967,750,0400000US09,1719042,11585,1344632,12965,200180,6431,109620,5828,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,09
11577,2326,29471,2952,21423,2565,8048,1679,344378,8116,304803,7561,17769,2319,10572,1715,7197,1783,21806,2704,16382,2152,5424,1534,38007,3569,29341,2968,4085,1472,1152,654,2933,1245,4581,1450,2937,1287,1644,636,11755,1913,9590,1766,1371,602,722,412,649,473,794,482,464,296,330,336,8842,1465,7538,1430,884,539,456,397,428,363,420,280,304,245,116,132,5214,1349,3970,1191,774,543,404,375,370,395,470,425,126,155,344,406,15846,1986,14209,1923,237,301,237,301,0,189,1400,622,1210,584,190,212,0400000US10,424042,7520,369451,7000,25120,2668,13543,1943,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,10
32948,3395,107541,6199,80975,4865,26566,2788,333043,10568,254931,8466,32884,3317,20252,2527,12632,1979,45228,4343,33885,3494,11343,1900,72349,4666,50757,3690,8931,1556,4383,1114,4548,1105,12661,1979,8159,1496,4502,1367,306122,8284,236777,7178,31061,3342,16986,2535,14075,2491,38284,3300,30358,2864,7926,1369,46392,3659,36350,3070,4109,1076,3124,1002,985,500,5933,1302,4344,1212,1589,645,26786,3021,20744,2281,2257,1079,2093,1058,164,162,3785,1012,3132,941,653,329,14474,2265,11400,2007,1424,651,880,482,544,456,1650,789,1097,636,553,429,0400000US11,799166,13648,610959,11684,80666,4865,47718,3691,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,11
803035,16612,600519,15915,388314,12490,212205,10440,6628307,35438,4758238,32481,1414961,19206,857818,15729,557143,13365,455108,14477,307581,11641,147527,8479,783491,19087,467152,15051,246347,12315,112024,7275,134323,9694,69992,5151,35269,3480,34723,3806,174603,7504,88548,5099,60960,5346,21084,2317,39876,4823,25095,3789,10282,2265,14813,2837,126442,7100,82726,4929,33837,4643,15301,2590,18536,3259,9879,2089,6355,1444,3524,1204,176665,9010,119683,6635,44543,5921,16866,2389,27677,5226,12439,1943,7702,1576,4737,1072,424181,12099,323095,11069,73080,5848,47600,4623,25480,3067,28006,3696,21125,3207,6881,1902,0400000US12,8313689,34529,5839442,32345,1873728,18210,1070693,17572,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,12
