GEO_ID,B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,NAME,B17020A_001EA,B17020A_001MA,B17020A_002EA,B17020A_002MA,B17020A_003MA,B17020A_003EA,B17020A_004MA,B17020A_004EA,B17020A_005MA,B17020A_005EA,B17020A_006EA,B17020A_006MA,B17020A_007EA,B17020A_007MA,B17020A_008EA,B17020A_008MA,B17020A_009MA,B17020A_009EA,B17020A_010MA,B17020A_010EA,B17020A_011MA,B17020A_011EA,B17020A_012MA,B17020A_012EA,B17020A_013EA,B17020A_013MA,B17020A_014MA,B17020A_014EA,B17020A_015MA,B17020A_015EA,B17020A_016MA,B17020A_016EA,B17020A_017MA,B17020A_017EA,state
0400000US01,3264644,8343,450152,16420,45958,4230,43876,3878,38010,3803,260290,10614,41567,3156,13128,1821,7323,1137,2814492,17992,171638,5022,184292,5721,204454,5538,1538599,12502,500526,6798,163325,4021,51658,3139,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,478022,2976,29384,3547,3111,947,2542,888,2582,1082,17160,1940,3068,723,711,511,210,249,448638,4406,32672,1399,30480,1990,31744,1848,277570,3496,60893,1995,10992,1166,4287,937,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5130999,20974,837235,28376,95083,6187,92496,7096,87761,6253,450453,15813,78387,4306,22235,2815,10820,1720,4293764,27420,270312,6636,302527,8324,314470,7473,2279201,17366,772677,7400,261405,5142,93172,4609,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2245933,6982,356411,13726,42734,4273,37211,3793,31730,2800,195610,8762,31871,3259,11607,1490,5648,1044,1889522,13913,121569,4025,126182,5165,139086,4611,1018536,10014,339260,5166,110147,2331,34742,2325,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23326800,60535,3553541,52560,387074,13722,391178,12147,355396,10190,1974138,33614,291600,8928,99949,5402,54206,4196,19773259,69291,1284044,14594,1341050,15682,1429974,15225,11357883,49245,3004441,14574,921812,11396,434055,9101,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4327283,16202,497725,18988,49178,5365,46017,4045,42284,4122,297287,10967,45798,3451,11660,1349,5501,1082,3829558,23245,258545,5691,280403,5734,283404,6949,2217852,16667,575829,6638,156994,3691,56531,3096,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2703360,12191,214194,11728,17284,2904,17214,2666,17618,2944,120323,6581,28063,2830,8268,1388,5424,887,2489166,16253,136686,4676,167215,4904,187919,5341,1384649,10752,411864,6050,130121,3668,70712,3109,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,623035,4988,60851,6399,5895,1651,4643,1966,4145,1070,35763,3821,6455,1302,2803,734,1147,440,562184,7452,34246,1888,34733,1795,36502,2252,301437,6221,109936,2856,32984,1527,12346,1474,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,247573,5061,20758,2902,200,229,725,606,330,401,16915,2167,1337,600,933,618,318,351,226815,5093,15221,1379,8081,1047,4961,975,164670,3776,25441,1516,5755,822,2686,613,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14629577,24480,2115697,50227,181961,9928,182528,9873,168664,10346,1161877,28285,273743,11375,100165,6019,46759,3591,12513880,50786,663496,12332,707502,13598,778832,12613,6630451,31555,2429008,16331,923033,10109,381558,9002,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
